Name	Sex	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	Total
Daenerys	F	0	0	0	0	0	0	21	68	86	82	101	110	468
Jon	M	595	537	511	444	439	346	387	386	376	330	354	318	5023
Tyrion	M	12	14	16	17	11	18	20	43	60	62	58	55	386
Cersei	F	0	0	0	0	0	0	0	0	0	0	0	11	11
Sansa	F	0	0	0	0	0	0	0	11	12	20	26	20	89
Arya	F	159	199	205	236	273	387	759	1138	1553	1641	1895	2156	10601
Jorah	M	0	0	0	0	0	0	0	0	7	13	11	22	53
Theon	M	5	0	0	7	0	0	12	15	11	12	16	23	101
Samwell	M	0	0	0	0	0	0	0	0	0	0	6	0	6
Tywin	M	0	0	0	0	0	0	0	0	5	5	5	0	15
Catelyn	F	108	100	95	83	93	85	77	52	53	48	27	29	850
