Name	Sex	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	Total
Harry	M	508	482	449	479	460	438	454	437	447	446	459	414	445	381	384	364	324	325	328	336	301	374	397	9432
Hermione	F	0	0	0	0	0	0	5	17	59	54	57	74	67	61	47	37	55	52	47	57	57	71	80	897
Ron	M	127	123	117	103	106	95	88	79	86	74	84	92	69	49	63	58	53	59	43	62	39	47	46	1762
Albus	M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	11	19
Severus	M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	5	5	7	32	22	82
Lucius	M	14	35	21	24	18	28	47	51	48	70	109	136	140	127	130	128	127	117	125	122	136	159	122	2034
Draco	M	0	0	8	6	7	15	12	12	15	19	25	23	28	26	20	31	32	51	27	42	36	36	38	509
Neville	M	18	25	20	16	19	15	11	16	14	17	18	9	15	9	11	15	8	19	14	11	16	17	13	346
Luna	F	50	69	91	103	109	144	169	177	271	369	477	592	710	806	1014	941	1144	1412	1743	2335	2799	3663	5320	24508
Fleur	F	0	0	0	0	0	0	0	6	0	5	0	0	5	5	5	8	6	12	9	0	11	12	11	95
