name	sex	dramaRatio	actionRatio	comedyRation	total
John	M	0.343556246983283	0.444684422364614	0.211759330652103	6613
Jack	M	0.280012699645924	0.458055283757111	0.261932016596966	4405
David	M	0.403530021417757	0.328306517398997	0.268163461183246	4123
Paul	M	0.419681290967148	0.247705545383169	0.332613163649683	3748
Tom	M	0.325566971041725	0.38140506352539	0.293027965432885	3608
Frank	M	0.342306345691337	0.392663920425902	0.265029733882762	3417
Joe	M	0.308717374260923	0.39287348561801	0.298409140121068	3413
Michael	M	0.379721756340521	0.337563512855283	0.282714730804196	3391
Mary	F	0.370035998791542	0.319654677737542	0.310309323470917	3314
Peter	M	0.344688105793517	0.325604431106224	0.329707463100259	3273
Anna	F	0.487168783631513	0.225937986508587	0.2868932298599	3209
Mike	M	0.29539613336058	0.374074161280094	0.330529705359326	2974
Maria	F	0.428881193918599	0.291096236754815	0.280022569326586	2967
George	M	0.329844506191517	0.340754982528516	0.329400511279967	2868
James	M	0.346994580014922	0.404489997377688	0.24851542260739	2857
Robert	M	0.385087524001654	0.346832558558135	0.268079917440211	2720
Sam	M	0.307886309469399	0.387140299654627	0.304973390875974	2695
Jim	M	0.273050397972973	0.498055268681747	0.22889433334528	2588
Bill	M	0.27918384324767	0.421069691419982	0.299746465332348	2493
Sarah	F	0.401980494937029	0.289932318847327	0.308087186215644	2459
Ben	M	0.334920950749675	0.352980329284545	0.312098719965781	2424
Richard	M	0.366727208941139	0.321345429100453	0.311927361958408	2327
Steve	M	0.26338151127427	0.419862597061708	0.316755891664022	2267
Max	M	0.296955758018563	0.337778040413333	0.365266201568105	2231
Harry	M	0.304116048813007	0.348449588677386	0.347434362509607	2187
Laura	F	0.431197085205665	0.249170464603954	0.31963245019038	2164
Alex	M	0.359409861143445	0.329399023002389	0.311191115854166	2151
Thomas	M	0.424939614323913	0.336213232203462	0.238847153472625	2142
Charlie	M	0.302723701049677	0.335269161279543	0.36200713767078	2135
Mark	M	0.340264898087311	0.364969233966288	0.294765867946401	2121
Bob	M	0.252668866015493	0.398704914871539	0.348626219112967	2112
Tony	M	0.297090046368629	0.38530961742612	0.31760033620525	2101
Martin	M	0.388249767996748	0.306136938950447	0.305613293052805	2078
Henry	M	0.349689719402099	0.340197124846684	0.310113155751218	2067
Daniel	M	0.42002660545317	0.314463749529916	0.265509645016914	1969
Nick	M	0.309980788424891	0.372604690532796	0.317414521042313	1959
Johnny	M	0.275137492153595	0.439058102987532	0.285804404858873	1868
Alice	F	0.382300643711186	0.263130709101405	0.354568647187408	1841
Charles	M	0.383563318679087	0.330141580012098	0.286295101308815	1829
Jimmy	M	0.294132903899994	0.334186089236941	0.371681006863064	1826
William	M	0.351786289018474	0.416140457719388	0.232073253262138	1819
Billy	M	0.278232282082444	0.37861487173002	0.343152846187536	1738
Adam	M	0.356191183758362	0.304917792116864	0.338891024124774	1726
Chris	M	0.338382429660878	0.353384627451396	0.308232942887726	1688
Lisa	F	0.340374271255587	0.309891026932684	0.349734701811729	1667
Jane	F	0.314634546728957	0.379927395015787	0.305438058255256	1667
Dan	M	0.28448315320768	0.416154434372109	0.299362412420211	1618
Kate	F	0.363965404806565	0.303869195157203	0.332165400036232	1583
Simon	M	0.371577520575686	0.30180645373661	0.326616025687704	1541
Marie	F	0.470028316658086	0.232620110788049	0.297351572553866	1521
Helen	F	0.36717913291433	0.351877056447006	0.280943810638663	1507
Julie	F	0.357356124143521	0.29760063102811	0.34504324482837	1473
Jake	M	0.287703790265534	0.430450718139477	0.281845491594989	1473
Danny	M	0.315019449058724	0.364618860874088	0.320361690067188	1467
Dave	M	0.263049842633608	0.328969604228915	0.407980553137478	1459
Eva	F	0.416593694737233	0.228606036843567	0.3548002684192	1443
Julia	F	0.389313913758987	0.262226948764156	0.348459137476858	1435
Eddie	M	0.3253226472688	0.323972978739553	0.350704373991647	1415
Eric	M	0.332226121307403	0.381075252947762	0.286698625744834	1379
