Name	Sex	Total	GroupPercentage	OverallPercentage	Genre
John	M	670	1.59300030908961	0.843043007776128	Romance
David	M	494	1.17454052640339	0.621586934091653	Romance
Anna	F	482	1.29160190792647	0.606487656340438	Romance
Jack	M	460	1.09370170474809	0.578805647129879	Romance
Paul	M	448	1.06517035592858	0.563706369378665	Romance
Mary	F	445	1.19245404362506	0.559931549940861	Romance
Maria	F	431	1.15493863551101	0.542315725897778	Romance
Tom	M	413	0.981953921871657	0.519666809270957	Romance
Michael	M	400	0.951044960650515	0.503309258373808	Romance
Peter	M	368	0.874961363798474	0.463044517703903	Romance
Joe	M	334	0.79412254214318	0.42026323074213	Romance
Laura	F	328	0.878932418671955	0.412713591866522	Romance
Sarah	F	315	0.844096682566054	0.396356040969374	Romance
George	M	313	0.744192681709028	0.393839494677505	Romance
Robert	M	309	0.734682232102523	0.388806402093766	Romance
Jane	F	234	0.627043249906212	0.294435916148678	Romance
Kate	F	230	0.616324561873627	0.289402823564939	Romance
Julia	F	230	0.616324561873627	0.289402823564939	Romance
Alice	F	226	0.605605873841042	0.284369730981201	Romance
Marie	F	221	0.592207513800311	0.278078365251529	Romance
John	M	3635	1.88850789692436	1.07539606230493	Drama
David	M	2416	1.25519534497091	0.714761179237608	Drama
Paul	M	2170	1.12738985868662	0.641983343934441	Drama
Anna	F	2073	1.43007926488545	0.613286392615712	Drama
Jack	M	2055	1.0676433915212	0.607961185154505	Drama
Michael	M	1900	0.987115544472153	0.562105232016331	Drama
Tom	M	1824	0.947630922693267	0.539621022735677	Drama
Frank	M	1814	0.942435577722361	0.536662574146118	Drama
Mary	F	1799	1.24105769297102	0.532224901261778	Drama
Maria	F	1790	1.23484895520741	0.529562297531175	Drama
Peter	M	1680	0.872817955112219	0.497019363046019	Drama
Joe	M	1661	0.862946799667498	0.491398310725855	Drama
Robert	M	1550	0.805278470490441	0.458559531381743	Drama
Sarah	F	1406	0.9699428106266	0.415957871692085	Drama
Laura	F	1282	0.884400201439047	0.379273109181545	Drama
Alice	F	995	0.686410452754955	0.294365634661184	Drama
Marie	F	958	0.660885641948992	0.283419374879813	Drama
Kate	F	840	0.579482191270515	0.248509681523009	Drama
Lisa	F	839	0.578792331519002	0.248213836664053	Drama
Helen	F	828	0.571203874252365	0.244959543215538	Drama
John	M	653	2.09335128550362	1.1907366885485	Horror
David	M	415	1.3303840482144	0.756746900072939	Horror
Jack	M	404	1.29512085657498	0.736688548504741	Horror
