tt0590037	10	nm0269667	actor	["Harry"]	Harry
tt0590037	2	nm0840308	actor	["Sgt. Vince Carter"]	Vince
tt0590037	3	nm0770742	actor	["Duke"]	Duke
tt0590038	10	nm0397051	actor	["Larry"]	Larry
tt0590038	2	nm0840308	actor	["Sgt. Vince Carter"]	Vince
tt0590038	3	nm0770742	actor	["Duke"]	Duke
tt0590038	4	nm0358996	actor	["Branch Eversole"]	Branch
tt0590039	2	nm0840308	actor	["Sgt. Vince Carter"]	Vince
tt0590039	4	nm0578510	actor	["Sgt. Charley Hacker"]	Charley
tt0590040	2	nm0840308	actor	["Sgt. Vince Carter"]	Vince
tt0590040	3	nm0770742	actor	["Duke"]	Duke
tt0590040	4	nm0078783	actor	["Frankie"]	Frankie
tt0590041	2	nm0840308	actor	["Sgt. Vince Carter"]	Vince
tt0590041	3	nm0770742	actor	["Duke"]	Duke
tt0590041	4	nm0174030	actor	["Col. Edward Gray"]	Edward
tt0590042	2	nm0840308	actor	["Sgt. Vince Carter"]	Vince
tt0590042	4	nm0174030	actor	["Col. Edward Gray"]	Edward
tt0590043	2	nm0840308	actor	["Sgt. Vince Carter"]	Vince
tt0590043	4	nm0160639	actor	["Lester Hummel"]	Lester
tt0590044	2	nm0840308	actor	["Sgt. Vince Carter"]	Vince
tt0590044	4	nm0578510	actor	["Sgt. Charley Hacker"]	Charley
tt0590045	2	nm0840308	actor	["Sgt. Vince Carter"]	Vince
tt0590045	4	nm0283095	actor	["Monroe"]	Monroe
tt0590046	2	nm0840308	actor	["Sgt. Vince Carter"]	Vince
tt0590046	3	nm0770742	actor	["Duke"]	Duke
tt0590047	2	nm0840308	actor	["Sgt. Vince Carter"]	Vince
tt0590047	3	nm0770742	actor	["Duke"]	Duke
tt0590048	2	nm0840308	actor	["Sgt. Vince Carter"]	Vince
tt0590048	3	nm0797725	actor	["Colonel Richardson"]	Colonel
tt0590049	2	nm0840308	actor	["Sgt. Vince Carter"]	Vince
tt0590049	3	nm0832415	actor	["Manuel Cortez"]	Manuel
tt0590050	2	nm0840308	actor	["Sgt. Vince Carter"]	Vince
tt0590050	3	nm0770742	actor	["Duke"]	Duke
tt0590050	4	nm0827267	actor	["Major Stone"]	Major
tt0590051	2	nm0840308	actor	["Sgt. Vince Carter"]	Vince
tt0590051	3	nm0770742	actor	["Duke"]	Duke
tt0590051	4	nm0078783	actor	["Jim Purcell"]	Jim
tt0590052	2	nm0840308	actor	["Sgt. Vince Carter"]	Vince
tt0590052	3	nm0770742	actor	["Duke"]	Duke
tt0590053	2	nm0840308	actor	["Sgt. Vince Carter"]	Vince
tt0590053	3	nm0770742	actor	["Duke Slater"]	Duke
tt0590054	2	nm0840308	actor	["Sgt. Vince Carter"]	Vince
tt0590054	4	nm0802296	actress	["Miss Johnson"]	Johnson
tt0590055	2	nm0840308	actor	["Sgt. Vince Carter"]	Vince
tt0590055	3	nm0038632	actor	["Moose Lewis"]	Lewis
tt0590056	2	nm0840308	actor	["Sgt. Vince Carter"]	Vince
tt0590056	3	nm0770742	actor	["Duke"]	Duke
tt0590057	2	nm0840308	actor	["Sgt. Vince Carter"]	Vince
tt0590058	2	nm0840308	actor	["Sgt. Vince Carter"]	Vince
tt0590058	3	nm0770742	actor	["Duke"]	Duke
tt0590059	10	nm2208676	actress	["Consuela"]	Consuela
tt0590059	2	nm0840308	actor	["Sgt. Vince Carter"]	Vince
tt0590059	4	nm0174030	actor	["Col. Edward Gray"]	Edward
tt0590060	2	nm0840308	actor	["Sgt. Vince Carter"]	Vince
tt0590060	3	nm0770742	actor	["Duke Slater"]	Duke
tt0590060	4	nm0534281	actress	["Lou Ann Poovie"]	Lou
tt0590061	2	nm0840308	actor	["Sgt. Vince Carter"]	Vince
tt0590061	3	nm0770742	actor	["Duke"]	Duke
tt0590061	4	nm0393222	actor	["Mr. Wong"]	Wong
tt0590212	1	nm0113002	self	["Himself - Host","Conrad van Houten"]	Conrad
tt0590212	3	nm0360593	actor	["Cocoa Carl"]	Carl
tt0590213	2	nm1304553	actress	["Marsha Brown Brady"]	Marsha
tt0590214	1	nm0113002	self	["Himself - Host","Knight","Alexander McKenzie"]	Alexander
tt0590214	3	nm0360593	actor	["Koko Karl"]	Karl
tt0590214	4	nm1460944	actor	["Captain Power"]	Captain
tt0590215	2	nm0384471	actress	["Blair McGuffin"]	Blair
tt0590215	6	nm1304553	actress	["Marsha Brown-Brady"]	Marsha
tt0590215	7	nm1460944	actor	["Paul - Toaster enthusiast"]	Paul
tt0590215	8	nm1461019	actor	["Cousin Ray"]	Ray
tt0590217	1	nm0113002	self	["Himself - Host","Colonel Bob Boatwright"]	Colonel
tt0590217	3	nm1492426	actor	["Mobster","Red Neck"]	Red
tt0590217	4	nm8588483	actor	["Southern Boy","Young Mobster"]	Young
tt0590226	1	nm0877430	actress	["Marjorie"]	Marjorie
tt0590226	2	nm0324761	actress	["Jane"]	Jane
tt0590226	3	nm0160703	actor	["Ben"]	Ben
tt0590226	4	nm0454516	actor	["Davis"]	Davis
tt0590227	10	nm1711012	actress	["Young Jane"]	Young
tt0590227	1	nm0877430	actress	["Marjorie"]	Marjorie
tt0590227	2	nm0324761	actress	["Jane"]	Jane
tt0590227	3	nm0160703	actor	["Ben"]	Ben
tt0590227	4	nm0454516	actor	["Davis"]	Davis
tt0590227	9	nm0385346	actress	["Lizzie"]	Lizzie
tt0590228	1	nm0877430	actress	["Marjorie"]	Marjorie
tt0590228	2	nm0324761	actress	["Jane"]	Jane
tt0590228	3	nm0160703	actor	["Ben"]	Ben
tt0590228	4	nm0454516	actor	["Davis"]	Davis
tt0590228	9	nm0385346	actress	["Lizzie"]	Lizzie
tt0590231	10	nm0385346	actress	["Lizzie"]	Lizzie
tt0590231	1	nm0877430	actress	["Marjorie"]	Marjorie
tt0590231	2	nm0324761	actress	["Jane"]	Jane
tt0590231	3	nm0160703	actor	["Ben"]	Ben
tt0590231	4	nm0454516	actor	["Davis"]	Davis
tt0590232	10	nm0385346	actress	["Lizzie"]	Lizzie
tt0590232	1	nm0877430	actress	["Marjorie"]	Marjorie
tt0590232	2	nm0324761	actress	["Jane"]	Jane
tt0590232	3	nm0160703	actor	["Ben"]	Ben
tt0590232	4	nm0454516	actor	["Davis"]	Davis
tt0590317	10	nm0842794	actress	["Maxine"]	Maxine
tt0590317	1	nm0005348	actor	["Mr. Angel"]	Angel
tt0590317	2	nm0195702	actor	["Rocky"]	Rocky
tt0590317	3	nm0347656	actor	["Jim Pearson"]	Jim
tt0590317	4	nm0355653	actor	["Barney"]	Barney
tt0590317	6	nm0556041	actor	["Buck"]	Buck
tt0590317	7	nm0613687	actress	["Blanca"]	Blanca
tt0590317	8	nm0329029	actor	["Ray Sherwood"]	Ray
tt0590326	1	nm0001972	actor	["Tom Good"]	Tom
tt0590326	2	nm0447555	actress	["Barbara Good"]	Barbara
tt0590326	3	nm0445285	actress	["Margo Leadbetter"]	Margo
tt0590326	4	nm0248844	actor	["Jerry Leadbetter"]	Jerry
tt0590327	1	nm0001972	actor	["Tom Good"]	Tom
tt0590327	2	nm0447555	actress	["Barbara Good"]	Barbara
tt0590327	3	nm0445285	actress	["Margo Leadbetter"]	Margo
tt0590327	4	nm0248844	actor	["Jerry Leadbetter"]	Jerry
tt0590328	1	nm0001972	actor	["Tom Good"]	Tom
tt0590328	2	nm0447555	actress	["Barbara Good"]	Barbara
tt0590328	3	nm0445285	actress	["Margo Leadbetter"]	Margo
tt0590328	4	nm0248844	actor	["Jerry Leadbetter"]	Jerry
tt0590329	1	nm0001972	actor	["Tom Good"]	Tom
tt0590329	2	nm0447555	actress	["Barbara Good"]	Barbara
tt0590329	3	nm0445285	actress	["Margo Leadbetter"]	Margo
tt0590329	4	nm0248844	actor	["Jerry Leadbetter"]	Jerry
tt0590330	1	nm0001972	actor	["Tom Good"]	Tom
tt0590330	2	nm0447555	actress	["Barbara Good"]	Barbara
tt0590330	3	nm0445285	actress	["Margo Leadbetter"]	Margo
tt0590330	4	nm0248844	actor	["Jerry Leadbetter"]	Jerry
tt0590331	1	nm0001972	actor	["Tom Good"]	Tom
tt0590331	2	nm0447555	actress	["Barbara Good"]	Barbara
tt0590331	3	nm0445285	actress	["Margo Leadbetter"]	Margo
tt0590331	4	nm0248844	actor	["Jerry Leadbetter"]	Jerry
tt0590332	1	nm0001972	actor	["Tom Good"]	Tom
tt0590332	2	nm0447555	actress	["Barbara Good"]	Barbara
tt0590332	3	nm0445285	actress	["Margo Leadbetter"]	Margo
tt0590332	4	nm0248844	actor	["Jerry Leadbetter"]	Jerry
tt0590333	1	nm0001972	actor	["Tom Good"]	Tom
tt0590333	2	nm0447555	actress	["Barbara Good"]	Barbara
tt0590333	3	nm0445285	actress	["Margo Leadbetter"]	Margo
tt0590333	4	nm0248844	actor	["Jerry Leadbetter"]	Jerry
tt0590334	1	nm0001972	actor	["Tom Good"]	Tom
tt0590334	2	nm0447555	actress	["Barbara Good"]	Barbara
tt0590334	3	nm0445285	actress	["Margo Leadbetter"]	Margo
tt0590334	4	nm0248844	actor	["Jerry Leadbetter"]	Jerry
tt0590335	1	nm0001972	actor	["Tom Good"]	Tom
tt0590335	2	nm0447555	actress	["Barbara Good"]	Barbara
tt0590335	3	nm0445285	actress	["Margo Leadbetter"]	Margo
tt0590335	4	nm0248844	actor	["Jerry Leadbetter"]	Jerry
tt0590336	1	nm0001972	actor	["Tom Good"]	Tom
tt0590336	2	nm0447555	actress	["Barbara Good"]	Barbara
tt0590336	3	nm0445285	actress	["Margo Leadbetter"]	Margo
tt0590336	4	nm0248844	actor	["Jerry Leadbetter"]	Jerry
tt0590337	1	nm0001972	actor	["Tom Good"]	Tom
tt0590337	2	nm0447555	actress	["Barbara Good"]	Barbara
tt0590337	3	nm0445285	actress	["Margo Leadbetter"]	Margo
tt0590337	4	nm0248844	actor	["Jerry Leadbetter"]	Jerry
tt0590338	1	nm0001972	actor	["Tom Good"]	Tom
tt0590338	2	nm0447555	actress	["Barbara Good"]	Barbara
tt0590338	3	nm0445285	actress	["Margo Leadbetter"]	Margo
tt0590338	4	nm0248844	actor	["Jerry Leadbetter"]	Jerry
tt0590339	1	nm0001972	actor	["Tom Good"]	Tom
tt0590339	2	nm0447555	actress	["Barbara Good"]	Barbara
tt0590339	3	nm0445285	actress	["Margo Leadbetter"]	Margo
tt0590339	4	nm0248844	actor	["Jerry Leadbetter"]	Jerry
tt0590340	1	nm0001972	actor	["Tom Good"]	Tom
tt0590340	2	nm0447555	actress	["Barbara Good"]	Barbara
tt0590340	3	nm0445285	actress	["Margo Leadbetter"]	Margo
tt0590340	4	nm0248844	actor	["Jerry Leadbetter"]	Jerry
tt0590341	1	nm0001972	actor	["Tom Good"]	Tom
tt0590341	2	nm0447555	actress	["Barbara Good"]	Barbara
tt0590341	3	nm0445285	actress	["Margo Leadbetter"]	Margo
tt0590341	4	nm0248844	actor	["Jerry Leadbetter"]	Jerry
tt0590342	1	nm0001972	actor	["Tom Good"]	Tom
tt0590342	2	nm0447555	actress	["Barbara Good"]	Barbara
tt0590342	3	nm0445285	actress	["Margo Leadbetter"]	Margo
tt0590342	4	nm0248844	actor	["Jerry Leadbetter"]	Jerry
tt0590343	1	nm0001972	actor	["Tom Good"]	Tom
tt0590343	2	nm0447555	actress	["Barbara Good"]	Barbara
tt0590343	3	nm0445285	actress	["Margo Leadbetter"]	Margo
tt0590343	4	nm0248844	actor	["Jerry Leadbetter"]	Jerry
tt0590344	1	nm0001972	actor	["Tom Good"]	Tom
tt0590344	2	nm0447555	actress	["Barbara Good"]	Barbara
tt0590344	3	nm0445285	actress	["Margo Leadbetter"]	Margo
tt0590344	4	nm0248844	actor	["Jerry Leadbetter"]	Jerry
tt0590345	1	nm0001972	actor	["Tom Good"]	Tom
tt0590345	2	nm0447555	actress	["Barbara Good"]	Barbara
tt0590345	3	nm0445285	actress	["Margo Leadbetter"]	Margo
tt0590345	4	nm0248844	actor	["Jerry Leadbetter"]	Jerry
tt0590346	1	nm0001972	actor	["Tom Good"]	Tom
tt0590346	2	nm0447555	actress	["Barbara Good"]	Barbara
tt0590346	3	nm0445285	actress	["Margo Leadbetter"]	Margo
tt0590346	4	nm0248844	actor	["Jerry Leadbetter"]	Jerry
tt0590347	1	nm0001972	actor	["Tom Good"]	Tom
tt0590347	2	nm0447555	actress	["Barbara Good"]	Barbara
tt0590347	3	nm0445285	actress	["Margo Leadbetter"]	Margo
tt0590347	4	nm0248844	actor	["Jerry Leadbetter"]	Jerry
tt0590348	1	nm0001972	actor	["Tom Good"]	Tom
tt0590348	2	nm0447555	actress	["Barbara Good"]	Barbara
tt0590348	3	nm0445285	actress	["Margo Leadbetter"]	Margo
tt0590348	4	nm0248844	actor	["Jerry Leadbetter"]	Jerry
tt0590349	1	nm0001972	actor	["Tom Good"]	Tom
tt0590349	2	nm0447555	actress	["Barbara Good"]	Barbara
tt0590349	3	nm0445285	actress	["Margo Leadbetter"]	Margo
tt0590349	4	nm0248844	actor	["Jerry Leadbetter"]	Jerry
tt0590350	1	nm0001972	actor	["Tom Good"]	Tom
tt0590350	2	nm0447555	actress	["Barbara Good"]	Barbara
tt0590350	3	nm0445285	actress	["Margo Leadbetter"]	Margo
tt0590350	4	nm0248844	actor	["Jerry Leadbetter"]	Jerry
tt0590351	1	nm0001972	actor	["Tom Good"]	Tom
tt0590351	2	nm0447555	actress	["Barbara Good"]	Barbara
tt0590351	3	nm0445285	actress	["Margo Leadbetter"]	Margo
tt0590351	4	nm0248844	actor	["Jerry Leadbetter"]	Jerry
tt0590682	2	nm0053516	actress	["Joni"]	Joni
tt0590682	3	nm0122716	actor	["Frank Alfano"]	Frank
tt0590682	4	nm0003928	actor	["Carl"]	Carl
tt0590687	1	nm0275417	actor	["Jake Silver"]	Jake
tt0590687	2	nm0001358	actor	["Jim Templeton"]	Jim
tt0590687	3	nm0504762	actor	["Gavin Stone"]	Gavin
tt0590687	4	nm0668234	actor	["Lloyd"]	Lloyd
tt0590694	1	nm0053516	actress	["Joni"]	Joni
tt0590694	2	nm0122716	actor	["Frank Alfano"]	Frank
tt0590694	3	nm0268424	actress	["Erika"]	Erika
tt0590694	4	nm0275417	actor	["Jake Silver"]	Jake
tt0590698	10	nm0763643	actress	["Lucia Rojas-Klein"]	Lucia
tt0590698	1	nm0275417	actor	["Jake Silver"]	Jake
tt0590698	2	nm0930053	actress	["Dylan Messinger"]	Dylan
tt0590698	3	nm0504762	actor	["Gavin Stone"]	Gavin
tt0590698	4	nm0122716	actor	["Frank Alfano"]	Frank
tt0590712	1	nm0504762	actor	["Gavin Stone"]	Gavin
tt0590712	2	nm0956603	actress	["Penny Barnes Barrington"]	Penny
tt0590712	3	nm0053516	actress	["Joni"]	Joni
tt0590712	4	nm0275417	actor	["Jake Silver"]	Jake
tt0590715	1	nm0001539	actress	["Miss Carrie Bliss"]	Carrie
tt0590715	2	nm0004971	actor	["Zack Morris"]	Zack
tt0590715	3	nm0368172	actor	["Mr. Richard Belding"]	Richard
tt0590715	4	nm0752616	actress	["Ms. Tina Paladrino"]	Tina
tt0590716	1	nm0001539	actress	["Miss Carrie Bliss"]	Carrie
tt0590716	2	nm0004971	actor	["Zack Morris"]	Zack
tt0590716	3	nm0368172	actor	["Mr. Richard Belding"]	Richard
tt0590716	4	nm0752616	actress	["Ms. Tina Paladrino"]	Tina
tt0590717	1	nm0001539	actress	["Miss Carrie Bliss"]	Carrie
tt0590717	2	nm0004971	actor	["Zack Morris"]	Zack
tt0590717	3	nm0368172	actor	["Mr. Richard Belding"]	Richard
tt0590717	4	nm0752616	actress	["Ms. Tina Paladrino"]	Tina
tt0590718	1	nm0001539	actress	["Miss Carrie Bliss"]	Carrie
tt0590718	2	nm0004971	actor	["Zack Morris"]	Zack
tt0590718	3	nm0368172	actor	["Mr. Richard Belding"]	Richard
tt0590718	4	nm0752616	actress	["Ms. Tina Paladrino"]	Tina
tt0590719	1	nm0001539	actress	["Miss Carrie Bliss"]	Carrie
tt0590719	2	nm0004971	actor	["Zack Morris"]	Zack
tt0590719	3	nm0368172	actor	["Mr. Richard Belding"]	Richard
tt0590719	4	nm0752616	actress	["Ms. Tina Paladrino"]	Tina
tt0590720	10	nm0004977	actor	["Adam Montcrief"]	Adam
tt0590720	1	nm0001539	actress	["Miss Carrie Bliss"]	Carrie
tt0590720	2	nm0007150	actor	["Charlie Davis"]	Charlie
tt0590720	3	nm0639392	actress	["Tina Paladrino"]	Tina
tt0590720	4	nm0740137	actress	["Lonnie Maple"]	Lonnie
tt0590720	8	nm0164339	actor	["Mr. Gerald Belding"]	Gerald
tt0590720	9	nm0198925	actor	["Bradley"]	Bradley
tt0590721	1	nm0001539	actress	["Miss Carrie Bliss"]	Carrie
tt0590721	2	nm0368172	actor	["Mr. Richard Belding"]	Richard
tt0590721	3	nm0004971	actor	["Zack Morris"]	Zack
tt0590721	4	nm0752616	actress	["Ms. Tina Paladrino"]	Tina
tt0590722	1	nm0001539	actress	["Miss Carrie Bliss"]	Carrie
tt0590722	2	nm0004971	actor	["Zack Morris"]	Zack
tt0590722	3	nm0368172	actor	["Mr. Richard Belding"]	Richard
tt0590722	4	nm0752616	actress	["Ms. Tina Paladrino"]	Tina
tt0590723	1	nm0001539	actress	["Miss Carrie Bliss"]	Carrie
tt0590723	2	nm0004971	actor	["Zack Morris"]	Zack
tt0590723	3	nm0368172	actor	["Mr. Richard Belding"]	Richard
tt0590723	4	nm0752616	actress	["Ms. Tina Paladrino"]	Tina
tt0590724	1	nm0001539	actress	["Miss Carrie Bliss"]	Carrie
tt0590724	2	nm0004971	actor	["Zack Morris"]	Zack
tt0590724	3	nm0368172	actor	["Mr. Richard Belding"]	Richard
tt0590724	4	nm0752616	actress	["Ms. Tina Paladrino"]	Tina
tt0590725	1	nm0001539	actress	["Miss Carrie Bliss"]	Carrie
tt0590725	2	nm0004971	actor	["Zack Morris"]	Zack
tt0590725	3	nm0368172	actor	["Mr. Richard Belding"]	Richard
tt0590725	4	nm0752616	actress	["Ms. Tina Paladrino"]	Tina
tt0590726	1	nm0001539	actress	["Miss Carrie Bliss"]	Carrie
tt0590726	2	nm0004971	actor	["Zack Morris"]	Zack
tt0590726	3	nm0368172	actor	["Mr. Richard Belding"]	Richard
tt0590726	4	nm0752616	actress	["Ms. Tina Paladrino"]	Tina
tt0590727	1	nm0001539	actress	["Miss Carrie Bliss"]	Carrie
tt0590727	2	nm0004971	actor	["Zack Morris"]	Zack
tt0590727	3	nm0368172	actor	["Mr. Richard Belding"]	Richard
tt0590727	4	nm0752616	actress	["Ms. Tina Paladrino"]	Tina
tt0590743	1	nm0048587	actor	["David Lewis"]	David
tt0590743	2	nm0770742	actor	["Larry Clarke"]	Larry
tt0590743	3	nm0212461	actor	["Roland B. Hutton Jr."]	Roland
tt0590743	4	nm0663554	actress	["Linda Lewis"]	Linda
tt0590744	1	nm0048587	actor	["David Lewis"]	David
tt0590744	2	nm0770742	actor	["Larry Clarke"]	Larry
tt0590744	3	nm0212461	actor	["Roland B. Hutton Jr."]	Roland
tt0590744	4	nm0663554	actress	["Linda Lewis"]	Linda
tt0590828	1	nm0738354	actress	["Florida Evans"]	Florida
tt0590828	3	nm0141876	actor	["Michael Evans"]	Michael
tt0590828	4	nm0822304	actress	["Thelma Evans"]	Thelma
tt0590829	1	nm0738354	actress	["Florida Evans"]	Florida
tt0590829	2	nm0025309	actor	["James Evans, Sr."]	James
tt0590829	4	nm0141876	actor	["Michael Evans"]	Michael
tt0590830	1	nm0738354	actress	["Florida Evans"]	Florida
tt0590830	3	nm0141876	actor	["Michael Evans"]	Michael
tt0590830	4	nm0822304	actress	["Thelma Evans Anderson"]	Thelma
tt0590831	1	nm0738354	actress	["Florida Evans"]	Florida
tt0590831	2	nm0025309	actor	["James Evans, Sr."]	James
tt0590831	4	nm0141876	actor	["Michael Evans"]	Michael
tt0590832	1	nm0738354	actress	["Florida Evans"]	Florida
tt0590832	2	nm0025309	actor	["James Evans, Sr."]	James
tt0590832	4	nm0141876	actor	["Michael Evans"]	Michael
tt0590833	1	nm0738354	actress	["Florida Evans"]	Florida
tt0590833	3	nm0141876	actor	["Michael Evans"]	Michael
tt0590833	4	nm0822304	actress	["Thelma Evans"]	Thelma
tt0590834	1	nm0738354	actress	["Florida Evans"]	Florida
tt0590834	2	nm0025309	actor	["James Evans, Sr."]	James
tt0590834	4	nm0141876	actor	["Michael Evans"]	Michael
tt0590835	1	nm0738354	actress	["Florida Evans"]	Florida
tt0590835	3	nm0141876	actor	["Michael Evans"]	Michael
tt0590835	4	nm0822304	actress	["Thelma Evans Anderson"]	Thelma
tt0590836	2	nm0141876	actor	["Michael Evans"]	Michael
tt0590836	3	nm0822304	actress	["Thelma Evans"]	Thelma
tt0590836	4	nm0113900	actor	["Nathan Bookman"]	Nathan
tt0590837	2	nm0141876	actor	["Michael Evans"]	Michael
tt0590837	3	nm0822304	actress	["Thelma Evans"]	Thelma
tt0590837	4	nm0113900	actor	["Nathan Bookman"]	Nathan
tt0590838	1	nm0738354	actress	["Florida Evans"]	Florida
tt0590838	2	nm0025309	actor	["James Evans, Sr."]	James
