tt0648090	8	actress	["Harriet 'Harry' Quail"]	Harriet
tt0648091	1	actor	["Mike Hammer"]	Mike
tt0648091	2	actress	["Velda"]	Velda
tt0648091	3	actor	["Captain Pat Chambers"]	Captain,Pat
tt0648091	4	actor	["Special Prosecutor Lawrence D. Barrington"]	Lawrence
tt0648092	1	actor	["Mike Hammer"]	Mike
tt0648092	2	actress	["Velda"]	Velda
tt0648092	3	actor	["Captain Pat Chambers"]	Captain,Pat
tt0648092	4	actor	["Special Prosecutor Lawrence D. Barrington"]	Lawrence
tt0648093	1	actor	["Mike Hammer"]	Mike
tt0648093	2	actress	["Velda"]	Velda
tt0648093	3	actor	["Captain Pat Chambers"]	Captain,Pat
tt0648093	4	actor	["Special Prosecutor Lawrence D. Barrington"]	Lawrence
tt0648094	1	actor	["Mike Hammer"]	Mike
tt0648094	2	actress	["Velda"]	Velda
tt0648094	3	actor	["Captain Pat Chambers"]	Captain,Pat
tt0648094	4	actor	["Special Prosecutor Lawrence D. Barrington"]	Lawrence
tt0648095	1	actor	["Mike Hammer"]	Mike
tt0648095	2	actress	["Velda"]	Velda
tt0648095	3	actor	["Captain Pat Chambers"]	Captain,Pat
tt0648095	4	actor	["Special Prosecutor Lawrence D. Barrington"]	Lawrence
tt0648096	1	actor	["Mike Hammer"]	Mike
tt0648096	2	actress	["Velda"]	Velda
tt0648096	3	actor	["Captain Pat Chambers"]	Captain,Pat
tt0648097	1	actor	["Mike Hammer"]	Mike
tt0648097	2	actress	["Velda"]	Velda
tt0648097	3	actor	["Captain Pat Chambers"]	Captain,Pat
tt0648097	4	actor	["Special Prosecutor Lawrence D. Barrington"]	Lawrence
tt0648098	1	actor	["Mike Hammer"]	Mike
tt0648098	2	actress	["Velda"]	Velda
tt0648098	3	actor	["Captain Pat Chambers"]	Captain,Pat
tt0648099	1	actor	["Mike Hammer"]	Mike
tt0648099	2	actress	["Velda"]	Velda
tt0648099	3	actor	["Captain Pat Chambers"]	Captain,Pat
tt0648099	4	actor	["Special Prosecutor Lawrence D. Barrington"]	Lawrence
tt0648100	1	actor	["Mike Hammer"]	Mike
tt0648100	2	actress	["Velda"]	Velda
tt0648100	3	actor	["Captain Pat Chambers"]	Captain,Pat
tt0648100	4	actor	["Special Prosecutor Lawrence D. Barrington"]	Lawrence
tt0648101	10	actress	["Jenny"]	Jenny
tt0648101	1	actor	["Mike Hammer"]	Mike
tt0648101	2	actress	["Velda"]	Velda
tt0648101	3	actor	["Captain Pat Chambers"]	Captain,Pat
tt0648101	4	actor	["Special Prosecutor Lawrence D. Barrington"]	Lawrence
tt0648101	7	actor	["Howard Rosenwall"]	Howard
tt0648101	8	actor	["Reverend Nelson Blessing"]	Nelson
tt0648101	9	actor	["Augie Vincent"]	Vincent
tt0648103	1	actor	["Mike Hammer"]	Mike
tt0648103	2	actress	["Velda"]	Velda
tt0648103	3	actor	["Captain Pat Chambers"]	Captain,Pat
tt0648103	4	actor	["Special Prosecutor Lawrence D. Barrington"]	Lawrence
tt0648104	1	actor	["Mike Hammer"]	Mike
tt0648104	2	actress	["Velda"]	Velda
tt0648104	3	actor	["Captain Pat Chambers"]	Captain,Pat
tt0648104	4	actor	["Special Prosecutor Lawrence D. Barrington"]	Lawrence
tt0648105	1	actor	["Mike Hammer"]	Mike
tt0648105	2	actress	["Velda"]	Velda
tt0648105	3	actor	["Captain Pat Chambers"]	Captain,Pat
tt0648105	4	actor	["Special Prosecutor Lawrence D. Barrington"]	Lawrence
tt0648107	1	actor	["Mike Hammer"]	Mike
tt0648107	2	actress	["Velda"]	Velda
tt0648107	3	actor	["Captain Pat Chambers"]	Captain,Pat
tt0648107	4	actor	["Special Prosecutor Lawrence D. Barrington"]	Lawrence
tt0648108	1	actor	["Mike Hammer"]	Mike
tt0648108	2	actress	["Velda"]	Velda
tt0648108	3	actor	["Captain Pat Chambers"]	Captain,Pat
tt0648109	1	actor	["Mike Hammer"]	Mike
tt0648109	2	actress	["Velda"]	Velda
tt0648109	3	actor	["Captain Pat Chambers"]	Captain,Pat
tt0648109	4	actor	["Special Prosecutor Lawrence D. Barrington"]	Lawrence
tt0648110	1	actor	["Mike Hammer"]	Mike
tt0648110	2	actress	["Velda"]	Velda
tt0648110	3	actor	["Captain Pat Chambers"]	Captain,Pat
tt0648110	4	actor	["Special Prosecutor Lawrence D. Barrington"]	Lawrence
tt0648111	1	actor	["Mike Hammer"]	Mike
tt0648111	2	actress	["Velda"]	Velda
tt0648111	3	actor	["Captain Pat Chambers"]	Captain,Pat
tt0648111	4	actor	["Special Prosecutor Lawrence D. Barrington"]	Lawrence
tt0648112	1	actor	["Mike Hammer"]	Mike
tt0648112	2	actress	["Velda"]	Velda
tt0648112	3	actor	["Captain Pat Chambers"]	Captain,Pat
tt0648112	4	actor	["Special Prosecutor Lawrence D. Barrington"]	Lawrence
tt0648114	1	actor	["Mike Hammer"]	Mike
tt0648114	2	actress	["Velda"]	Velda
tt0648114	3	actor	["Captain Pat Chambers"]	Captain,Pat
tt0648114	4	actor	["Special Prosecuter Lawrence D. Barrington"]	Lawrence
tt0648115	1	actor	["Mike Hammer"]	Mike
tt0648115	2	actress	["Velda"]	Velda
tt0648115	3	actor	["Captain Pat Chambers"]	Captain,Pat
tt0648115	4	actor	["Special Prosecutor Lawrence D. Barrington"]	Lawrence
tt0648116	1	actor	["Mike Hammer"]	Mike
tt0648116	2	actress	["Velda"]	Velda
tt0648116	3	actor	["Captain Pat Chambers"]	Captain,Pat
tt0648116	4	actor	["Special Prosecutor Lawrence D. Barrington"]	Lawrence
tt0648117	1	actor	["Mike Hammer"]	Mike
tt0648117	2	actress	["Velda"]	Velda
tt0648117	3	actor	["Captain Pat Chambers"]	Captain,Pat
tt0648119	1	actor	["Mike Hammer"]	Mike
tt0648119	2	actress	["Velda"]	Velda
tt0648119	3	actor	["Captain Pat Chambers"]	Captain,Pat
tt0648119	4	actor	["Special Prosecutor Lawrence D. Barrington"]	Lawrence
tt0648120	1	actor	["Mike Hammer"]	Mike
tt0648120	2	actress	["Velda"]	Velda
tt0648120	3	actor	["Captain Pat Chambers"]	Captain,Pat
tt0648121	1	actor	["Mike Hammer"]	Mike
tt0648121	2	actress	["Velda"]	Velda
tt0648121	3	actor	["Captain Pat Chambers"]	Captain,Pat
