Name	Sex	Total	GroupPercentage	OverallPercentage
John	M	1135	1.9374551910143	1.28031584884377
Jack	M	874	1.49192584752996	0.985899605188945
Frank	M	617	1.05322453996108	0.695995487873661
Joe	M	554	0.945682974292445	0.624929498025945
James	M	482	0.822778327814004	0.54371122391427
Michael	M	452	0.771568058447987	0.509870276367738
David	M	450	0.768154040490253	0.50761421319797
Mike	M	444	0.75791198661705	0.500846023688663
Jim	M	440	0.751083950701581	0.496333897349126
Tom	M	439	0.749376941722713	0.495205865764241
Sam	M	403	0.687924618483493	0.454596728708404
Bill	M	394	0.672561537673688	0.444444444444444
Johnny	M	394	0.672561537673688	0.444444444444444
Steve	M	391	0.667440510737086	0.441060349689791
Peter	M	381	0.650370420948414	0.429780033840948
Tony	M	374	0.638421358096344	0.421883812746757
Colonel	M	372	0.635007340138609	0.419627749576988
George	M	371	0.633300331159742	0.418499717992104
Paul	M	363	0.619644259328804	0.409475465313029
Guy	M	354	0.604281178518999	0.399323181049069
Robert	M	349	0.595746133624663	0.393683023124647
Mary	F	344	1.15746971736205	0.388042865200226
Nick	M	328	0.559898945068451	0.369994359842076
Bob	M	316	0.539414837322044	0.356457980823463
Alex	M	315	0.537707828343177	0.355329949238579
Max	M	309	0.527465774469974	0.348561759729272
Lee	M	303	0.51722372059677	0.341793570219966
Charlie	M	301	0.513809702639036	0.339537507050197
Ben	M	298	0.508688675702434	0.336153412295544
Mark	M	297	0.506981666723567	0.33502538071066
Harry	M	296	0.5052746577447	0.333897349125776
Billy	M	279	0.476255505103957	0.314720812182741
William	M	279	0.476255505103957	0.314720812182741
Jake	M	276	0.471134478167355	0.311336717428088
Jimmy	M	271	0.462599433273019	0.305696559503666
Maria	F	269	0.905114401076716	0.303440496333897
Thomas	M	267	0.45577139735755	0.301184433164129
Sarah	F	263	0.88492597577389	0.296672306824591
Boss	M	261	0.445529343484347	0.294416243654822
Dan	M	259	0.442115325526612	0.292160180485054
Richard	M	258	0.440408316547745	0.291032148900169
Jason	M	249	0.42504523573794	0.28087986463621
Anna	F	246	0.827725437415882	0.277495769881557
Chris	M	236	0.402854119012666	0.266215454032713
Martin	M	226	0.385784029223994	0.254935138183869
Henry	M	223	0.380663002287392	0.251551043429216
Eddie	M	223	0.380663002287392	0.251551043429216
Jane	F	222	0.746971736204576	0.250423011844332
Danny	M	222	0.378955993308525	0.250423011844332
Lisa	F	219	0.736877523553163	0.247038917089679
Charles	M	215	0.367006930456454	0.242526790750141
Victor	M	212	0.361885903519853	0.239142695995488
Daniel	M	211	0.360178894540985	0.238014664410604
Eric	M	206	0.351643849646649	0.232374506486182
Tommy	M	204	0.348229831688915	0.230118443316413
Adam	M	201	0.343108804752313	0.22673434856176
Ray	M	200	0.341401795773446	0.225606316976875
Male	M	200	0.341401795773446	0.225606316976875
Matt	M	198	0.337987777815711	0.223350253807107
Bruce	M	190	0.324331705984773	0.214326001128032
Laura	F	188	0.63257065948856	0.212069937958263
Dave	M	187	0.319210679048172	0.210941906373378
Susan	F	185	0.622476446837147	0.20868584320361
Helen	F	180	0.605652759084791	0.203045685279188
Kate	F	177	0.595558546433378	0.199661590524535
Ken	M	177	0.302140589259499	0.199661590524535
Julie	F	176	0.592193808882907	0.19853355893965
Simon	M	173	0.295312553344031	0.195149464184997
Jeff	M	171	0.291898535386296	0.192893401015228
Scott	M	168	0.286777508449694	0.189509306260575
Walter	M	167	0.285070499470827	0.188381274675691
Jenny	F	167	0.561911170928668	0.188381274675691
Rick	M	166	0.28336349049196	0.187253243090807
Kevin	M	165	0.281656481513093	0.186125211505922
Roy	M	164	0.279949472534226	0.184997179921038
Carl	M	163	0.278242463555358	0.183869148336153
Bobby	M	161	0.274828445597624	0.181613085166385
Carlos	M	159	0.271414427639889	0.179357021996616
Rachel	F	157	0.528263795423957	0.177100958826847
Pete	M	156	0.266293400703288	0.175972927241963
Jerry	M	156	0.266293400703288	0.175972927241963
Jennifer	F	153	0.514804845222073	0.17258883248731
Larry	M	152	0.259465364787819	0.171460800902425
Joseph	M	151	0.257758355808952	0.170332769317541
Ed	M	151	0.257758355808952	0.170332769317541
Linda	F	151	0.508075370121131	0.170332769317541
Alice	F	147	0.494616419919246	0.165820642978003
Tim	M	147	0.250930319893483	0.165820642978003
Sara	F	147	0.494616419919246	0.165820642978003
Kim	M	146	0.249223310914615	0.164692611393119
Green	M	145	0.247516301935748	0.163564579808235
Judge	M	140	0.238981257041412	0.157924421883813
Arthur	M	140	0.238981257041412	0.157924421883813
Al	M	140	0.238981257041412	0.157924421883813
Claire	F	140	0.471063257065949	0.157924421883813
Luke	M	139	0.237274248062545	0.156796390298928
Will	M	138	0.235567239083678	0.155668358714044
Marcus	M	138	0.235567239083678	0.155668358714044
Vincent	M	137	0.23386023010481	0.15454032712916
Sean	M	137	0.23386023010481	0.15454032712916
Ann	F	134	0.450874831763122	0.151156232374506
Hunter	M	134	0.228739203168209	0.151156232374506
Betty	F	133	0.447510094212651	0.150028200789622
Andy	M	133	0.227032194189341	0.150028200789622
Alan	M	133	0.227032194189341	0.150028200789622
Ted	M	133	0.227032194189341	0.150028200789622
Rita	F	133	0.447510094212651	0.150028200789622
Sister	F	130	0.437415881561238	0.146644106034969
Samantha	F	130	0.437415881561238	0.146644106034969
Jessica	F	130	0.437415881561238	0.146644106034969
Barbara	F	129	0.434051144010767	0.145516074450085
Edward	M	128	0.218497149295005	0.1443880428652
Roger	M	128	0.218497149295005	0.1443880428652
Brian	M	128	0.218497149295005	0.1443880428652
Ryan	M	127	0.216790140316138	0.143260011280316
Jonathan	M	127	0.216790140316138	0.143260011280316
Karen	F	126	0.423956931359354	0.142131979695431
Dick	M	125	0.213376122358404	0.141003948110547
Sally	F	124	0.417227456258412	0.139875916525663
Emily	F	124	0.417227456258412	0.139875916525663
Julia	F	124	0.417227456258412	0.139875916525663
Duke	M	122	0.208255095421802	0.137619853355894
Fred	M	122	0.208255095421802	0.137619853355894
Amy	F	121	0.407133243606999	0.13649182177101
Lucy	F	119	0.400403768506057	0.134235758601241
Elizabeth	F	117	0.393674293405114	0.131979695431472
Nancy	F	117	0.393674293405114	0.131979695431472
Hank	M	117	0.199720050527466	0.131979695431472
Eva	F	115	0.386944818304172	0.129723632261703
Jones	M	114	0.194599023590864	0.128595600676819
Chuck	M	114	0.194599023590864	0.128595600676819
Ali	M	114	0.194599023590864	0.128595600676819
Ivan	M	114	0.194599023590864	0.128595600676819
Kyle	M	114	0.194599023590864	0.128595600676819
Diana	F	113	0.38021534320323	0.127467569091935
Andrew	M	113	0.192892014611997	0.127467569091935
Kim	F	113	0.38021534320323	0.127467569091935
Juan	M	112	0.19118500563313	0.12633953750705
