Name	Sex	Total	GroupPercentage	OverallPercentage
Guy	M	316	4.29522903357347	1.6687790452049
John	M	146	1.98450455348648	0.771018166455429
Jack	M	113	1.53595215441077	0.59674693705112
Mary	F	103	0.912311780336581	0.543937473595268
Jane	F	96	0.850310008857396	0.506970849176172
Lisa	F	92	0.814880425155004	0.485847063793832
Tom	M	86	1.16895473698518	0.454161385720321
Laura	F	85	0.752878653675819	0.448880439374736
Bob	M	85	1.1553622400435	0.448880439374736
Mike	M	85	1.1553622400435	0.448880439374736
Steve	M	84	1.14176974310181	0.443599493029151
Linda	F	83	0.735163861824624	0.438318546683566
Mark	M	80	1.08739975533505	0.42247570764681
Paul	M	80	1.08739975533505	0.42247570764681
Barbara	F	77	0.682019486271036	0.406632868610055
Julie	F	77	0.682019486271036	0.406632868610055
Alice	F	76	0.673162090345438	0.40135192226447
Peter	M	75	1.01943727062661	0.396070975918885
Susan	F	73	0.646589902568645	0.385509083227714
Cindy	F	73	0.646589902568645	0.385509083227714
Sister	F	72	0.637732506643047	0.380228136882129
Bill	M	72	0.97865977980155	0.380228136882129
Tony	M	72	0.97865977980155	0.380228136882129
Jennifer	F	72	0.637732506643047	0.380228136882129
Jim	M	69	0.937882288976485	0.364385297845374
Michael	M	68	0.924289792034797	0.359104351499789
Sarah	F	67	0.593445527015058	0.353823405154204
Candy	F	67	0.593445527015058	0.353823405154204
Sandy	F	65	0.575730735163862	0.343261512463033
Maria	F	63	0.558015943312666	0.332699619771863
Carol	F	62	0.549158547387068	0.327418673426278
Harry	M	62	0.842734810384668	0.327418673426278
David	M	61	0.82914231344298	0.322137727080693
Billy	M	60	0.815549816501291	0.316856780735108
George	M	60	0.815549816501291	0.316856780735108
Joe	M	58	0.788364822617915	0.306294888043937
Guy		58	0	0.306294888043937
Nancy	F	56	0.496014171833481	0.295732995352767
Samantha	F	56	0.496014171833481	0.295732995352767
Sam	M	56	0.761179828734538	0.295732995352767
Frank	M	54	0.733994834851162	0.285171102661597
Angel	F	54	0.478299379982285	0.285171102661597
Jeff	M	53	0.720402337909474	0.279890156316012
Johnny	M	53	0.720402337909474	0.279890156316012
Rachel	F	53	0.469441984056687	0.279890156316012
Helen	F	52	0.460584588131089	0.274609209970427
Jenny	F	52	0.460584588131089	0.274609209970427
Monica	F	51	0.451727192205492	0.269328263624842
Marie	F	51	0.451727192205492	0.269328263624842
Kelly	F	51	0.451727192205492	0.269328263624842
Debbie	F	50	0.442869796279894	0.264047317279256
Diane	F	49	0.434012400354296	0.258766370933671
Robert	M	49	0.666032350142721	0.258766370933671
Jessica	F	49	0.434012400354296	0.258766370933671
Anna	F	48	0.425155004428698	0.253485424588086
Sally	F	48	0.425155004428698	0.253485424588086
Michelle	F	47	0.4162976085031	0.248204478242501
Amy	F	47	0.4162976085031	0.248204478242501
Karen	F	47	0.4162976085031	0.248204478242501
Vanessa	F	47	0.4162976085031	0.248204478242501
Betty	F	47	0.4162976085031	0.248204478242501
Charlie	M	47	0.638847356259345	0.248204478242501
Max	M	46	0.625254859317657	0.242923531896916
Kim	F	46	0.407440212577502	0.242923531896916
Nick	M	46	0.625254859317657	0.242923531896916
Gina	F	46	0.407440212577502	0.242923531896916
Julia	F	45	0.398582816651904	0.237642585551331
Tina	F	45	0.398582816651904	0.237642585551331
Sue	F	44	0.389725420726306	0.232361639205746
Jill	F	44	0.389725420726306	0.232361639205746
Gloria	F	43	0.380868024800709	0.227080692860161
Richard	M	43	0.584477368492592	0.227080692860161
Eric	M	43	0.584477368492592	0.227080692860161
Angela	F	43	0.380868024800709	0.227080692860161
Alex	M	43	0.584477368492592	0.227080692860161
Dick	M	42	0.570884871550904	0.221799746514575
James	M	42	0.570884871550904	0.221799746514575
Sharon	F	42	0.372010628875111	0.221799746514575
Danny	M	41	0.557292374609216	0.21651880016899
Eva	F	41	0.363153232949513	0.21651880016899
Lola	F	41	0.363153232949513	0.21651880016899
Larry	M	40	0.543699877667527	0.211237853823405
Chris	M	40	0.543699877667527	0.211237853823405
Rose	F	40	0.354295837023915	0.211237853823405
Male	M	39	0.530107380725839	0.20595690747782
Jimmy	M	39	0.530107380725839	0.20595690747782
Sylvia	F	38	0.336581045172719	0.200675961132235
Jason	M	38	0.516514883784151	0.200675961132235
Heather	F	38	0.336581045172719	0.200675961132235
Donna	F	37	0.327723649247121	0.19539501478665
Rick	M	37	0.502922386842463	0.19539501478665
Holly	F	37	0.327723649247121	0.19539501478665
Ginger	F	37	0.327723649247121	0.19539501478665
Lucy	F	37	0.327723649247121	0.19539501478665
Roger	M	37	0.502922386842463	0.19539501478665
Stephanie	F	36	0.318866253321523	0.190114068441065
Beth	F	36	0.318866253321523	0.190114068441065
Brad	M	36	0.489329889900775	0.190114068441065
Tracy	F	36	0.318866253321523	0.190114068441065
Jerry	M	36	0.489329889900775	0.190114068441065
Fred	M	36	0.489329889900775	0.190114068441065
Diana	F	35	0.310008857395926	0.18483312209548
Janet	F	35	0.310008857395926	0.18483312209548
Annie	F	35	0.310008857395926	0.18483312209548
Veronica	F	34	0.301151461470328	0.179552175749894
Claire	F	34	0.301151461470328	0.179552175749894
Rebecca	F	34	0.301151461470328	0.179552175749894
Rita	F	34	0.301151461470328	0.179552175749894
Nikki	F	34	0.301151461470328	0.179552175749894
Kate	F	33	0.29229406554473	0.174271229404309
Emily	F	33	0.29229406554473	0.174271229404309
Amanda	F	33	0.29229406554473	0.174271229404309
Louise	F	33	0.29229406554473	0.174271229404309
Scott	M	33	0.44855239907571	0.174271229404309
Dan	M	33	0.44855239907571	0.174271229404309
Al	M	33	0.44855239907571	0.174271229404309
Eve	F	32	0.283436669619132	0.168990283058724
Bobby	M	32	0.434959902134022	0.168990283058724
Melissa	F	32	0.283436669619132	0.168990283058724
Sara	F	32	0.283436669619132	0.168990283058724
