Name	Sex	Total	GroupPercentage	OverallPercentage
John	M	830	2.01843340385691	1.29253289729814
Jack	M	558	1.35697089078573	0.86895585143658
Jim	M	420	1.02137593930109	0.654052791403878
Tom	M	416	1.01164854940298	0.647823717200031
Joe	M	357	0.868169548405924	0.555944872693296
David	M	330	0.802509666593711	0.513898621817332
James	M	328	0.797645971644658	0.510784084715409
Colonel	M	326	0.792782276695606	0.507669547613486
Bill	M	324	0.787918581746553	0.504555010511563
Frank	M	319	0.775759344373921	0.496768667756755
Sam	M	318	0.773327496899395	0.495211399205793
Mary	F	306	1.3615127919911	0.476524176594254
George	M	302	0.734417937306972	0.470295102390407
Guy	M	295	0.717395004985287	0.459394222533676
Peter	M	289	0.702803920138129	0.450050611227906
Mike	M	269	0.654166970647601	0.418905240208674
Harry	M	266	0.646871428224022	0.414233434555789
Ben	M	260	0.632280343376863	0.404889823250019
Robert	M	254	0.617689258529705	0.39554621194425
Bob	M	248	0.603098173682547	0.38620260063848
Paul	M	247	0.60066632620802	0.384645332087518
Henry	M	233	0.566620461564651	0.362843572374056
Michael	M	231	0.561756766615598	0.359729035272133
William	M	229	0.556893071666545	0.356614498170209
Richard	M	221	0.537438291870334	0.344156349762517
Maria	F	220	0.978865406006674	0.342599081211555
Steve	M	218	0.530142749446755	0.339484544109632
Johnny	M	206	0.500960579752438	0.320797321498092
Charlie	M	206	0.500960579752438	0.320797321498092
Charles	M	204	0.496096884803385	0.317682784396169
Billy	M	197	0.4790739524817	0.306781904539438
Max	M	192	0.466914715109068	0.29899556178463
Dan	M	191	0.464482867634542	0.297438293233668
Thomas	M	181	0.440164392889278	0.281865607724052
Nick	M	178	0.432868850465699	0.277193802071167
Arthur	M	174	0.423141460567593	0.270964727867321
Jane	F	170	0.756395995550612	0.264735653663474
Mark	M	169	0.410982223194961	0.263178385112513
Anna	F	169	0.751946607341491	0.263178385112513
Sarah	F	162	0.720800889877642	0.252277505255781
Laura	F	158	0.703003337041157	0.246048431051935
Jake	M	157	0.381800053500644	0.244491162500973
Martin	M	153	0.372072663602539	0.238262088297127
Tony	M	149	0.362345273704433	0.23203301409328
Daniel	M	144	0.350186036331801	0.224246671338472
Male	M	144	0.350186036331801	0.224246671338472
Jimmy	M	143	0.347754188857275	0.222689402787511
Alex	M	142	0.345322341382748	0.221132134236549
Matt	M	140	0.340458646433696	0.218017597134626
