Name	Sex	Total	GroupPercentage	OverallPercentage
Guy	M	494	2.0551649540292	1.26162018592297
Jack	M	250	1.04006323584474	0.638471754009603
John	M	244	1.01510171818447	0.623148431913372
Male	M	214	0.890294129883097	0.54653182143222
George	M	182	0.75716603569497	0.464807436918991
Joe	M	174	0.723884012147939	0.444376340790683
Bob	M	171	0.711403253317802	0.436714679742568
Tom	M	166	0.690601988600907	0.423945244662376
James	M	157	0.653159712110496	0.40096026151803
Peter	M	154	0.640678953280359	0.393298600469915
Mary	F	152	1.02013422818792	0.388190826437838
Bill	M	149	0.619877688563465	0.380529165389723
Boss	M	143	0.594916170903191	0.365205843293493
Sam	M	142	0.590755917959812	0.362651956277454
Charlie	M	136	0.565794400299538	0.347328634181224
Santa	M	120	0.499230353205475	0.306466441924609
Johnny	M	118	0.490909847318717	0.301358667892532
Max	M	114	0.474268835545201	0.291143119828379
Ben	M	114	0.474268835545201	0.291143119828379
Henry	M	112	0.465948329658443	0.286035345796302
Billy	M	112	0.465948329658443	0.286035345796302
Steve	M	111	0.461788076715064	0.283481458780264
Alice	F	108	0.724832214765101	0.275819797732148
Judge	M	108	0.449307317884927	0.275819797732148
Sally	F	107	0.718120805369127	0.27326591071611
David	M	104	0.432666306111412	0.265604249667995
Harry	M	104	0.432666306111412	0.265604249667995
Colonel	M	102	0.424345800224654	0.260496475635918
Mike	M	100	0.416025294337896	0.255388701603841
Lucy	F	98	0.657718120805369	0.250280927571764
Maria	F	98	0.657718120805369	0.250280927571764
Frank	M	96	0.39938428256438	0.245173153539687
Fred	M	95	0.395224029621001	0.242619266523649
Bird	M	94	0.391063776677622	0.240065379507611
Jimmy	M	93	0.386903523734243	0.237511492491572
Michael	M	93	0.386903523734243	0.237511492491572
Betty	F	92	0.61744966442953	0.234957605475534
Jim	M	91	0.378583017847485	0.232403718459495
Hunter	M	91	0.378583017847485	0.232403718459495
Green	M	91	0.378583017847485	0.232403718459495
Arthur	M	91	0.378583017847485	0.232403718459495
Pete	M	89	0.370262511960727	0.227295944427419
Paul	M	86	0.35778175313059	0.219634283379303
Fairy	F	85	0.570469798657718	0.217080396363265
Anna	F	85	0.570469798657718	0.217080396363265
Kevin	M	83	0.345300994300453	0.211972622331188
Larry	M	80	0.332820235470317	0.204310961283073
Tony	M	80	0.332820235470317	0.204310961283073
Sister	F	80	0.536912751677852	0.204310961283073
Sarah	F	80	0.536912751677852	0.204310961283073
Baron	M	77	0.32033947664018	0.196649300234958
Thomas	M	77	0.32033947664018	0.196649300234958
Dan	M	76	0.316179223696801	0.194095413218919
Charles	M	76	0.316179223696801	0.194095413218919
Jake	M	76	0.316179223696801	0.194095413218919
Nick	M	75	0.312018970753422	0.191541526202881
Lisa	F	75	0.503355704697987	0.191541526202881
Dick	M	74	0.307858717810043	0.188987639186842
Ken	M	73	0.303698464866664	0.186433752170804
Fox	M	71	0.295377958979906	0.181325978138727
Roger	M	71	0.295377958979906	0.181325978138727
William	M	71	0.295377958979906	0.181325978138727
Bruce	M	71	0.295377958979906	0.181325978138727
Chris	M	71	0.295377958979906	0.181325978138727
Emily	F	70	0.469798657718121	0.178772091122689
Robert	M	70	0.291217706036527	0.178772091122689
Simon	M	69	0.287057453093148	0.17621820410665
Richard	M	69	0.287057453093148	0.17621820410665
Dave	M	68	0.282897200149769	0.173664317090612
Eddie	M	68	0.282897200149769	0.173664317090612
Mark	M	67	0.27873694720639	0.171110430074573
Gordon	M	67	0.27873694720639	0.171110430074573
Chuck	M	65	0.270416441319632	0.166002656042497
Duke	M	65	0.270416441319632	0.166002656042497
Alex	M	64	0.266256188376253	0.163448769026458
Jane	F	63	0.422818791946309	0.16089488201042
Eric	M	63	0.262095935432874	0.16089488201042
Al	M	62	0.257935682489495	0.158340994994381
Tommy	M	62	0.257935682489495	0.158340994994381
Martin	M	61	0.253775429546116	0.155787107978343
Scott	M	61	0.253775429546116	0.155787107978343
Carl	M	61	0.253775429546116	0.155787107978343
Victor	M	61	0.253775429546116	0.155787107978343
Adam	M	61	0.253775429546116	0.155787107978343
Martha	F	60	0.402684563758389	0.153233220962305
Robin	M	60	0.249615176602737	0.153233220962305
Leo	M	60	0.249615176602737	0.153233220962305
Akira	M	60	0.249615176602737	0.153233220962305
Bird	F	59	0.395973154362416	0.150679333946266
Admiral	M	59	0.245454923659358	0.150679333946266
Jerry	M	58	0.24129467071598	0.148125446930228
Ray	M	58	0.24129467071598	0.148125446930228
Rose	F	58	0.389261744966443	0.148125446930228
Rock	M	57	0.237134417772601	0.145571559914189
Sara	F	57	0.38255033557047	0.145571559914189
Marie	F	57	0.38255033557047	0.145571559914189
Kate	F	56	0.375838926174497	0.143017672898151
Angel	F	56	0.375838926174497	0.143017672898151
Rick	M	56	0.232974164829222	0.143017672898151
Walter	M	55	0.228813911885843	0.140463785882113
Dorothy	F	55	0.369127516778524	0.140463785882113
Bobby	M	55	0.228813911885843	0.140463785882113
Mai	F	55	0.369127516778524	0.140463785882113
Lily	F	54	0.36241610738255	0.137909898866074
Danny	M	54	0.224653658942464	0.137909898866074
Wendy	F	54	0.36241610738255	0.137909898866074
Karen	F	54	0.36241610738255	0.137909898866074
Doc	M	53	0.220493405999085	0.135356011850036
Gary	M	53	0.220493405999085	0.135356011850036
Penny	F	53	0.355704697986577	0.135356011850036
Matt	M	53	0.220493405999085	0.135356011850036
Brian	M	53	0.220493405999085	0.135356011850036
Harold	M	52	0.216333153055706	0.132802124833997
Phil	M	52	0.216333153055706	0.132802124833997
Pierre	M	51	0.212172900112327	0.130248237817959
Ed	M	51	0.212172900112327	0.130248237817959
Van	M	51	0.212172900112327	0.130248237817959
Alan	M	51	0.212172900112327	0.130248237817959
Elizabeth	F	51	0.342281879194631	0.130248237817959
Amy	F	51	0.342281879194631	0.130248237817959
Jessica	F	51	0.342281879194631	0.130248237817959
Daniel	M	51	0.212172900112327	0.130248237817959
Andy	M	50	0.208012647168948	0.127694350801921
Junior	M	50	0.208012647168948	0.127694350801921
Daisy	F	50	0.335570469798658	0.127694350801921
Jean	M	50	0.208012647168948	0.127694350801921
Jonathan	M	50	0.208012647168948	0.127694350801921
Oscar	M	50	0.208012647168948	0.127694350801921
Rex	M	50	0.208012647168948	0.127694350801921
Joseph	M	50	0.208012647168948	0.127694350801921
Annie	F	49	0.328859060402685	0.125140463785882
Edward	M	49	0.203852394225569	0.125140463785882
Kai	M	49	0.203852394225569	0.125140463785882
Otto	M	49	0.203852394225569	0.125140463785882
Jason	M	49	0.203852394225569	0.125140463785882
Stan	M	49	0.203852394225569	0.125140463785882
Luna	F	49	0.328859060402685	0.125140463785882
Von	M	48	0.19969214128219	0.122586576769844
Nina	F	48	0.322147651006711	0.122586576769844
Elder	M	48	0.19969214128219	0.122586576769844
Gus	M	47	0.195531888338811	0.120032689753805
Jeff	M	47	0.195531888338811	0.120032689753805
Todd	M	47	0.195531888338811	0.120032689753805
Barry	M	47	0.195531888338811	0.120032689753805
Lance	M	47	0.195531888338811	0.120032689753805
Molly	F	47	0.315436241610738	0.120032689753805
Maya	F	47	0.315436241610738	0.120032689753805
Buddy	M	46	0.191371635395432	0.117478802737767
Jenny	F	46	0.308724832214765	0.117478802737767
Jones	M	46	0.191371635395432	0.117478802737767
Ralph	M	46	0.191371635395432	0.117478802737767
Albert	M	46	0.191371635395432	0.117478802737767
Butler	M	45	0.187211382452053	0.114924915721728
Louie	M	45	0.187211382452053	0.114924915721728
Lee	M	45	0.187211382452053	0.114924915721728
Barbara	F	44	0.295302013422819	0.11237102870569
Ace	M	44	0.183051129508674	0.11237102870569
Brain	M	43	0.178890876565295	0.109817141689652
Randy	M	43	0.178890876565295	0.109817141689652
Wally	M	43	0.178890876565295	0.109817141689652
Luke	M	43	0.178890876565295	0.109817141689652
Kitty	F	42	0.281879194630872	0.107263254673613
Alexander	M	42	0.174730623621916	0.107263254673613
Miles	M	42	0.174730623621916	0.107263254673613
Smith	M	42	0.174730623621916	0.107263254673613
Amanda	F	42	0.281879194630872	0.107263254673613
Linda	F	42	0.281879194630872	0.107263254673613
Claire	F	42	0.281879194630872	0.107263254673613
Louis	M	41	0.170570370678537	0.104709367657575
Ned	M	41	0.170570370678537	0.104709367657575
Susan	F	41	0.275167785234899	0.104709367657575
Tim	M	41	0.170570370678537	0.104709367657575
Benjamin	M	41	0.170570370678537	0.104709367657575
Ted	M	41	0.170570370678537	0.104709367657575
Leon	M	41	0.170570370678537	0.104709367657575
Howard	M	41	0.170570370678537	0.104709367657575
Rachel	F	41	0.275167785234899	0.104709367657575
Boris	M	40	0.166410117735158	0.102155480641536
Anne	F	40	0.268456375838926	0.102155480641536
Brad	M	40	0.166410117735158	0.102155480641536
Emma	F	40	0.268456375838926	0.102155480641536
Hans	M	39	0.162249864791779	0.099601593625498
Chip	M	39	0.162249864791779	0.099601593625498
Sophie	F	39	0.261744966442953	0.099601593625498
Arnold	M	39	0.162249864791779	0.099601593625498
Jacob	M	39	0.162249864791779	0.099601593625498
Cindy	F	39	0.261744966442953	0.099601593625498
Brown	M	39	0.162249864791779	0.099601593625498
Carlos	M	39	0.162249864791779	0.099601593625498
Isaac	M	39	0.162249864791779	0.099601593625498
Kelly	F	39	0.261744966442953	0.099601593625498
Stanley	M	38	0.1580896118484	0.0970477066094596
Keith	M	38	0.1580896118484	0.0970477066094596
Tina	F	38	0.25503355704698	0.0970477066094596
Timmy	M	38	0.1580896118484	0.0970477066094596
Ruby	F	38	0.25503355704698	0.0970477066094596
Laura	F	37	0.248322147651007	0.0944938195934212
Thor	M	37	0.153929358905021	0.0944938195934212
Kenji	M	37	0.153929358905021	0.0944938195934212
Rebecca	F	37	0.248322147651007	0.0944938195934212
Jesus	M	37	0.153929358905021	0.0944938195934212
Roy	M	36	0.149769105961642	0.0919399325773828
Noah	M	36	0.149769105961642	0.0919399325773828
Willy	M	36	0.149769105961642	0.0919399325773828
Julia	F	36	0.241610738255034	0.0919399325773828
Chloe	F	36	0.241610738255034	0.0919399325773828
Angel	M	35	0.145608853018264	0.0893860455613444
Woody	M	35	0.145608853018264	0.0893860455613444
Christopher	M	35	0.145608853018264	0.0893860455613444
Gloria	F	35	0.23489932885906	0.0893860455613444
Felix	M	35	0.145608853018264	0.0893860455613444
Alfred	M	35	0.145608853018264	0.0893860455613444
Sebastian	M	35	0.145608853018264	0.0893860455613444
Hank	M	35	0.145608853018264	0.0893860455613444
Elmer	M	34	0.141448600074885	0.086832158545306
Tiny	M	34	0.141448600074885	0.086832158545306
Clark	M	34	0.141448600074885	0.086832158545306
Rita	F	34	0.228187919463087	0.086832158545306
Samuel	M	34	0.141448600074885	0.086832158545306
Nancy	F	34	0.228187919463087	0.086832158545306
Grey	M	34	0.141448600074885	0.086832158545306
May	F	34	0.228187919463087	0.086832158545306
Becky	F	34	0.228187919463087	0.086832158545306
Angela	F	34	0.228187919463087	0.086832158545306
Francis	M	34	0.141448600074885	0.086832158545306
Candy	M	34	0.141448600074885	0.086832158545306
Nana	F	33	0.221476510067114	0.0842782715292675
Helen	F	33	0.221476510067114	0.0842782715292675
Joey	M	33	0.137288347131506	0.0842782715292675
Lois	F	33	0.221476510067114	0.0842782715292675
Benny	M	33	0.137288347131506	0.0842782715292675
Hector	M	33	0.137288347131506	0.0842782715292675
French	M	33	0.137288347131506	0.0842782715292675
Mimi	F	33	0.221476510067114	0.0842782715292675
Harvey	M	33	0.137288347131506	0.0842782715292675
Charlotte	F	33	0.221476510067114	0.0842782715292675
Earl	M	33	0.137288347131506	0.0842782715292675
Zoe	F	33	0.221476510067114	0.0842782715292675
Patty	F	33	0.221476510067114	0.0842782715292675
Wanda	F	33	0.221476510067114	0.0842782715292675
Ron	M	33	0.137288347131506	0.0842782715292675
Vincent	M	33	0.137288347131506	0.0842782715292675
Aya	F	33	0.221476510067114	0.0842782715292675
Fox	F	33	0.221476510067114	0.0842782715292675
Katie	F	32	0.214765100671141	0.0817243845132291
Sammy	M	32	0.133128094188127	0.0817243845132291
Mari	F	32	0.214765100671141	0.0817243845132291
Maggie	F	32	0.214765100671141	0.0817243845132291
Bruno	M	32	0.133128094188127	0.0817243845132291
Judy	F	32	0.214765100671141	0.0817243845132291
Polly	F	32	0.214765100671141	0.0817243845132291
Julie	F	32	0.214765100671141	0.0817243845132291
Diana	F	32	0.214765100671141	0.0817243845132291
German	M	32	0.133128094188127	0.0817243845132291
Derek	M	32	0.133128094188127	0.0817243845132291
Ryan	M	32	0.133128094188127	0.0817243845132291
Baker	M	31	0.128967841244748	0.0791704974971907
Hugo	M	31	0.128967841244748	0.0791704974971907
Doug	M	31	0.128967841244748	0.0791704974971907
Rusty	M	31	0.128967841244748	0.0791704974971907
Star	F	31	0.208053691275168	0.0791704974971907
Jeremy	M	31	0.128967841244748	0.0791704974971907
Terry	M	31	0.128967841244748	0.0791704974971907
Beth	F	31	0.208053691275168	0.0791704974971907
Gina	F	31	0.208053691275168	0.0791704974971907
Rob	M	31	0.128967841244748	0.0791704974971907
Gwen	F	31	0.208053691275168	0.0791704974971907
Andrew	M	31	0.128967841244748	0.0791704974971907
Sandy	F	31	0.208053691275168	0.0791704974971907
Leonard	M	31	0.128967841244748	0.0791704974971907
Freddy	M	31	0.128967841244748	0.0791704974971907
Hiroshi	M	31	0.128967841244748	0.0791704974971907
Butch	M	30	0.124807588301369	0.0766166104811523
Rocky	M	30	0.124807588301369	0.0766166104811523
Patrick	M	30	0.124807588301369	0.0766166104811523
Erika	F	30	0.201342281879195	0.0766166104811523
Chad	M	30	0.124807588301369	0.0766166104811523
Dennis	M	30	0.124807588301369	0.0766166104811523
Mia	F	30	0.201342281879195	0.0766166104811523
Akira	F	30	0.201342281879195	0.0766166104811523
Star	M	29	0.12064733535799	0.0740627234651139
Buck	M	29	0.12064733535799	0.0740627234651139
Lenny	M	29	0.12064733535799	0.0740627234651139
Lola	F	29	0.194630872483221	0.0740627234651139
Clyde	M	29	0.12064733535799	0.0740627234651139
Fairy	M	29	0.12064733535799	0.0740627234651139
Karl	M	29	0.12064733535799	0.0740627234651139
Finn	M	29	0.12064733535799	0.0740627234651139
Franklin	M	29	0.12064733535799	0.0740627234651139
Jay	M	29	0.12064733535799	0.0740627234651139
Megan	F	29	0.194630872483221	0.0740627234651139
Sid	M	29	0.12064733535799	0.0740627234651139
Kyle	M	29	0.12064733535799	0.0740627234651139
Jennifer	F	29	0.194630872483221	0.0740627234651139
Bud	M	29	0.12064733535799	0.0740627234651139
Bee	M	29	0.12064733535799	0.0740627234651139
Catherine	F	28	0.187919463087248	0.0715088364490755
Mario	M	28	0.116487082414611	0.0715088364490755
Doll	F	28	0.187919463087248	0.0715088364490755
Mac	M	28	0.116487082414611	0.0715088364490755
Melissa	F	28	0.187919463087248	0.0715088364490755
Edgar	M	28	0.116487082414611	0.0715088364490755
Norman	M	28	0.116487082414611	0.0715088364490755
Violet	F	28	0.187919463087248	0.0715088364490755
Melody	F	28	0.187919463087248	0.0715088364490755
Lulu	F	28	0.187919463087248	0.0715088364490755
Kim	F	28	0.187919463087248	0.0715088364490755
Carol	F	28	0.187919463087248	0.0715088364490755
Crystal	F	28	0.187919463087248	0.0715088364490755
Lucky	M	28	0.116487082414611	0.0715088364490755
Ivan	M	28	0.116487082414611	0.0715088364490755
Buster	M	28	0.116487082414611	0.0715088364490755
Horace	M	27	0.112326829471232	0.0689549494330371
Royal	M	27	0.112326829471232	0.0689549494330371
Donald	M	27	0.112326829471232	0.0689549494330371
Silver	M	27	0.112326829471232	0.0689549494330371
Long	M	27	0.112326829471232	0.0689549494330371
Barney	M	27	0.112326829471232	0.0689549494330371
Art	M	27	0.112326829471232	0.0689549494330371
Justin	M	27	0.112326829471232	0.0689549494330371
Jonah	M	27	0.112326829471232	0.0689549494330371
Veronica	F	27	0.181208053691275	0.0689549494330371
April	F	27	0.181208053691275	0.0689549494330371
Candy	F	27	0.181208053691275	0.0689549494330371
Sheila	F	27	0.181208053691275	0.0689549494330371
Gerald	M	27	0.112326829471232	0.0689549494330371
Dean	M	27	0.112326829471232	0.0689549494330371
Julius	M	27	0.112326829471232	0.0689549494330371
Alpha	M	27	0.112326829471232	0.0689549494330371
America	M	27	0.112326829471232	0.0689549494330371
Mickey	M	26	0.108166576527853	0.0664010624169987
Louise	F	26	0.174496644295302	0.0664010624169987
Moe	M	26	0.108166576527853	0.0664010624169987
Jean	F	26	0.174496644295302	0.0664010624169987
Sue	F	26	0.174496644295302	0.0664010624169987
Doris	F	26	0.174496644295302	0.0664010624169987
Olivia	F	26	0.174496644295302	0.0664010624169987
Claude	M	26	0.108166576527853	0.0664010624169987
Willie	M	26	0.108166576527853	0.0664010624169987
Penelope	F	26	0.174496644295302	0.0664010624169987
Flora	F	26	0.174496644295302	0.0664010624169987
Leonardo	M	26	0.108166576527853	0.0664010624169987
Rosie	F	26	0.174496644295302	0.0664010624169987
Linus	M	26	0.108166576527853	0.0664010624169987
Belle	F	26	0.174496644295302	0.0664010624169987
Russell	M	26	0.108166576527853	0.0664010624169987
Eugene	M	26	0.108166576527853	0.0664010624169987
Ian	M	26	0.108166576527853	0.0664010624169987
Anthony	M	26	0.108166576527853	0.0664010624169987
Will	M	25	0.104006323584474	0.0638471754009603
Eva	F	25	0.167785234899329	0.0638471754009603
Carmen	F	25	0.167785234899329	0.0638471754009603
Herman	M	25	0.104006323584474	0.0638471754009603
Stella	F	25	0.167785234899329	0.0638471754009603
Mel	M	25	0.104006323584474	0.0638471754009603
Margaret	F	25	0.167785234899329	0.0638471754009603
Dino	M	25	0.104006323584474	0.0638471754009603
Merlin	M	25	0.104006323584474	0.0638471754009603
Lex	M	25	0.104006323584474	0.0638471754009603
Bert	M	25	0.104006323584474	0.0638471754009603
Gene	M	25	0.104006323584474	0.0638471754009603
Brenda	F	25	0.167785234899329	0.0638471754009603
Judge	F	25	0.167785234899329	0.0638471754009603
Paula	F	25	0.167785234899329	0.0638471754009603
Raymond	M	25	0.104006323584474	0.0638471754009603
Mina	F	25	0.167785234899329	0.0638471754009603
Venus	F	25	0.167785234899329	0.0638471754009603
Pink	F	25	0.167785234899329	0.0638471754009603
Nicole	F	25	0.167785234899329	0.0638471754009603
Clara	F	24	0.161073825503356	0.0612932883849219
Oliver	M	24	0.099846070641095	0.0612932883849219
Cleo	F	24	0.161073825503356	0.0612932883849219
Bee	F	24	0.161073825503356	0.0612932883849219
Marvin	M	24	0.099846070641095	0.0612932883849219
Lou	M	24	0.099846070641095	0.0612932883849219
Archie	M	24	0.099846070641095	0.0612932883849219
Hilda	F	24	0.161073825503356	0.0612932883849219
Ginger	F	24	0.161073825503356	0.0612932883849219
Steven	M	24	0.099846070641095	0.0612932883849219
Drake	M	24	0.099846070641095	0.0612932883849219
Dot	F	24	0.161073825503356	0.0612932883849219
Kenny	M	24	0.099846070641095	0.0612932883849219
Scarlet	F	24	0.161073825503356	0.0612932883849219
Nora	F	24	0.161073825503356	0.0612932883849219
Robin	F	24	0.161073825503356	0.0612932883849219
Holly	F	24	0.161073825503356	0.0612932883849219
Rod	M	24	0.099846070641095	0.0612932883849219
Craig	M	24	0.099846070641095	0.0612932883849219
Liz	F	24	0.161073825503356	0.0612932883849219
Dylan	M	24	0.099846070641095	0.0612932883849219
Trevor	M	24	0.099846070641095	0.0612932883849219
Maurice	M	23	0.095685817697716	0.0587394013688834
Toby	M	23	0.095685817697716	0.0587394013688834
Lawyer	M	23	0.095685817697716	0.0587394013688834
Raven	M	23	0.095685817697716	0.0587394013688834
Susie	F	23	0.154362416107383	0.0587394013688834
Milo	M	23	0.095685817697716	0.0587394013688834
Hal	M	23	0.095685817697716	0.0587394013688834
Flint	M	23	0.095685817697716	0.0587394013688834
Antonio	M	23	0.095685817697716	0.0587394013688834
Abe	M	23	0.095685817697716	0.0587394013688834
Mitch	M	23	0.095685817697716	0.0587394013688834
Sophia	F	23	0.154362416107383	0.0587394013688834
Matthew	M	23	0.095685817697716	0.0587394013688834
Pat	M	23	0.095685817697716	0.0587394013688834
Marty	M	23	0.095685817697716	0.0587394013688834
Ami	F	23	0.154362416107383	0.0587394013688834
Brock	M	23	0.095685817697716	0.0587394013688834
Jade	F	23	0.154362416107383	0.0587394013688834
Stephanie	F	23	0.154362416107383	0.0587394013688834
Abraham	M	23	0.095685817697716	0.0587394013688834
Jacques	M	23	0.095685817697716	0.0587394013688834
Sasha	F	23	0.154362416107383	0.0587394013688834
Kurt	M	23	0.095685817697716	0.0587394013688834
Diego	M	23	0.095685817697716	0.0587394013688834
Grace	F	22	0.147651006711409	0.056185514352845
Ann	F	22	0.147651006711409	0.056185514352845
Beatrice	F	22	0.147651006711409	0.056185514352845
Jose	M	22	0.0915255647543371	0.056185514352845
Josh	M	22	0.0915255647543371	0.056185514352845
Fritz	M	22	0.0915255647543371	0.056185514352845
Wilson	M	22	0.0915255647543371	0.056185514352845
Greg	M	22	0.0915255647543371	0.056185514352845
Gilbert	M	22	0.0915255647543371	0.056185514352845
Johnson	M	22	0.0915255647543371	0.056185514352845
Jon	M	22	0.0915255647543371	0.056185514352845
Samantha	F	22	0.147651006711409	0.056185514352845
Juan	M	22	0.0915255647543371	0.056185514352845
Marco	M	22	0.0915255647543371	0.056185514352845
Naomi	F	22	0.147651006711409	0.056185514352845
Crew	M	22	0.0915255647543371	0.056185514352845
Forest	M	22	0.0915255647543371	0.056185514352845
Pedro	M	21	0.0873653118109581	0.0536316273368066
Greta	F	21	0.140939597315436	0.0536316273368066
Bernard	M	21	0.0873653118109581	0.0536316273368066
Genie	M	21	0.0873653118109581	0.0536316273368066
Perry	M	21	0.0873653118109581	0.0536316273368066
Dora	F	21	0.140939597315436	0.0536316273368066
Natasha	F	21	0.140939597315436	0.0536316273368066
Alvin	M	21	0.0873653118109581	0.0536316273368066
Teddy	M	21	0.0873653118109581	0.0536316273368066
Aaron	M	21	0.0873653118109581	0.0536316273368066
Debbie	F	21	0.140939597315436	0.0536316273368066
Marina	F	21	0.140939597315436	0.0536316273368066
Lucas	M	21	0.0873653118109581	0.0536316273368066
Jackson	M	21	0.0873653118109581	0.0536316273368066
Jackie	F	21	0.140939597315436	0.0536316273368066
Zack	M	21	0.0873653118109581	0.0536316273368066
Sharon	F	21	0.140939597315436	0.0536316273368066
Lee	F	21	0.140939597315436	0.0536316273368066
Park	M	21	0.0873653118109581	0.0536316273368066
Zeke	M	21	0.0873653118109581	0.0536316273368066
Council	M	21	0.0873653118109581	0.0536316273368066
Amber	F	21	0.140939597315436	0.0536316273368066
Iris	F	21	0.140939597315436	0.0536316273368066
Winston	M	21	0.0873653118109581	0.0536316273368066
Eve	F	21	0.140939597315436	0.0536316273368066
Warren	M	21	0.0873653118109581	0.0536316273368066
Nathan	M	21	0.0873653118109581	0.0536316273368066
Billy	F	21	0.140939597315436	0.0536316273368066
Hana	F	21	0.140939597315436	0.0536316273368066
Vanessa	F	21	0.140939597315436	0.0536316273368066
Junior	F	20	0.134228187919463	0.0510777403207682
Lester	M	20	0.0832050588675791	0.0510777403207682
