Name	Sex	Total	GroupPercentage	OverallPercentage
John	M	346	3.42336994162462	2.08509099674581
Mary	F	158	2.89165446559297	0.952151380016874
George	M	157	1.55337884634412	0.946125105459805
Robert	M	136	1.34560205797962	0.819573339761359
Charles	M	127	1.25655486296626	0.76533686874774
William	M	120	1.18729593351143	0.723152946848258
James	M	107	1.05867220738102	0.644811377606364
David	M	97	0.959730879588404	0.584548632035676
Paul	M	97	0.959730879588404	0.584548632035676
Anna	F	94	1.7203513909224	0.566469808364469
Richard	M	93	0.920154348471356	0.5604435338074
Frank	M	89	0.880577817354309	0.536338435579125
Henry	M	88	0.870683684575047	0.530312161022056
Peter	M	87	0.860789551795785	0.524285886464987
Jack	M	84	0.831107153457999	0.506207062793781
Joseph	M	83	0.821213020678737	0.500180788236712
Michael	M	82	0.811318887899476	0.494154513679643
Thomas	M	81	0.801424755120214	0.488128239122574
Joe	M	80	0.791530622340952	0.482101964565506
Maria	F	79	1.44582723279649	0.476075690008437
Bill	M	77	0.761848224003166	0.464023140894299
Tom	M	72	0.712377560106857	0.433891768108955
Harry	M	69	0.682695161769071	0.415812944437749
Elizabeth	F	60	1.09809663250366	0.361576473424129
Don	M	60	0.593647966755714	0.361576473424129
Marie	F	57	1.04319180087848	0.343497649752923
Louis	M	55	0.544177302859404	0.331445100638785
Martin	M	54	0.534283170080142	0.325418826081716
Arthur	M	52	0.514494904521619	0.313366276967579
Alexander	M	51	0.504600771742357	0.30734000241051
Carl	M	51	0.504600771742357	0.30734000241051
Karl	M	50	0.494706638963095	0.301313727853441
Steve	M	49	0.484812506183833	0.295287453296372
Jim	M	49	0.484812506183833	0.295287453296372
Jean	M	48	0.474918373404571	0.289261178739303
Bob	M	48	0.474918373404571	0.289261178739303
Edward	M	47	0.465024240625309	0.283234904182235
Billy	M	46	0.455130107846047	0.277208629625166
Anne	F	44	0.805270863836018	0.265156080511028
Max	M	44	0.435341842287523	0.265156080511028
Daniel	M	44	0.435341842287523	0.265156080511028
Juan	M	44	0.435341842287523	0.265156080511028
Tony	M	43	0.425447709508262	0.259129805953959
Alfred	M	43	0.425447709508262	0.259129805953959
Sam	M	43	0.425447709508262	0.259129805953959
Mike	M	43	0.425447709508262	0.259129805953959
Albert	M	42	0.415553576729	0.25310353139689
Sarah	F	41	0.750366032210835	0.247077256839822
Margaret	F	41	0.750366032210835	0.247077256839822
Walter	M	41	0.405659443949738	0.247077256839822
Duke	M	40	0.395765311170476	0.241050982282753
Fred	M	40	0.395765311170476	0.241050982282753
Mark	M	39	0.385871178391214	0.235024707725684
Jane	F	38	0.695461200585652	0.228998433168615
Johnny	M	38	0.375977045611952	0.228998433168615
Antonio	M	37	0.36608291283269	0.222972158611546
Hans	M	36	0.356188780053428	0.216945884054478
Judge	M	36	0.356188780053428	0.216945884054478
Earl	M	35	0.346294647274166	0.210919609497409
Jimmy	M	35	0.346294647274166	0.210919609497409
Laura	F	35	0.640556368960469	0.210919609497409
Bobby	M	35	0.346294647274166	0.210919609497409
Colonel	M	34	0.336400514494905	0.20489333494034
Ray	M	34	0.336400514494905	0.20489333494034
Sister		34	0	0.20489333494034
Barbara	F	33	0.603953147877013	0.198867060383271
Pedro	M	33	0.326506381715643	0.198867060383271
Francis	M	31	0.306718116157119	0.186814511269133
Andrew	M	31	0.306718116157119	0.186814511269133
Ben	M	31	0.306718116157119	0.186814511269133
Ludwig	M	30	0.296823983377857	0.180788236712065
Sister	F	30	0.54904831625183	0.180788236712065
Benjamin	M	30	0.296823983377857	0.180788236712065
Catherine	F	30	0.54904831625183	0.180788236712065
Jan	M	30	0.296823983377857	0.180788236712065
Al	M	30	0.296823983377857	0.180788236712065
Tommy	M	30	0.296823983377857	0.180788236712065
Eddie	M	30	0.296823983377857	0.180788236712065
Charlie	M	30	0.296823983377857	0.180788236712065
Martha	F	29	0.530746705710103	0.174761962154996
Pierre	M	29	0.286929850598595	0.174761962154996
Johann	M	29	0.286929850598595	0.174761962154996
Rachel	F	29	0.530746705710103	0.174761962154996
Jean	F	29	0.530746705710103	0.174761962154996
Ruth	F	29	0.530746705710103	0.174761962154996
Vincent	M	29	0.286929850598595	0.174761962154996
Ed	M	29	0.286929850598595	0.174761962154996
Brian	M	29	0.286929850598595	0.174761962154996
Samuel	M	28	0.277035717819333	0.168735687597927
Christopher	M	28	0.277035717819333	0.168735687597927
Betty	F	28	0.512445095168375	0.168735687597927
Jesus	M	27	0.267141585040071	0.162709413040858
Helen	F	27	0.494143484626647	0.162709413040858
Rosa	F	27	0.494143484626647	0.162709413040858
Louise	F	27	0.494143484626647	0.162709413040858
Linda	F	27	0.494143484626647	0.162709413040858
Alice	F	26	0.475841874084919	0.156683138483789
Charlotte	F	26	0.475841874084919	0.156683138483789
Emma	F	26	0.475841874084919	0.156683138483789
Dave	M	26	0.257247452260809	0.156683138483789
Larry	M	26	0.257247452260809	0.156683138483789
Simon	M	26	0.257247452260809	0.156683138483789
Carlos	M	26	0.257247452260809	0.156683138483789
Clara	F	25	0.457540263543192	0.150656863926721
Dick	M	25	0.247353319481547	0.150656863926721
Ivan	M	25	0.247353319481547	0.150656863926721
Otto	M	25	0.247353319481547	0.150656863926721
Adam	M	25	0.247353319481547	0.150656863926721
Matt	M	25	0.247353319481547	0.150656863926721
Francisco	M	25	0.247353319481547	0.150656863926721
Lisa	F	25	0.457540263543192	0.150656863926721
Ana	F	25	0.457540263543192	0.150656863926721
Scott	M	25	0.247353319481547	0.150656863926721
Abraham	M	24	0.237459186702286	0.144630589369652
Franz	M	24	0.237459186702286	0.144630589369652
Teresa	F	24	0.439238653001464	0.144630589369652
Dan	M	24	0.237459186702286	0.144630589369652
Rose	F	24	0.439238653001464	0.144630589369652
Chris	M	24	0.237459186702286	0.144630589369652
Alan	M	24	0.237459186702286	0.144630589369652
Jenny	F	23	0.420937042459736	0.138604314812583
Annie	F	23	0.420937042459736	0.138604314812583
Jerry	M	23	0.227565053923024	0.138604314812583
Eric	M	23	0.227565053923024	0.138604314812583
Ali	M	23	0.227565053923024	0.138604314812583
Kate	F	22	0.402635431918009	0.132578040255514
Virginia	F	22	0.402635431918009	0.132578040255514
Eleanor	F	22	0.402635431918009	0.132578040255514
Oscar	M	22	0.217670921143762	0.132578040255514
