Name	Sex	Total	GroupPercentage	OverallPercentage
Guy	M	2040	1.23483692888792	0.717239051556831
John	M	1951	1.18096414130408	0.685947739993812
Jack	M	1659	1.0042129730515	0.583284111045481
Paul	M	1427	0.863780538001501	0.50171574831941
Tom	M	1385	0.838357424759691	0.486949061963829
Peter	M	1341	0.811723687077795	0.471479200067505
David	M	1334	0.807486501537493	0.469018085674908
Joe	M	1314	0.795380257136631	0.461986330267488
Mike	M	1292	0.782063388295683	0.454251399319326
George	M	1291	0.78145807607564	0.453899811548955
Mary	F	1256	1.08412312047922	0.44159423958597
Frank	M	1196	0.723953415171545	0.420498973363711
Michael	M	1183	0.716084356310985	0.415928332348888
Sam	M	1089	0.659185007626934	0.382879081934014
Bob	M	1034	0.625892835524564	0.363541754563609
Bill	M	1025	0.620445025544176	0.36037746463027
Steve	M	1020	0.61741846444396	0.358619525778415
Harry	M	1019	0.616813152223917	0.358267938008044
Charlie	M	987	0.597443161182538	0.347017129356172
Max	M	983	0.595021912302366	0.345610778274689
James	M	935	0.565966925740297	0.328734565296881
Ben	M	934	0.565361613520254	0.32838297752651
Tony	M	922	0.558097866879737	0.324163924282058
Robert	M	906	0.548412871359047	0.318538519956122
Maria	F	903	0.779429281682117	0.317483756645009
Anna	F	902	0.778566126331417	0.317132168874638
Sarah	F	893	0.770797728175117	0.313967878941299
Richard	M	891	0.5393331880584	0.313264703400557
Jimmy	M	883	0.534490690298056	0.310452001237589
Jim	M	861	0.521173821457108	0.302717070289427
Billy	M	832	0.503619767075858	0.292521024948668
Mark	M	822	0.497566644875427	0.289005147244958
Henry	M	818	0.495145395995254	0.287598796163474
Nick	M	805	0.487276337134694	0.283028155148651
Alex	M	775	0.469116970533401	0.272480522037521
Laura	F	772	0.666355930740415	0.271425758726408
Dave	M	760	0.460037287232755	0.267206705481957
Johnny	M	752	0.45519478947241	0.264394003318989
Martin	M	747	0.452168228372194	0.262636064467134
Alice	F	735	0.634419182764514	0.258417011222682
Lisa	F	721	0.622335007854714	0.253494782437488
Adam	M	697	0.421902617370039	0.245056675948584
Chris	M	694	0.42008668070991	0.244001912637471
Kevin	M	682	0.412822934069393	0.239782859393019
Charles	M	673	0.407375124089005	0.23661856945968
Jane	F	667	0.575724618916913	0.234509042837454
Dan	M	644	0.389821069707755	0.226422524118921
Kate	F	641	0.553282579798712	0.225367760807808
Eddie	M	636	0.38497857194741	0.223609821955953
Thomas	M	634	0.383767947507324	0.222906646415211
Larry	M	621	0.375898888646764	0.218336005400388
Julie	F	612	0.528251074628412	0.215171715467049
Danny	M	602	0.364397956465945	0.211655837763339
Jenny	F	600	0.517893210420011	0.210952662222597
Brian	M	600	0.363187332025859	0.210952662222597
Simon	M	595	0.360160770925643	0.209194723370742
Fred	M	594	0.3595554587056	0.208843135600371
Barbara	F	591	0.510124812263711	0.207788372289258
Daniel	M	585	0.354107648725212	0.205678845667032
Jason	M	581	0.35168639984504	0.204272494585548
Jake	M	578	0.349870463184911	0.203217731274435
Jerry	M	576	0.348659838744825	0.202514555733693
Betty	F	570	0.491998549899011	0.200405029111467
Jeff	M	564	0.341396092104307	0.198295502489241
Tommy	M	564	0.341396092104307	0.198295502489241
William	M	563	0.340790779884264	0.19794391471887
Roger	M	561	0.339580155444178	0.197240739178128
Linda	F	559	0.482503841041311	0.196537563637386
Sally	F	558	0.481640685690611	0.196185975867015
Susan	F	554	0.478188064287811	0.194779624785531
Walter	M	543	0.328684535483402	0.190912159311451
Lucy	F	539	0.46524073402731	0.189505808229967
Julia	F	539	0.46524073402731	0.189505808229967
