Name	Sex	Total	GroupPercentage	OverallPercentage
John	M	1405	2.03770848440899	1.26281918766122
Frank	M	1014	1.47063089195069	0.911386943977566
Paul	M	866	1.25598259608412	0.778363997519302
Jack	M	808	1.1718636693256	0.726233383366739
Joe	M	793	1.15010877447426	0.712751327982455
David	M	682	0.989122552574329	0.612984118138757
Michael	M	663	0.961566352429297	0.595906847985332
Robert	M	645	0.935460478607687	0.579728381524191
Mike	M	633	0.918056562726614	0.568942737216764
Peter	M	630	0.913705583756345	0.566246326139908
Tom	M	626	0.907904278462654	0.562651111370766
George	M	620	0.899202320522117	0.557258289217052
Richard	M	613	0.889050036258158	0.550966663371053
Tony	M	571	0.828136330674402	0.513216908295059
Harry	M	546	0.791878172588833	0.49074681598792
James	M	542	0.786076867295141	0.487151601218778
Jim	M	499	0.723712835387962	0.448503042450498
Mary	F	479	1.16522331419675	0.430526968604787
Sam	M	456	0.661348803480783	0.409854483682219
Anna	F	455	1.1068405176608	0.408955679989933
Steve	M	452	0.655547498187092	0.406259268913077
Mark	M	441	0.639593908629442	0.396372428297935
Bill	M	438	0.635242929659173	0.393676017221079
Charles	M	436	0.632342277012328	0.391878409836508
Charlie	M	434	0.629441624365482	0.390080802451936
Martin	M	427	0.619289340101523	0.383789176605937
Johnny	M	419	0.607686729514141	0.376598747067653
Nick	M	412	0.597534445250181	0.370307121221654
Max	M	406	0.588832487309645	0.364914299067941
Thomas	M	404	0.585931834662799	0.363116691683369
Maria	F	386	0.938989977619928	0.346938225222229
Jimmy	M	379	0.54967367657723	0.34064659937623
Laura	F	377	0.917096428918945	0.338848991991659
Eddie	M	361	0.52356780275562	0.32446813291509
Bob	M	360	0.522117476432197	0.323569329222804
Henry	M	344	0.498912255257433	0.309188470146235
Helen	F	341	0.829522234115014	0.306492059069379
Ben	M	339	0.491660623640319	0.304694451684808
Don	M	334	0.484408992023205	0.30020043322338
Ray	M	327	0.474256707759246	0.293908807377381
Alex	M	327	0.474256707759246	0.293908807377381
William	M	324	0.469905728788978	0.291212396300524
Danny	M	322	0.467005076142132	0.289414788915953
Sarah	F	312	0.758976354967403	0.280426751993097
Tommy	M	307	0.44525018129079	0.275932733531669
Daniel	M	306	0.443799854967368	0.275033929839384
Dan	M	302	0.437998549673677	0.271438715070242
Billy	M	296	0.42929659173314	0.266045892916528
Walter	M	295	0.427846265409717	0.265147089224243
