Name	Sex	Total	GroupPercentage	OverallPercentage
John	M	362	3.56018882769473	1.62696629213483
London		204	0	0.91685393258427
Sister		170	0	0.764044943820225
York		169	0	0.759550561797753
Royal		165	0	0.741573033707865
Robert	M	158	1.55389457120378	0.710112359550562
David	M	153	1.50472069236821	0.687640449438202
James	M	145	1.42604248623131	0.651685393258427
Judge		133	0	0.597752808988764
George	M	125	1.22934697088906	0.561797752808989
William	M	120	1.1801730920535	0.539325842696629
Michael	M	119	1.17033831628639	0.534831460674157
Mary	F	117	2.73620205799813	0.525842696629213
Charles	M	111	1.09166011014949	0.498876404494382
Thomas	M	95	0.934303697875688	0.426966292134831
Art		95	0	0.426966292134831
Bill	M	93	0.914634146341463	0.417977528089888
Mike	M	91	0.894964594807238	0.408988764044944
Peter	M	90	0.885129819040126	0.404494382022472
Richard	M	88	0.865460267505901	0.395505617977528
Texas		86	0	0.386516853932584
Joe	M	81	0.796616837136113	0.364044943820225
Frank	M	79	0.776947285601888	0.355056179775281
Guy	M	79	0.776947285601888	0.355056179775281
Paul	M	79	0.776947285601888	0.355056179775281
Apollo		78	0	0.350561797752809
John		75	0	0.337078651685393
Mark	M	74	0.727773406766326	0.332584269662921
Chris	M	72	0.708103855232101	0.323595505617978
Park		71	0	0.319101123595506
Washington		70	0	0.314606741573034
Jack	M	66	0.649095200629426	0.296629213483146
Steve	M	66	0.649095200629426	0.296629213483146
Jim	M	65	0.639260424862313	0.292134831460674
Tom	M	64	0.629425649095201	0.287640449438202
German	M	63	0.619590873328088	0.28314606741573
Bob	M	61	0.599921321793863	0.274157303370787
Joseph	M	58	0.570416994492526	0.260674157303371
Henry	M	58	0.570416994492526	0.260674157303371
Angeles		56	0	0.251685393258427
Columbia		54	0	0.242696629213483
Lawyer		54	0	0.242696629213483
Crew		54	0	0.242696629213483
Arizona		51	0	0.229213483146067
Tony	M	50	0.491738788355626	0.224719101123595
Boston		49	0	0.220224719101124
George		49	0	0.220224719101124
Brian	M	49	0.481904012588513	0.220224719101124
West		49	0	0.220224719101124
Edward	M	48	0.4720692368214	0.215730337078652
Jack		47	0	0.21123595505618
Martin	M	46	0.452399685287175	0.206741573033708
Elizabeth	F	45	1.05238540692236	0.202247191011236
Judge	M	45	0.442564909520063	0.202247191011236
Sarah	F	45	1.05238540692236	0.202247191011236
David		45	0	0.202247191011236
North		44	0	0.197752808988764
Sam	M	43	0.422895357985838	0.193258426966292
Press		42	0	0.18876404494382
Alex	M	42	0.413060582218725	0.18876404494382
German		41	0	0.184269662921348
Carl	M	41	0.403225806451613	0.184269662921348
Danny	M	40	0.3933910306845	0.179775280898876
Eric	M	40	0.3933910306845	0.179775280898876
Billy	M	39	0.383556254917388	0.175280898876404
French	M	39	0.383556254917388	0.175280898876404
Scott	M	39	0.383556254917388	0.175280898876404
Jennifer	F	39	0.912067352666043	0.175280898876404
Jimmy	M	38	0.373721479150275	0.170786516853933
Kevin	M	38	0.373721479150275	0.170786516853933
Fred	M	37	0.363886703383163	0.166292134831461
French		37	0	0.166292134831461
Andrew	M	37	0.363886703383163	0.166292134831461
Stanford		37	0	0.166292134831461
Larry	M	37	0.363886703383163	0.166292134831461
Dave	M	37	0.363886703383163	0.166292134831461
Sister	F	37	0.865294667913938	0.166292134831461
Male	M	36	0.35405192761605	0.161797752808989
Daniel	M	36	0.35405192761605	0.161797752808989
Jane	F	36	0.841908325537886	0.161797752808989
Robert		36	0	0.161797752808989
Maria	F	36	0.841908325537886	0.161797752808989
Jason	M	36	0.35405192761605	0.161797752808989
Lisa	F	36	0.841908325537886	0.161797752808989
Hunter	M	35	0.344217151848938	0.157303370786517
Matt	M	35	0.344217151848938	0.157303370786517
Dan	M	35	0.344217151848938	0.157303370786517
James		35	0	0.157303370786517
Anthony	M	35	0.344217151848938	0.157303370786517
Susan	F	35	0.818521983161833	0.157303370786517
Michael		35	0	0.157303370786517
Al	M	34	0.334382376081825	0.152808988764045
January		34	0	0.152808988764045
April		34	0	0.152808988764045
Stephen	M	34	0.334382376081825	0.152808988764045
Mary		33	0	0.148314606741573
Ben	M	33	0.324547600314713	0.148314606741573
Florida		33	0	0.148314606741573
Jesus	M	33	0.324547600314713	0.148314606741573
Star		33	0	0.148314606741573
Jeff	M	33	0.324547600314713	0.148314606741573
Colonel		32	0	0.143820224719101
Laura	F	32	0.748362956033676	0.143820224719101
Lee	M	32	0.3147128245476	0.143820224719101
Alexander	M	31	0.304878048780488	0.139325842696629
Greg	M	31	0.304878048780488	0.139325842696629
Santa		31	0	0.139325842696629
Ed	M	30	0.295043273013375	0.134831460674157
Tim	M	30	0.295043273013375	0.134831460674157
Rock		30	0	0.134831460674157
Bobby	M	30	0.295043273013375	0.134831460674157
Council		30	0	0.134831460674157
Patrick	M	30	0.295043273013375	0.134831460674157
Albert	M	29	0.285208497246263	0.130337078651685
Harry	M	29	0.285208497246263	0.130337078651685
Harold	M	29	0.285208497246263	0.130337078651685
Hunter		29	0	0.130337078651685
Media		29	0	0.130337078651685
Christopher	M	29	0.285208497246263	0.130337078651685
Anna	F	28	0.654817586529467	0.125842696629213
Dennis	M	28	0.27537372147915	0.125842696629213
Roger	M	28	0.27537372147915	0.125842696629213
Anne	F	28	0.654817586529467	0.125842696629213
Rachel	F	28	0.654817586529467	0.125842696629213
Adam	M	28	0.27537372147915	0.125842696629213
Steven	M	27	0.265538945712038	0.121348314606742
Rick	M	27	0.265538945712038	0.121348314606742
Jessica	F	27	0.631431244153414	0.121348314606742
Max	M	27	0.265538945712038	0.121348314606742
Virginia		27	0	0.121348314606742
Alan	M	27	0.265538945712038	0.121348314606742
Ken	M	27	0.265538945712038	0.121348314606742
Karen	F	27	0.631431244153414	0.121348314606742
Frank		26	0	0.11685393258427
Charlie	M	26	0.255704169944925	0.11685393258427
Matthew	M	26	0.255704169944925	0.11685393258427
Walter	M	25	0.245869394177813	0.112359550561798
Ron	M	25	0.245869394177813	0.112359550561798
Amy	F	25	0.58465855940131	0.112359550561798
Karl	M	25	0.245869394177813	0.112359550561798
Dallas		25	0	0.112359550561798
Arthur	M	25	0.245869394177813	0.112359550561798
Marie	F	25	0.58465855940131	0.112359550561798
Gary	M	25	0.245869394177813	0.112359550561798
Louis	M	25	0.245869394177813	0.112359550561798
Lewis	M	24	0.2360346184107	0.107865168539326
Linda	F	24	0.561272217025257	0.107865168539326
Juan	M	24	0.2360346184107	0.107865168539326
Richard		24	0	0.107865168539326
Governor		24	0	0.107865168539326
Trace		24	0	0.107865168539326
Peter		24	0	0.107865168539326
Israel		24	0	0.107865168539326
Eddie	M	24	0.2360346184107	0.107865168539326
Nick	M	24	0.2360346184107	0.107865168539326
America		24	0	0.107865168539326
Cleveland		24	0	0.107865168539326
Justin	M	24	0.2360346184107	0.107865168539326
Colonel	M	23	0.226199842643588	0.103370786516854
Bob		23	0	0.103370786516854
Tommy	M	23	0.226199842643588	0.103370786516854
Rob	M	23	0.226199842643588	0.103370786516854
Charles		23	0	0.103370786516854
May		23	0	0.103370786516854
Jean	M	22	0.216365066876475	0.098876404494382
Bishop	M	22	0.216365066876475	0.098876404494382
Jacob	M	22	0.216365066876475	0.098876404494382
Bruce	M	22	0.216365066876475	0.098876404494382
Benjamin	M	22	0.216365066876475	0.098876404494382
Walt		22	0	0.098876404494382
Crew	M	21	0.206530291109363	0.0943820224719101
Jake	M	21	0.206530291109363	0.0943820224719101
Ray	M	21	0.206530291109363	0.0943820224719101
Princeton		21	0	0.0943820224719101
Diego		21	0	0.0943820224719101
Betty	F	21	0.4911131898971	0.0943820224719101
Guy		21	0	0.0943820224719101
Jim		21	0	0.0943820224719101
Case		21	0	0.0943820224719101
Stone		21	0	0.0943820224719101
Adolf	M	21	0.206530291109363	0.0943820224719101
Francisco		20	0	0.0898876404494382
Helen	F	20	0.467726847521048	0.0898876404494382
Simon	M	20	0.19669551534225	0.0898876404494382
Alice	F	20	0.467726847521048	0.0898876404494382
June		20	0	0.0898876404494382
Abraham	M	20	0.19669551534225	0.0898876404494382
Carlos	M	20	0.19669551534225	0.0898876404494382
Georgia		20	0	0.0898876404494382
Arthur		20	0	0.0898876404494382
Ian	M	20	0.19669551534225	0.0898876404494382
Barbara	F	20	0.467726847521048	0.0898876404494382
Love		20	0	0.0898876404494382
Jackie	F	19	0.444340505144995	0.0853932584269663
Ted	M	19	0.186860739575138	0.0853932584269663
Chuck	M	19	0.186860739575138	0.0853932584269663
Henry		19	0	0.0853932584269663
Josh	M	19	0.186860739575138	0.0853932584269663
Amanda	F	19	0.444340505144995	0.0853932584269663
Christian		19	0	0.0853932584269663
Park	M	19	0.186860739575138	0.0853932584269663
Randy	M	19	0.186860739575138	0.0853932584269663
Margaret	F	19	0.444340505144995	0.0853932584269663
Lawyer	M	19	0.186860739575138	0.0853932584269663
Sean	M	19	0.186860739575138	0.0853932584269663
Pierre	M	18	0.177025963808025	0.0808988764044944
Donald	M	18	0.177025963808025	0.0808988764044944
Duke		18	0	0.0808988764044944
Keith	M	18	0.177025963808025	0.0808988764044944
Jose	M	18	0.177025963808025	0.0808988764044944
Dorothy	F	18	0.420954162768943	0.0808988764044944
Max		18	0	0.0808988764044944
Michelle	F	18	0.420954162768943	0.0808988764044944
Jonathan	M	18	0.177025963808025	0.0808988764044944
Jeremy	M	18	0.177025963808025	0.0808988764044944
Berlin		18	0	0.0808988764044944
Tina	F	18	0.420954162768943	0.0808988764044944
Ashley	F	18	0.420954162768943	0.0808988764044944
Carol	F	18	0.420954162768943	0.0808988764044944
Jerry	M	18	0.177025963808025	0.0808988764044944
Ruth	F	18	0.420954162768943	0.0808988764044944
Samuel	M	18	0.177025963808025	0.0808988764044944
Julie	F	18	0.420954162768943	0.0808988764044944
Long		17	0	0.0764044943820225
Hall		17	0	0.0764044943820225
Nancy	F	17	0.397567820392891	0.0764044943820225
Frederick	M	17	0.167191188040913	0.0764044943820225
Catherine	F	17	0.397567820392891	0.0764044943820225
Andy	M	17	0.167191188040913	0.0764044943820225
Vincent	M	17	0.167191188040913	0.0764044943820225
Roy	M	17	0.167191188040913	0.0764044943820225
Thomas		17	0	0.0764044943820225
Lucy	F	17	0.397567820392891	0.0764044943820225
Bristol		17	0	0.0764044943820225
Martin		17	0	0.0764044943820225
Colin	M	17	0.167191188040913	0.0764044943820225
Lincoln		17	0	0.0764044943820225
Doug	M	17	0.167191188040913	0.0764044943820225
Will	M	17	0.167191188040913	0.0764044943820225
Craig	M	17	0.167191188040913	0.0764044943820225
Lawrence	M	17	0.167191188040913	0.0764044943820225
Jesse	M	17	0.167191188040913	0.0764044943820225
Emma	F	17	0.397567820392891	0.0764044943820225
