Name	Sex	Total	GroupPercentage	OverallPercentage
John	M	4435	1.90466783194259	1.08763626108175
David	M	2851	1.22439864461518	0.699177222174537
Paul	M	2699	1.15912028825548	0.661900849754148
Jack	M	2547	1.09384193189578	0.624624477333758
Anna	F	2356	1.3557605436853	0.577783772516033
Michael	M	2300	0.987764602811264	0.564050372150626
Frank	M	2293	0.984758362715751	0.56233369710495
Tom	M	2261	0.971015550850551	0.554486039753289
Peter	M	2141	0.919480006356051	0.525057324684561
Mary	F	2129	1.22513336057131	0.522114453177688
Joe	M	2111	0.906596120232425	0.517700145917379
Maria	F	2005	1.15377754248261	0.491704780940002
Robert	M	1954	0.839170449518787	0.479197577035793
George	M	1876	0.805672345597361	0.460068912241119
James	M	1867	0.801807179760274	0.457861758610965
Mike	M	1677	0.720209234310648	0.411266293085478
Sarah	F	1659	0.954671792009299	0.406851985825169
Richard	M	1655	0.710761051153323	0.405871028656211
Sam	M	1613	0.692723610580247	0.395570978382156
Laura	F	1563	0.899428578005145	0.383309013770186
Thomas	M	1550	0.665667449720634	0.380120902971074
Ben	M	1521	0.653213026467797	0.373008963496131
Jim	M	1497	0.642905917568897	0.367123220482386
Don	M	1455	0.624868476995821	0.356823170208331
Martin	M	1440	0.618426533934009	0.35314458082474
Bill	M	1393	0.598241779006996	0.341618334089488
Daniel	M	1392	0.597812316136208	0.341373094797248
Harry	M	1390	0.596953390394633	0.34088261621277
Mark	M	1385	0.594806076040696	0.339656419751573
Alex	M	1333	0.572474006759746	0.326903976555124
Henry	M	1327	0.569897229535021	0.325432540801687
Charles	M	1266	0.543699994416983	0.310472943975084
Max	M	1256	0.539405365709108	0.30802055105269
Tony	M	1251	0.53725805135517	0.306794354591493
Charlie	M	1230	0.528239331068632	0.301644329454465
Steve	M	1209	0.519220610782095	0.296494304317438
William	M	1205	0.517502759298945	0.29551334714848
Nick	M	1168	0.501612633079807	0.286439493335622
Alice	F	1160	0.66752216921687	0.284477578997707
Marie	F	1102	0.634146060756026	0.270253700047822
Helen	F	1064	0.612278955212715	0.260934606942724
Lisa	F	1061	0.610552604775085	0.260198889066006
Kate	F	1052	0.605373553462196	0.257991735435852
Bob	M	1051	0.451365477197669	0.257746496143612
Adam	M	1041	0.447070848489794	0.255294103221218
Chris	M	1040	0.446641385619006	0.255048863928979
Johnny	M	1024	0.439769979686406	0.251125035253148
Simon	M	979	0.420444150500968	0.240089267102375
Jane	F	973	0.559912991937943	0.238617831348939
Jimmy	M	973	0.417867373276243	0.238617831348939
Anne	F	963	0.554158490479177	0.236165438426545
Julia	F	950	0.546677638582781	0.232977327627432
Billy	M	940	0.403695098540256	0.230524934705038
Eva	F	935	0.538045886394632	0.229298738243841
Julie	F	935	0.538045886394632	0.229298738243841
Susan	F	912	0.52481053303947	0.223658234522335
Dan	M	904	0.388234435191905	0.22169632018442
Eddie	M	904	0.388234435191905	0.22169632018442
Claire	F	898	0.516754230997198	0.220224884430984
Danny	M	885	0.380074640646943	0.217036773631871
Eric	M	870	0.37363269758513	0.21335818424828
Elizabeth	F	835	0.480500871806971	0.204774809019901
Jake	M	833	0.357742571365993	0.204284330435422
Walter	M	825	0.354306868399692	0.202322416097507
Sara	F	823	0.473595470056452	0.201831937513028
Joseph	M	820	0.352159554045755	0.20109621963631
Rachel	F	815	0.468991868889439	0.199870023175113
Emma	F	814	0.468416418743562	0.199624783882874
Linda	F	811	0.466690068305932	0.198889066006155
Emily	F	809	0.465539168014179	0.198398587421677
Jenny	F	799	0.459784666555413	0.195946194499283
Victor	M	793	0.340564056534492	0.194474758745846
Barbara	F	792	0.455756515534277	0.194229519453607
Ana	F	787	0.452879264804894	0.19300332299241
Arthur	M	781	0.335410502085042	0.191531887238973
Tommy	M	780	0.334981039214255	0.191286647946734
Matt	M	776	0.333263187731105	0.190305690777776
Jason	M	768	0.329827484764805	0.188343776439861
Dave	M	761	0.326821244669292	0.186627101394185
Lee	M	760	0.326391781798505	0.186381862101946
Nina	F	750	0.431587609407459	0.183929469179552
Karen	F	748	0.430436709115706	0.183438990595073
Carlos	M	747	0.320808764478267	0.183193751302834
Sister	F	735	0.42295585721931	0.180250879795961
Juan	M	727	0.312219507062517	0.178288965458046
Judge	M	723	0.310501655579367	0.177308008289088
