Name	Sex	Total	GroupPercentage	OverallPercentage
John	M	353	1.19454502385706	0.685184106834372
Tom	M	328	1.10994551791818	0.636658320231371
Jack	M	327	1.10656153768062	0.634717288767251
Peter	M	297	1.00504213055396	0.57648634484365
Mary	F	259	1.2298195631529	0.502727149207089
Sam	M	253	0.856147000101519	0.491080960422368
David	M	242	0.81892321748841	0.469729614317048
Ben	M	240	0.812155257013299	0.465847551388808
George	M	224	0.758011573212412	0.434791047962887
Charlie	M	221	0.747859632499746	0.428967953570527
Joe	M	218	0.73770769178708	0.423144859178167
Max	M	214	0.724171770836858	0.415380733321687
Billy	M	204	0.690331968461304	0.395970418680487
Frank	M	198	0.670028087035972	0.384324229895767
Anna	F	196	0.930674264007597	0.380442166967527
Michael	M	188	0.636188284660418	0.364913915254566
Bill	M	186	0.629420324185307	0.361031852326326
Paul	M	185	0.626036343947751	0.359090820862206
Sarah	F	185	0.878442545109212	0.359090820862206
Mike	M	177	0.598964502047308	0.343562569149246
Guy	M	176	0.595580521809753	0.341621537685126
Bob	M	172	0.582044600859531	0.333857411828646
Henry	M	172	0.582044600859531	0.333857411828646
Jim	M	161	0.544820818246421	0.312506065723325
Judge		157	0	0.304741939866845
Martin	M	153	0.517748976345978	0.296977814010365
James	M	151	0.510981015870867	0.293095751082125
Alice	F	145	0.688509021842355	0.281449562297405
Thomas	M	140	0.473757233257758	0.271744404976805
Jake	M	139	0.470373253020202	0.269803373512685
Alex	M	138	0.466989272782647	0.267862342048565
Maria	F	135	0.641025641025641	0.262039247656205
Harry	M	134	0.453453351832425	0.260098216192084
Johnny	M	132	0.446685391357314	0.256216153263844
Pete	M	131	0.443301411119759	0.254275121799724
Danny	M	128	0.433149470407093	0.248452027407364
Robert	M	127	0.429765490169537	0.246510995943244
Emma	F	127	0.60303893637227	0.246510995943244
Star		127	0	0.246510995943244
Daniel	M	123	0.416229569219316	0.238746870086764
Jenny	F	122	0.579297245963913	0.236805838622644
Fred	M	121	0.409461608744205	0.234864807158524
Jimmy	M	120	0.40607762850665	0.232923775694404
Nick	M	120	0.40607762850665	0.232923775694404
Laura	F	120	0.56980056980057	0.232923775694404
