Name	Sex	Total	GroupPercentage	OverallPercentage
Jack	M	279	1.41516611716967	0.808648773984117
John	M	273	1.38473243723054	0.791258477769405
Peter	M	192	0.973877758052245	0.55648947887079
David	M	188	0.953588638092823	0.544895948060982
Tom	M	182	0.92315495815369	0.52750565184627
Mary	F	171	1.16755428103236	0.495623442119297
Michael	M	171	0.86735987826528	0.495623442119297
Alice	F	166	1.13341526696709	0.481131528607037
Henry	M	163	0.826781638346437	0.472436380499681
George	M	156	0.791275678417449	0.452147701582517
Paul	M	155	0.786203398427593	0.449249318880065
Sarah	F	147	1.00368701351905	0.426062257260449
James	M	143	0.725336038549328	0.414468726450641
Frank	M	143	0.725336038549328	0.414468726450641
Sam	M	143	0.725336038549328	0.414468726450641
Guy	M	141	0.715191478569617	0.408671961045736
Joe	M	134	0.679685518640629	0.388383282128572
Adam	M	126	0.639107278721785	0.365196220508956
Anna	F	124	0.84664754881879	0.359399455104052
William	M	122	0.618818158762364	0.353602689699148
Ben	M	122	0.618818158762364	0.353602689699148
Max	M	117	0.593456758813086	0.339110776186888
Richard	M	113	0.573167638853665	0.32751724537708
Alex	M	113	0.573167638853665	0.32751724537708
Charles	M	112	0.568095358863809	0.324618862674628
Thomas	M	109	0.552878518894243	0.315923714567271
Charlie	M	104	0.527517118944966	0.301431801055011
Laura	F	104	0.710091492557695	0.301431801055011
Daniel	M	103	0.52244483895511	0.298533418352559
Harry	M	103	0.52244483895511	0.298533418352559
Bill	M	102	0.517372558965255	0.295635035650107
Nick	M	100	0.507227998985544	0.289838270245203
Simon	M	100	0.507227998985544	0.289838270245203
Billy	M	100	0.507227998985544	0.289838270245203
Maria	F	99	0.675952478492421	0.286939887542751
Jason	M	96	0.486938879026122	0.278244739435395
Helen	F	94	0.641813464427147	0.272447974030491
Johnny	M	93	0.471722039056556	0.269549591328039
Arthur	M	92	0.4666497590667	0.266651208625587
Mike	M	92	0.4666497590667	0.266651208625587
Bob	M	91	0.461577479076845	0.263752825923135
Kate	F	91	0.621330055987983	0.263752825923135
Fairy	F	89	0.607674450361874	0.257956060518231
Martin	M	87	0.441288359117423	0.252159295113327
Jane	F	86	0.587191041922709	0.249260912410875
Mark	M	85	0.431143799137712	0.246362529708423
Jake	M	84	0.426071519147857	0.243464147005971
Jim	M	83	0.420999239158002	0.240565764303519
Robert	M	83	0.420999239158002	0.240565764303519
Sister	F	82	0.55987983067049	0.237667381601067
Rose	F	78	0.532568619418271	0.226073850791258
Steve	M	78	0.395637839208724	0.226073850791258
Jimmy	M	77	0.390565559218869	0.223175468088806
Claire	F	77	0.525740816605216	0.223175468088806
Dan	M	76	0.385493279229013	0.220277085386354
Julia	F	75	0.512085210979107	0.217378702683902
Lee	M	75	0.380420999239158	0.217378702683902
Male	M	74	0.375348719249303	0.21448031998145
Elizabeth	F	74	0.505257408166052	0.21448031998145
Lucy	F	74	0.505257408166052	0.21448031998145
Eric	M	74	0.375348719249303	0.21448031998145
Tony	M	73	0.370276439259447	0.211581937278998
Victor	M	73	0.370276439259447	0.211581937278998
Edward	M	73	0.370276439259447	0.211581937278998
Emily	F	73	0.498429605352997	0.211581937278998
Roger	M	72	0.365204159269592	0.208683554576546
Susan	F	72	0.491601802539943	0.208683554576546
Jonathan	M	71	0.360131879279736	0.205785171874094
Rachel	F	69	0.471118394100778	0.19998840646919
Hunter	M	69	0.349987319300025	0.19998840646919
Kevin	M	69	0.349987319300025	0.19998840646919
Julie	F	67	0.457462788474669	0.194191641064286
Marie	F	67	0.457462788474669	0.194191641064286
Eddie	M	67	0.339842759320314	0.194191641064286
Dave	M	66	0.334770479330459	0.191293258361834
Karen	F	65	0.443807182848559	0.188394875659382
Lisa	F	65	0.443807182848559	0.188394875659382
Gabriel	M	65	0.329698199340604	0.188394875659382
Sophie	F	64	0.436979380035505	0.18549649295693
Brian	M	64	0.324625919350748	0.18549649295693
Angel	F	63	0.43015157722245	0.182598110254478
Amy	F	63	0.43015157722245	0.182598110254478
Tim	M	62	0.314481359371037	0.179699727552026
Danny	M	62	0.314481359371037	0.179699727552026
Santa	M	60	0.304336799391326	0.173902962147122
Pete	M	60	0.304336799391326	0.173902962147122
Samantha	F	60	0.409668168783286	0.173902962147122
Jenny	F	59	0.402840365970231	0.17100457944467
Carl	M	59	0.299264519401471	0.17100457944467
Angel	M	59	0.299264519401471	0.17100457944467
Maggie	F	58	0.396012563157176	0.168106196742218
Josh	M	57	0.28911995942176	0.165207814039766
Jennifer	F	57	0.389184760344121	0.165207814039766
Jessica	F	57	0.389184760344121	0.165207814039766
Sara	F	57	0.389184760344121	0.165207814039766
Chris	M	57	0.28911995942176	0.165207814039766
Albert	M	56	0.284047679431905	0.162309431337314
Sally	F	56	0.382356957531067	0.162309431337314
Colonel	M	56	0.284047679431905	0.162309431337314
Will	M	56	0.284047679431905	0.162309431337314
Linda	F	56	0.382356957531067	0.162309431337314
Diana	F	56	0.382356957531067	0.162309431337314
Bobby	M	55	0.278975399442049	0.159411048634862
Larry	M	55	0.278975399442049	0.159411048634862
Jacob	M	54	0.273903119452194	0.15651266593241
Anne	F	54	0.368701351904957	0.15651266593241
Walter	M	54	0.273903119452194	0.15651266593241
Ray	M	54	0.273903119452194	0.15651266593241
Emma	F	54	0.368701351904957	0.15651266593241
Alan	M	53	0.268830839462338	0.153614283229958
Eva	F	53	0.361873549091902	0.153614283229958
Lily	F	53	0.361873549091902	0.153614283229958
Wendy	F	53	0.361873549091902	0.153614283229958
Rebecca	F	53	0.361873549091902	0.153614283229958
Eve	F	53	0.361873549091902	0.153614283229958
Leo	M	52	0.263758559472483	0.150715900527506
Baron	M	52	0.263758559472483	0.150715900527506
Ed	M	52	0.263758559472483	0.150715900527506
Fred	M	52	0.263758559472483	0.150715900527506
Harold	M	51	0.258686279482627	0.147817517825054
Tommy	M	51	0.258686279482627	0.147817517825054
Ellen	F	50	0.341390140652738	0.144919135122602
Betty	F	50	0.341390140652738	0.144919135122602
Molly	F	50	0.341390140652738	0.144919135122602
Amanda	F	50	0.341390140652738	0.144919135122602
Angela	F	49	0.334562337839683	0.14202075242015
Ted	M	49	0.248541719502917	0.14202075242015
Jeff	M	49	0.248541719502917	0.14202075242015
Gary	M	49	0.248541719502917	0.14202075242015
Ryan	M	49	0.248541719502917	0.14202075242015
Barbara	F	48	0.327734535026628	0.139122369717698
Nancy	F	48	0.327734535026628	0.139122369717698
Kim	M	48	0.243469439513061	0.139122369717698
Boss	M	48	0.243469439513061	0.139122369717698
Annie	F	48	0.327734535026628	0.139122369717698
Janet	F	47	0.320906732213574	0.136223987015245
Matt	M	47	0.238397159523206	0.136223987015245
Andy	M	47	0.238397159523206	0.136223987015245
Margaret	F	46	0.314078929400519	0.133325604312793
Jeremy	M	46	0.23332487953335	0.133325604312793
Clara	F	46	0.314078929400519	0.133325604312793
Dean	M	46	0.23332487953335	0.133325604312793
Charlotte	F	46	0.314078929400519	0.133325604312793
Carol	F	46	0.314078929400519	0.133325604312793
Martha	F	45	0.307251126587464	0.130427221610341
Leon	M	45	0.228252599543495	0.130427221610341
Marcus	M	45	0.228252599543495	0.130427221610341
Andrew	M	44	0.223180319553639	0.127528838907889
Tina	F	44	0.300423323774409	0.127528838907889
Park	M	44	0.223180319553639	0.127528838907889
Victoria	F	43	0.293595520961355	0.124630456205437
Vincent	M	43	0.218108039563784	0.124630456205437
Ian	M	43	0.218108039563784	0.124630456205437
Lucas	M	43	0.218108039563784	0.124630456205437
Nathan	M	43	0.218108039563784	0.124630456205437
Kim	F	43	0.293595520961355	0.124630456205437
Catherine	F	41	0.279939915335245	0.118833690800533
Lola	F	41	0.279939915335245	0.118833690800533
Nina	F	41	0.279939915335245	0.118833690800533
Ivan	M	40	0.202891199594218	0.115935308098081
