Name	Sex	Total	GroupPercentage	OverallPercentage
Joe	M	61	3.69473046638401	2.23525100769513
John	M	43	2.60448213204119	1.57566874312935
Johnny	M	35	2.11992731677771	1.28252106998901
Mike	M	34	2.05935796486978	1.24587761084646
Steve	M	31	1.87764990914597	1.13594723341883
Frank	M	29	1.7565112053301	1.06266031513375
Paul	M	28	1.69594185342217	1.02601685599121
Eddie	M	27	1.63537250151423	0.989373396848663
Ann	F	26	2.41187384044527	0.952729937706119
Jim	M	25	1.51423379769836	0.916086478563576
George	M	25	1.51423379769836	0.916086478563576
Bill	M	24	1.45366444579043	0.879443019421033
Nick	M	24	1.45366444579043	0.879443019421033
Helen	F	24	2.22634508348794	0.879443019421033
Mary	F	22	2.04081632653061	0.806156101135947
David	M	20	1.21138703815869	0.732869182850861
James	M	19	1.15081768625076	0.696225723708318
Dan	M	19	1.15081768625076	0.696225723708318
Bob	M	18	1.09024833434282	0.659582264565775
Mark	M	18	1.09024833434282	0.659582264565775
Fred	M	17	1.02967898243489	0.622938805423232
Ellen	F	17	1.57699443413729	0.622938805423232
Harry	M	17	1.02967898243489	0.622938805423232
Sam	M	16	0.969109630526953	0.586295346280689
Robert	M	16	0.969109630526953	0.586295346280689
Michael	M	16	0.969109630526953	0.586295346280689
Charles	M	15	0.908540278619019	0.549651887138146
Susan	F	15	1.39146567717996	0.549651887138146
Tom	M	15	0.908540278619019	0.549651887138146
Ruth	F	14	1.2987012987013	0.513008427995603
Ed	M	14	0.847970926711084	0.513008427995603
Al	M	14	0.847970926711084	0.513008427995603
Julie	F	14	1.2987012987013	0.513008427995603
William	M	14	0.847970926711084	0.513008427995603
Richard	M	14	0.847970926711084	0.513008427995603
Tony	M	14	0.847970926711084	0.513008427995603
Larry	M	14	0.847970926711084	0.513008427995603
Janet	F	13	1.20593692022263	0.47636496885306
Pete	M	13	0.78740157480315	0.47636496885306
Martin	M	13	0.78740157480315	0.47636496885306
Linda	F	12	1.11317254174397	0.439721509710517
Dorothy	F	12	1.11317254174397	0.439721509710517
Joan	F	12	1.11317254174397	0.439721509710517
Jack	M	12	0.726832222895215	0.439721509710517
Nancy	F	12	1.11317254174397	0.439721509710517
Roy	M	12	0.726832222895215	0.439721509710517
Tommy	M	11	0.66626287098728	0.403078050567974
Betty	F	11	1.02040816326531	0.403078050567974
Jane	F	11	1.02040816326531	0.403078050567974
Alice	F	11	1.02040816326531	0.403078050567974
Charlie	M	11	0.66626287098728	0.403078050567974
Carl	M	11	0.66626287098728	0.403078050567974
Paula	F	11	1.02040816326531	0.403078050567974
Matt	M	11	0.66626287098728	0.403078050567974
Dave	M	10	0.605693519079346	0.366434591425431
Jerry	M	10	0.605693519079346	0.366434591425431
Walter	M	10	0.605693519079346	0.366434591425431
Connie	F	10	0.927643784786642	0.366434591425431
Carol	F	10	0.927643784786642	0.366434591425431
Don	M	10	0.605693519079346	0.366434591425431
Kay	F	9	0.834879406307978	0.329791132282887
Jeff	M	9	0.545124167171411	0.329791132282887
Laura	F	9	0.834879406307978	0.329791132282887
Anne	F	9	0.834879406307978	0.329791132282887
Henry	M	9	0.545124167171411	0.329791132282887
Lou	M	9	0.545124167171411	0.329791132282887
Ray	M	9	0.545124167171411	0.329791132282887
Vincent	M	9	0.545124167171411	0.329791132282887
Marie	F	8	0.742115027829313	0.293147673140344
Jean	F	8	0.742115027829313	0.293147673140344
Alan	M	8	0.484554815263477	0.293147673140344
Danny	M	8	0.484554815263477	0.293147673140344
Peggy	F	8	0.742115027829313	0.293147673140344
Anna	F	8	0.742115027829313	0.293147673140344
Pat	F	8	0.742115027829313	0.293147673140344
Virginia	F	8	0.742115027829313	0.293147673140344
Philip	M	8	0.484554815263477	0.293147673140344
Martha	F	8	0.742115027829313	0.293147673140344
Peter	M	8	0.484554815263477	0.293147673140344
Irene	F	8	0.742115027829313	0.293147673140344
Max	M	8	0.484554815263477	0.293147673140344
Sally	F	8	0.742115027829313	0.293147673140344
Harold	M	8	0.484554815263477	0.293147673140344
Stella	F	7	0.649350649350649	0.256504213997801
Edward	M	7	0.423985463355542	0.256504213997801
Duke	M	7	0.423985463355542	0.256504213997801
Gregory	M	7	0.423985463355542	0.256504213997801
Chuck	M	7	0.423985463355542	0.256504213997801
Howard	M	7	0.423985463355542	0.256504213997801
Ben	M	7	0.423985463355542	0.256504213997801
