Name	Sex	Total	GroupPercentage	OverallPercentage
Judge		1382	0	50.8462104488595
Judge	M	33	6.63983903420523	1.21412803532009
Crew		25	0	0.919793966151582
Star		23	0	0.846210448859456
Judge	F	21	6.64556962025316	0.772626931567329
Long		14	0	0.515084621044886
Bobby		11	0	0.404709345106696
Dara		11	0	0.404709345106696
Colonel	M	10	2.01207243460765	0.367917586460633
Flor		10	0	0.367917586460633
Bula		9	0	0.33112582781457
Hunter	M	9	1.81086519114688	0.33112582781457
Michael	M	8	1.60965794768612	0.294334069168506
George	M	8	1.60965794768612	0.294334069168506
Michael		8	0	0.294334069168506
Dolly	F	8	2.53164556962025	0.294334069168506
Aurora		8	0	0.294334069168506
Hunter		7	0	0.257542310522443
Jack	M	7	1.40845070422535	0.257542310522443
Green	M	7	1.40845070422535	0.257542310522443
Oliver	M	7	1.40845070422535	0.257542310522443
Jose		7	0	0.257542310522443
Media		7	0	0.257542310522443
Sister		7	0	0.257542310522443
Scarlett	F	6	1.89873417721519	0.22075055187638
Drake		6	0	0.22075055187638
Butler	M	5	1.00603621730382	0.183958793230316
Mike	M	5	1.00603621730382	0.183958793230316
Rachel	F	5	1.58227848101266	0.183958793230316
Steve	M	5	1.00603621730382	0.183958793230316
Cora		5	0	0.183958793230316
William	M	5	1.00603621730382	0.183958793230316
Crew	M	5	1.00603621730382	0.183958793230316
French	M	5	1.00603621730382	0.183958793230316
Male	M	5	1.00603621730382	0.183958793230316
Elton		5	0	0.183958793230316
Golden		5	0	0.183958793230316
Charley	M	4	0.804828973843058	0.147167034584253
Jackie	F	4	1.26582278481013	0.147167034584253
Charity	F	4	1.26582278481013	0.147167034584253
Roberto	M	4	0.804828973843058	0.147167034584253
Geoffrey		4	0	0.147167034584253
Nina		4	0	0.147167034584253
Joe	M	4	0.804828973843058	0.147167034584253
Rob		4	0	0.147167034584253
Mark	M	4	0.804828973843058	0.147167034584253
Hunter	F	4	1.26582278481013	0.147167034584253
Angel	F	4	1.26582278481013	0.147167034584253
Green		4	0	0.147167034584253
Texas		4	0	0.147167034584253
Sam	M	4	0.804828973843058	0.147167034584253
Roman	M	4	0.804828973843058	0.147167034584253
Forest		4	0	0.147167034584253
John	M	4	0.804828973843058	0.147167034584253
George		4	0	0.147167034584253
Lucy	F	3	0.949367088607595	0.11037527593819
Peter	M	3	0.603621730382294	0.11037527593819
Mario	M	3	0.603621730382294	0.11037527593819
Mark		3	0	0.11037527593819
Remington		3	0	0.11037527593819
Morgan		3	0	0.11037527593819
Rose	F	3	0.949367088607595	0.11037527593819
Juan		3	0	0.11037527593819
Thomas	M	3	0.603621730382294	0.11037527593819
Mario		3	0	0.11037527593819
French		3	0	0.11037527593819
Bee	F	3	0.949367088607595	0.11037527593819
Titan	M	3	0.603621730382294	0.11037527593819
Jimmy	M	3	0.603621730382294	0.11037527593819
Raven	M	3	0.603621730382294	0.11037527593819
Adam		3	0	0.11037527593819
Marc		3	0	0.11037527593819
Delilah	F	3	0.949367088607595	0.11037527593819
Antonio	M	3	0.603621730382294	0.11037527593819
Corey	M	3	0.603621730382294	0.11037527593819
Lone		3	0	0.11037527593819
Heather	F	3	0.949367088607595	0.11037527593819
Andy	M	3	0.603621730382294	0.11037527593819
Jason	M	3	0.603621730382294	0.11037527593819
Dan	M	3	0.603621730382294	0.11037527593819
Dona	F	3	0.949367088607595	0.11037527593819
Dick	M	3	0.603621730382294	0.11037527593819
David	M	3	0.603621730382294	0.11037527593819
North		3	0	0.11037527593819
Vanessa	F	3	0.949367088607595	0.11037527593819
Keith	M	3	0.603621730382294	0.11037527593819
Love		3	0	0.11037527593819
Sarah	F	3	0.949367088607595	0.11037527593819
Bobby	M	3	0.603621730382294	0.11037527593819
Holmes	M	3	0.603621730382294	0.11037527593819
Golden	F	3	0.949367088607595	0.11037527593819
April		3	0	0.11037527593819
Flynn	M	3	0.603621730382294	0.11037527593819
Starr		2	0	0.0735835172921266
Jennifer	F	2	0.632911392405063	0.0735835172921266
Brian	M	2	0.402414486921529	0.0735835172921266
Elizabeth	F	2	0.632911392405063	0.0735835172921266
Al	M	2	0.402414486921529	0.0735835172921266
Barbara	F	2	0.632911392405063	0.0735835172921266
Susanne	F	2	0.632911392405063	0.0735835172921266
Janine	F	2	0.632911392405063	0.0735835172921266
Junior		2	0	0.0735835172921266
Mina		2	0	0.0735835172921266
Mike		2	0	0.0735835172921266
Cannon		2	0	0.0735835172921266
America		2	0	0.0735835172921266
Rolf		2	0	0.0735835172921266
Leo	M	2	0.402414486921529	0.0735835172921266
Hugo	M	2	0.402414486921529	0.0735835172921266
London		2	0	0.0735835172921266
Jensen	M	2	0.402414486921529	0.0735835172921266
Velvet	F	2	0.632911392405063	0.0735835172921266
Elvis	M	2	0.402414486921529	0.0735835172921266
Tina	F	2	0.632911392405063	0.0735835172921266
Frank	M	2	0.402414486921529	0.0735835172921266
Beyonce	F	2	0.632911392405063	0.0735835172921266
Lacey	F	2	0.632911392405063	0.0735835172921266
Kyle	M	2	0.402414486921529	0.0735835172921266
Louisiana		2	0	0.0735835172921266
York		2	0	0.0735835172921266
Wade	M	2	0.402414486921529	0.0735835172921266
Earl	M	2	0.402414486921529	0.0735835172921266
Chip		2	0	0.0735835172921266
Tommy	M	2	0.402414486921529	0.0735835172921266
Judy	F	2	0.632911392405063	0.0735835172921266
Otis	M	2	0.402414486921529	0.0735835172921266
Patrick	M	2	0.402414486921529	0.0735835172921266
Brandi	F	2	0.632911392405063	0.0735835172921266
Tom		2	0	0.0735835172921266
David		2	0	0.0735835172921266
Bob		2	0	0.0735835172921266
Peter		2	0	0.0735835172921266
Magan		2	0	0.0735835172921266
Jackie		2	0	0.0735835172921266
Collins	M	2	0.402414486921529	0.0735835172921266
Linda	F	2	0.632911392405063	0.0735835172921266
Aaron		2	0	0.0735835172921266
Katie	F	2	0.632911392405063	0.0735835172921266
Mary	F	2	0.632911392405063	0.0735835172921266
Harry		2	0	0.0735835172921266
Otto		2	0	0.0735835172921266
Art		2	0	0.0735835172921266
Dickie		2	0	0.0735835172921266
German	M	2	0.402414486921529	0.0735835172921266
Lee	F	2	0.632911392405063	0.0735835172921266
Marley	F	2	0.632911392405063	0.0735835172921266
Charles		2	0	0.0735835172921266
Ian	M	2	0.402414486921529	0.0735835172921266
Jessica	F	2	0.632911392405063	0.0735835172921266
Erin		2	0	0.0735835172921266
Kim	F	2	0.632911392405063	0.0735835172921266
Jamie	F	2	0.632911392405063	0.0735835172921266
Sebastian	M	2	0.402414486921529	0.0735835172921266
Will	M	2	0.402414486921529	0.0735835172921266
Bristol		2	0	0.0735835172921266
Emma		2	0	0.0735835172921266
Watson		2	0	0.0735835172921266
Johnny		2	0	0.0735835172921266
Rachael	F	2	0.632911392405063	0.0735835172921266
Marlee		2	0	0.0735835172921266
Beau	M	2	0.402414486921529	0.0735835172921266
Dave	M	2	0.402414486921529	0.0735835172921266
Alex	M	2	0.402414486921529	0.0735835172921266
Rocco	M	2	0.402414486921529	0.0735835172921266
Brooklyn	M	2	0.402414486921529	0.0735835172921266
Kristin		2	0	0.0735835172921266
Julie	F	2	0.632911392405063	0.0735835172921266
William		2	0	0.0735835172921266
Paige	F	2	0.632911392405063	0.0735835172921266
Gary	M	2	0.402414486921529	0.0735835172921266
Richard	M	2	0.402414486921529	0.0735835172921266
Joy	F	2	0.632911392405063	0.0735835172921266
Clay		2	0	0.0735835172921266
Melissa		2	0	0.0735835172921266
Eden	F	2	0.632911392405063	0.0735835172921266
York	M	2	0.402414486921529	0.0735835172921266
Tim	M	2	0.402414486921529	0.0735835172921266
Kellie		2	0	0.0735835172921266
Ashley	F	2	0.632911392405063	0.0735835172921266
Trace		2	0	0.0735835172921266
Amber	F	2	0.632911392405063	0.0735835172921266
Jack		2	0	0.0735835172921266
Chase		2	0	0.0735835172921266
Raul	M	2	0.402414486921529	0.0735835172921266
Max	M	2	0.402414486921529	0.0735835172921266
Steward	M	2	0.402414486921529	0.0735835172921266
West		2	0	0.0735835172921266
Greg	M	2	0.402414486921529	0.0735835172921266
Ryan	M	2	0.402414486921529	0.0735835172921266
Lana	F	2	0.632911392405063	0.0735835172921266
Jason		2	0	0.0735835172921266
Juniper		2	0	0.0735835172921266
Tasha		2	0	0.0735835172921266
Chad	M	2	0.402414486921529	0.0735835172921266
Angelo	M	2	0.402414486921529	0.0735835172921266
Chance		2	0	0.0735835172921266
Meghan		2	0	0.0735835172921266
Atticus	M	2	0.402414486921529	0.0735835172921266
Bell	F	2	0.632911392405063	0.0735835172921266
Jim		2	0	0.0735835172921266
Tom	M	2	0.402414486921529	0.0735835172921266
Blake	M	2	0.402414486921529	0.0735835172921266
Albert	M	2	0.402414486921529	0.0735835172921266
Gay	M	2	0.402414486921529	0.0735835172921266
Brain	M	2	0.402414486921529	0.0735835172921266
Jim	M	2	0.402414486921529	0.0735835172921266
India		2	0	0.0735835172921266
Ginger		2	0	0.0735835172921266
Ryan		2	0	0.0735835172921266
Mitzi	F	2	0.632911392405063	0.0735835172921266
Bruce		2	0	0.0735835172921266
Bob	M	2	0.402414486921529	0.0735835172921266
Daniel	M	2	0.402414486921529	0.0735835172921266
Toni	M	2	0.402414486921529	0.0735835172921266
Jordan		2	0	0.0735835172921266
Candice	F	2	0.632911392405063	0.0735835172921266
Sam	F	2	0.632911392405063	0.0735835172921266
Gerry	M	2	0.402414486921529	0.0735835172921266
Penny		2	0	0.0735835172921266
Gwen	F	2	0.632911392405063	0.0735835172921266
Carmen	F	2	0.632911392405063	0.0735835172921266
Baron	M	2	0.402414486921529	0.0735835172921266
Arthur	M	2	0.402414486921529	0.0735835172921266
Britney	F	2	0.632911392405063	0.0735835172921266
Herman	M	2	0.402414486921529	0.0735835172921266
Troy	M	2	0.402414486921529	0.0735835172921266
Miranda	F	2	0.632911392405063	0.0735835172921266
Butler		2	0	0.0735835172921266
Council		2	0	0.0735835172921266
Bennett		1	0	0.0367917586460633
Sylvania	M	1	0.201207243460765	0.0367917586460633
Roxanne		1	0	0.0367917586460633
Achilles		1	0	0.0367917586460633
James	M	1	0.201207243460765	0.0367917586460633
Jonathan	M	1	0.201207243460765	0.0367917586460633
Michelle	F	1	0.316455696202532	0.0367917586460633
Daren	M	1	0.201207243460765	0.0367917586460633
Selena	F	1	0.316455696202532	0.0367917586460633
Anna		1	0	0.0367917586460633
Charity	M	1	0.201207243460765	0.0367917586460633
Jonas	M	1	0.201207243460765	0.0367917586460633
Bernhard	M	1	0.201207243460765	0.0367917586460633
Nina	F	1	0.316455696202532	0.0367917586460633
Katy	F	1	0.316455696202532	0.0367917586460633
Caro	F	1	0.316455696202532	0.0367917586460633
Marjorie	M	1	0.201207243460765	0.0367917586460633
Stephanie	F	1	0.316455696202532	0.0367917586460633
Mike	F	1	0.316455696202532	0.0367917586460633
Bridget		1	0	0.0367917586460633
Governor		1	0	0.0367917586460633
Chandler		1	0	0.0367917586460633
Jerry		1	0	0.0367917586460633
Helene		1	0	0.0367917586460633
Admiral		1	0	0.0367917586460633
Rick	M	1	0.201207243460765	0.0367917586460633
Allan		1	0	0.0367917586460633
Boss		1	0	0.0367917586460633
Samson	M	1	0.201207243460765	0.0367917586460633
Clara	F	1	0.316455696202532	0.0367917586460633
Ernesto	M	1	0.201207243460765	0.0367917586460633
Vivian	F	1	0.316455696202532	0.0367917586460633
Silvia	F	1	0.316455696202532	0.0367917586460633
Logan	F	1	0.316455696202532	0.0367917586460633
Male		1	0	0.0367917586460633
Eugene	M	1	0.201207243460765	0.0367917586460633
Christophe		1	0	0.0367917586460633
Chance	M	1	0.201207243460765	0.0367917586460633
Yolanda	F	1	0.316455696202532	0.0367917586460633
Cade	M	1	0.201207243460765	0.0367917586460633
Ibrahim	M	1	0.201207243460765	0.0367917586460633
Lucille	F	1	0.316455696202532	0.0367917586460633
Raynard	M	1	0.201207243460765	0.0367917586460633
Goldie	F	1	0.316455696202532	0.0367917586460633
Georgia	F	1	0.316455696202532	0.0367917586460633
Case	F	1	0.316455696202532	0.0367917586460633
Helga		1	0	0.0367917586460633
Andre	M	1	0.201207243460765	0.0367917586460633
Kandi		1	0	0.0367917586460633
Shania	F	1	0.316455696202532	0.0367917586460633
Dream	F	1	0.316455696202532	0.0367917586460633
Jacob		1	0	0.0367917586460633
Kyle		1	0	0.0367917586460633
German		1	0	0.0367917586460633
Sunny	F	1	0.316455696202532	0.0367917586460633
Tennessee		1	0	0.0367917586460633
Blaze	F	1	0.316455696202532	0.0367917586460633
Jade	F	1	0.316455696202532	0.0367917586460633
Diamond	F	1	0.316455696202532	0.0367917586460633
Markus	M	1	0.201207243460765	0.0367917586460633
Deirdre		1	0	0.0367917586460633
Patricia		1	0	0.0367917586460633
Will		1	0	0.0367917586460633
Giselle		1	0	0.0367917586460633
Francisco	M	1	0.201207243460765	0.0367917586460633
Jo	M	1	0.201207243460765	0.0367917586460633
Sue		1	0	0.0367917586460633
Ben		1	0	0.0367917586460633
Leo	F	1	0.316455696202532	0.0367917586460633
Storm	F	1	0.316455696202532	0.0367917586460633
Carolina	F	1	0.316455696202532	0.0367917586460633
Jorge	M	1	0.201207243460765	0.0367917586460633
Alejandra	F	1	0.316455696202532	0.0367917586460633
Mariana	F	1	0.316455696202532	0.0367917586460633
Columbia		1	0	0.0367917586460633
Jenny	F	1	0.316455696202532	0.0367917586460633
Lawyer		1	0	0.0367917586460633
Washington		1	0	0.0367917586460633
Sky	F	1	0.316455696202532	0.0367917586460633
Boris	M	1	0.201207243460765	0.0367917586460633
Cole		1	0	0.0367917586460633
Britney		1	0	0.0367917586460633
Jacob	M	1	0.201207243460765	0.0367917586460633
Shelton	F	1	0.316455696202532	0.0367917586460633
Eva	F	1	0.316455696202532	0.0367917586460633
America	M	1	0.201207243460765	0.0367917586460633
Aldo	M	1	0.201207243460765	0.0367917586460633
Chip	F	1	0.316455696202532	0.0367917586460633
Pierre	M	1	0.201207243460765	0.0367917586460633
Olympia	F	1	0.316455696202532	0.0367917586460633
Atlas	M	1	0.201207243460765	0.0367917586460633
Dream		1	0	0.0367917586460633
Raven	F	1	0.316455696202532	0.0367917586460633
Phillip	M	1	0.201207243460765	0.0367917586460633
Miles	M	1	0.201207243460765	0.0367917586460633
Williams	M	1	0.201207243460765	0.0367917586460633
Cyrus	M	1	0.201207243460765	0.0367917586460633
Roland	M	1	0.201207243460765	0.0367917586460633
Silver		1	0	0.0367917586460633
Ace		1	0	0.0367917586460633
Mac	M	1	0.201207243460765	0.0367917586460633
Patty	F	1	0.316455696202532	0.0367917586460633
Lee		1	0	0.0367917586460633
Neal		1	0	0.0367917586460633
Robert		1	0	0.0367917586460633
Jamie		1	0	0.0367917586460633
Ken		1	0	0.0367917586460633
Murphy		1	0	0.0367917586460633
Marcus		1	0	0.0367917586460633
Lynn		1	0	0.0367917586460633
Hernan	M	1	0.201207243460765	0.0367917586460633
Billy	M	1	0.201207243460765	0.0367917586460633
Nan	F	1	0.316455696202532	0.0367917586460633
Bunk		1	0	0.0367917586460633
Willy		1	0	0.0367917586460633
Cindy	F	1	0.316455696202532	0.0367917586460633
Lisa	F	1	0.316455696202532	0.0367917586460633
Paul		1	0	0.0367917586460633
Frances	F	1	0.316455696202532	0.0367917586460633
Lidia	F	1	0.316455696202532	0.0367917586460633
Sam		1	0	0.0367917586460633
Harold	M	1	0.201207243460765	0.0367917586460633
Sadie	F	1	0.316455696202532	0.0367917586460633
Unknown		1	0	0.0367917586460633
Reggie	F	1	0.316455696202532	0.0367917586460633
Cindy	M	1	0.201207243460765	0.0367917586460633
Colonel		1	0	0.0367917586460633
Jody	M	1	0.201207243460765	0.0367917586460633
Bruno	M	1	0.201207243460765	0.0367917586460633
Gordon		1	0	0.0367917586460633
Oswald	M	1	0.201207243460765	0.0367917586460633
Tyler		1	0	0.0367917586460633
Tony		1	0	0.0367917586460633
Dena		1	0	0.0367917586460633
Adela	F	1	0.316455696202532	0.0367917586460633
Dara	M	1	0.201207243460765	0.0367917586460633
Pamela		1	0	0.0367917586460633
Heidi		1	0	0.0367917586460633
Byron	M	1	0.201207243460765	0.0367917586460633
Percy	M	1	0.201207243460765	0.0367917586460633
Skip	M	1	0.201207243460765	0.0367917586460633
Justin	M	1	0.201207243460765	0.0367917586460633
Rebecca	F	1	0.316455696202532	0.0367917586460633
Annie	F	1	0.316455696202532	0.0367917586460633
Ally	F	1	0.316455696202532	0.0367917586460633
Stacy	F	1	0.316455696202532	0.0367917586460633
Jon	M	1	0.201207243460765	0.0367917586460633
Christine		1	0	0.0367917586460633
Les	M	1	0.201207243460765	0.0367917586460633
Dirk	M	1	0.201207243460765	0.0367917586460633
Kaya	M	1	0.201207243460765	0.0367917586460633
Martin	M	1	0.201207243460765	0.0367917586460633
Titus	M	1	0.201207243460765	0.0367917586460633
Eli	M	1	0.201207243460765	0.0367917586460633
Yahya	M	1	0.201207243460765	0.0367917586460633
Sophia		1	0	0.0367917586460633
Rich		1	0	0.0367917586460633
Babe		1	0	0.0367917586460633
Lucky	M	1	0.201207243460765	0.0367917586460633
Evan		1	0	0.0367917586460633
Shannen		1	0	0.0367917586460633
Caleb	M	1	0.201207243460765	0.0367917586460633
Florence		1	0	0.0367917586460633
Venus		1	0	0.0367917586460633
Sylvie		1	0	0.0367917586460633
Shelley	F	1	0.316455696202532	0.0367917586460633
Dominique		1	0	0.0367917586460633
Naomi	F	1	0.316455696202532	0.0367917586460633
Spencer		1	0	0.0367917586460633
Donna	F	1	0.316455696202532	0.0367917586460633
Seamus		1	0	0.0367917586460633
Leon		1	0	0.0367917586460633
Nicole	F	1	0.316455696202532	0.0367917586460633
Isabell	F	1	0.316455696202532	0.0367917586460633
Burrell		1	0	0.0367917586460633
Gretchen	F	1	0.316455696202532	0.0367917586460633
Corinna		1	0	0.0367917586460633
Clint		1	0	0.0367917586460633
Clay	M	1	0.201207243460765	0.0367917586460633
Derrick	M	1	0.201207243460765	0.0367917586460633
Conor	M	1	0.201207243460765	0.0367917586460633
Joan	F	1	0.316455696202532	0.0367917586460633
Teddy	M	1	0.201207243460765	0.0367917586460633
Ivan	M	1	0.201207243460765	0.0367917586460633
Napoleon	M	1	0.201207243460765	0.0367917586460633
Chelsea		1	0	0.0367917586460633
Alex		1	0	0.0367917586460633
Stephen		1	0	0.0367917586460633
Morgan	F	1	0.316455696202532	0.0367917586460633
Richard		1	0	0.0367917586460633
Hideo		1	0	0.0367917586460633
Tanner	M	1	0.201207243460765	0.0367917586460633
Link	F	1	0.316455696202532	0.0367917586460633
Todd		1	0	0.0367917586460633
Lauren		1	0	0.0367917586460633
John		1	0	0.0367917586460633
Millicent	M	1	0.201207243460765	0.0367917586460633
Wiley	M	1	0.201207243460765	0.0367917586460633
Alice	F	1	0.316455696202532	0.0367917586460633
Madonna	F	1	0.316455696202532	0.0367917586460633
Marilyn	F	1	0.316455696202532	0.0367917586460633
Angelina	F	1	0.316455696202532	0.0367917586460633
Bunk	M	1	0.201207243460765	0.0367917586460633
Brooklyn	F	1	0.316455696202532	0.0367917586460633
Con		1	0	0.0367917586460633
Joey	M	1	0.201207243460765	0.0367917586460633
Crystal	M	1	0.201207243460765	0.0367917586460633
Laura		1	0	0.0367917586460633
Marie		1	0	0.0367917586460633
