Name	Sex	Total	GroupPercentage	OverallPercentage
John	M	433	3.69990600700675	2.3663788392174
George	M	195	1.66623942578826	1.06569023937042
Thomas	M	192	1.64060497308382	1.04929500491857
William	M	188	1.60642570281124	1.0274346923161
Mary	F	176	3.40557275541796	0.961853754508689
Charles	M	173	1.47825343928907	0.945458520056837
James	M	162	1.38426044603948	0.885342660400044
Robert	M	156	1.33299154063061	0.852552191496338
Maria	F	138	2.6702786377709	0.754180784785222
Henry	M	133	1.13646073656327	0.726855394032135
David	M	132	1.12791591899513	0.721390315881517
Richard	M	122	1.04246774331368	0.666739534375342
Anna	F	118	2.28328173374613	0.644879221772871
Elizabeth	F	116	2.24458204334365	0.633949065471636
Joseph	M	100	0.854481756814492	0.546507815061755
Peter	M	99	0.845936939246347	0.541042736911138
Louis	M	96	0.820302486541912	0.524647502459285
Alexander	M	91	0.777578398701188	0.497322111706197
Anne	F	88	1.70278637770898	0.480926877254345
Edward	M	88	0.751943945996753	0.480926877254345
Colonel	M	88	0.751943945996753	0.480926877254345
Marie	F	86	1.6640866873065	0.46999672095311
Tom	M	84	0.717764675724173	0.459066564651875
Jack	M	84	0.717764675724173	0.459066564651875
Frank	M	82	0.700675040587883	0.448136408350639
Michael	M	78	0.666495770315304	0.426276095748169
Karl	M	70	0.598137229770144	0.382555470543229
Paul	M	68	0.581047594633855	0.371625314241994
Bill	M	68	0.581047594633855	0.371625314241994
Lee	M	68	0.581047594633855	0.371625314241994
Jean	M	63	0.53832350679313	0.344299923488906
Martin	M	63	0.53832350679313	0.344299923488906
Juan	M	63	0.53832350679313	0.344299923488906
Sarah	F	61	1.18034055727554	0.333369767187671
Jim	M	60	0.512689054088695	0.327904689037053
London		60	0	0.327904689037053
Jan	M	59	0.50414423652055	0.322439610886436
Duke	M	57	0.48705460138426	0.311509454585201
Harry	M	56	0.478509783816116	0.306044376434583
Hans	M	55	0.469964966247971	0.300579298283965
German	M	55	0.469964966247971	0.300579298283965
Albert	M	54	0.461420148679826	0.295114220133348
Samuel	M	53	0.452875331111681	0.28964914198273
Arthur	M	52	0.444330513543536	0.284184063832113
Daniel	M	51	0.435785695975391	0.278718985681495
Kim	M	51	0.435785695975391	0.278718985681495
Sam	M	50	0.427240878407246	0.273253907530878
Ivan	M	48	0.410151243270956	0.262323751229643
Pierre	M	48	0.410151243270956	0.262323751229643
Judge	M	47	0.401606425702811	0.256858673079025
Royal		47	0	0.256858673079025
Pedro	M	46	0.393061608134666	0.251393594928407
Ben	M	46	0.393061608134666	0.251393594928407
Catherine	F	46	0.890092879256966	0.251393594928407
Ali	M	46	0.393061608134666	0.251393594928407
Margaret	F	45	0.870743034055728	0.24592851677779
Walter	M	44	0.375971972998376	0.240463438627172
Antonio	M	44	0.375971972998376	0.240463438627172
Stephen	M	44	0.375971972998376	0.240463438627172
Apollo		44	0	0.240463438627172
Mark	M	43	0.367427155430232	0.234998360476555
Abraham	M	43	0.367427155430232	0.234998360476555
Benjamin	M	43	0.367427155430232	0.234998360476555
Al	M	41	0.350337520293942	0.22406820417532
Earl	M	40	0.341792702725797	0.218603126024702
Simon	M	40	0.341792702725797	0.218603126024702
Francis	M	40	0.341792702725797	0.218603126024702
York		40	0	0.218603126024702
Otto	M	39	0.333247885157652	0.213138047874085
Joe	M	39	0.333247885157652	0.213138047874085
Franz	M	39	0.333247885157652	0.213138047874085
Eva	F	39	0.754643962848297	0.213138047874085
Jesus	M	37	0.316158250021362	0.202207891572849
Jacob	M	37	0.316158250021362	0.202207891572849
Roman	M	36	0.307613432453217	0.196742813422232
Baron	M	36	0.307613432453217	0.196742813422232
Francisco	M	36	0.307613432453217	0.196742813422232
Elisabeth	F	35	0.677244582043344	0.191277735271614
Jane	F	35	0.677244582043344	0.191277735271614
Mike	M	35	0.299068614885072	0.191277735271614
Charlotte	F	35	0.677244582043344	0.191277735271614
Park		35	0	0.191277735271614
Alice	F	34	0.657894736842105	0.185812657120997
Alfred	M	34	0.290523797316927	0.185812657120997
Frederick	M	32	0.273434162180637	0.174882500819762
Carl	M	32	0.273434162180637	0.174882500819762
Adolf	M	32	0.273434162180637	0.174882500819762
Bob	M	31	0.264889344612493	0.169417422669144
Rosa	F	30	0.580495356037152	0.163952344518527
Emma	F	30	0.580495356037152	0.163952344518527
Billy	M	30	0.256344527044348	0.163952344518527
Martha	F	30	0.580495356037152	0.163952344518527
Ana	F	30	0.580495356037152	0.163952344518527
Carlos	M	30	0.256344527044348	0.163952344518527
Harold	M	30	0.256344527044348	0.163952344518527
Winston	M	30	0.256344527044348	0.163952344518527
Texas		30	0	0.163952344518527
French	M	30	0.256344527044348	0.163952344518527
Julius	M	29	0.247799709476203	0.158487266367909
Jacques	M	29	0.247799709476203	0.158487266367909
Isabel	F	29	0.561145510835913	0.158487266367909
Guy	M	29	0.247799709476203	0.158487266367909
Fernando	M	29	0.247799709476203	0.158487266367909
Adam	M	29	0.247799709476203	0.158487266367909
Sister	F	28	0.541795665634675	0.153022188217291
Manuel	M	28	0.239254891908058	0.153022188217291
Sophie	F	28	0.541795665634675	0.153022188217291
Vera	F	28	0.541795665634675	0.153022188217291
Governor	M	27	0.230710074339913	0.147557110066674
Philip	M	27	0.230710074339913	0.147557110066674
Louise	F	27	0.522445820433437	0.147557110066674
Roger	M	27	0.230710074339913	0.147557110066674
Julia	F	27	0.522445820433437	0.147557110066674
Andrew	M	26	0.222165256771768	0.142092031916056
Victoria	F	26	0.503095975232198	0.142092031916056
Leo	M	26	0.222165256771768	0.142092031916056
Johann	M	26	0.222165256771768	0.142092031916056
Christian	M	25	0.213620439203623	0.136626953765439
Nicholas	M	25	0.213620439203623	0.136626953765439
Marcus	M	25	0.213620439203623	0.136626953765439
Wilhelm	M	25	0.213620439203623	0.136626953765439
Oliver	M	25	0.213620439203623	0.136626953765439
Max	M	25	0.213620439203623	0.136626953765439
Napoleon	M	24	0.205075621635478	0.131161875614821
Rudolf	M	24	0.205075621635478	0.131161875614821
Jeanne	F	24	0.464396284829721	0.131161875614821
Olga	F	24	0.464396284829721	0.131161875614821
Charlie	M	24	0.205075621635478	0.131161875614821
Art		24	0	0.131161875614821
Kate	F	24	0.464396284829721	0.131161875614821
