Name	Sex	Total	GroupPercentage	OverallPercentage
John	M	812	2.04138069738794	1.16594632626395
Jack	M	522	1.31231616260653	0.749536924026822
David	M	494	1.24192372476557	0.709331878293583
Sarah	F	472	1.59341030315306	0.67774219950318
Paul	M	456	1.14639113055283	0.654767887655615
Michael	M	438	1.10113884908364	0.628921786827104
Mary	F	423	1.42799270812234	0.607383369470011
Tom	M	405	1.01817633305679	0.5815372686415
Mike	M	399	1.00309223923373	0.572921901698663
Mark	M	386	0.970410035950424	0.554255273322516
Frank	M	362	0.910073660658169	0.519793805551168
Peter	M	353	0.887447519923574	0.506870755136912
James	M	345	0.867335394826156	0.49538359921313
Sam	M	343	0.862307363551801	0.492511810232184
Steve	M	311	0.781858863162129	0.446563186537053
Joe	M	302	0.759232722427533	0.433640136122798
Laura	F	301	1.01613665518871	0.432204241632325
Lisa	F	297	1.00263317804335	0.426460663670434
Alex	M	286	0.719008472232697	0.410665824275232
Ben	M	282	0.708952409683988	0.404922246313341
Robert	M	281	0.706438394046811	0.403486351822868
George	M	280	0.703924378409634	0.402050457332395
Guy	M	277	0.696382331498102	0.397742773860977
Richard	M	274	0.68884028458657	0.393435090389558
Jason	M	259	0.651130050028911	0.371896673032466
Henry	M	258	0.648616034391734	0.370460778541993
Bill	M	250	0.628503909294316	0.35897362261821
Alice	F	242	0.816960367294578	0.347486466694427
Rachel	F	241	0.813584498008237	0.346050572203954
Jim	M	233	0.585765643462302	0.334563416280172
Jennifer	F	233	0.786577543717507	0.334563416280172
Amy	F	233	0.786577543717507	0.334563416280172
Chris	M	231	0.580737612187948	0.331691627299226
Anna	F	231	0.779825805144825	0.331691627299226
Nick	M	229	0.575709580913593	0.32881983831828
Jake	M	228	0.573195565276416	0.327383943827808
Adam	M	222	0.558111471453352	0.318768576884971
Charlie	M	216	0.543027377630289	0.310153209942133
Daniel	M	214	0.537999346355934	0.307281420961188
Eric	M	214	0.537999346355934	0.307281420961188
Susan	F	212	0.715684288704341	0.304409631980242
Dan	M	211	0.530457299444403	0.302973737489769
Jessica	F	210	0.708932550131659	0.301537842999296
Max	M	207	0.520401236895694	0.297230159527878
Elizabeth	F	203	0.68530146512727	0.291486581565987
Jane	F	203	0.68530146512727	0.291486581565987
Jenny	F	203	0.68530146512727	0.291486581565987
Kate	F	199	0.671797987981905	0.285743003604095
