Name	Sex	Total	GroupPercentage	OverallPercentage
Judge		718	0	2.07862891552313
Don	M	328	1.73151032043499	0.949568641074634
John	M	287	1.51507153038062	0.830872560940305
Mary	F	216	1.63425890898086	0.625325690463783
George	M	201	1.06107797075437	0.581900295292687
Joe	M	187	0.987172042443119	0.541369926466331
Steve	M	185	0.976614052684369	0.535579873776851
Peter	M	181	0.955498073166869	0.523999768397892
Paul	M	173	0.913266114131869	0.500839557639975
Bill	M	172	0.907987119252494	0.497944531295235
Jack	M	169	0.892150134614369	0.489259452261016
Tom	M	161	0.84991817557937	0.466099241503098
Bob	M	157	0.82880219606187	0.454519136124139
Johnny	M	156	0.823523201182495	0.451624109779399
David	M	149	0.78657023702687	0.431358925366221
Frank	M	148	0.781291242147495	0.428463899021481
Star		146	0	0.422673846332002
Jimmy	M	145	0.76545425750937	0.419778819987262
Tony	M	142	0.749617272871245	0.411093740953043
Mike	M	140	0.739059283112495	0.405303688263563
Michael	M	131	0.691548329198121	0.379248451160906
Maria	F	128	0.968449723840508	0.370563372126686
Robert	M	123	0.649316370163121	0.356088240402988
Jim	M	122	0.644037375283746	0.353193214058248
Billy	M	110	0.580689436731246	0.318452897921371
Harry	M	109	0.575410441851871	0.315557871576631
James	M	109	0.575410441851871	0.315557871576631
Eddie	M	104	0.549015467454997	0.301082739852933
Anna	F	104	0.786865400620413	0.301082739852933
Charlie	M	99	0.522620493058122	0.286607608129234
Sam	M	98	0.517341498178747	0.283712581784494
Richard	M	98	0.517341498178747	0.283712581784494
Tommy	M	94	0.496225518661247	0.272132476405535
Jerry	M	93	0.490946523781872	0.269237450060796
Danny	M	90	0.475109539143747	0.260552371026576
Henry	M	87	0.459272554505622	0.251867291992357
Larry	M	85	0.448714564746872	0.246077239302878
Carmen	F	85	0.643111144737838	0.246077239302878
Sally	F	84	0.635545131270334	0.243182212958138
Mark	M	84	0.443435569867497	0.243182212958138
Betty	F	83	0.62797911780283	0.240287186613398
Phil	M	83	0.438156574988122	0.240287186613398
Donna	F	82	0.620413104335326	0.237392160268658
Nick	M	80	0.422319590349997	0.231602107579179
Laura	F	80	0.605281077400318	0.231602107579179
Max	M	79	0.417040595470622	0.228707081234439
Joan	F	76	0.575017023530302	0.22002200220022
Judge	M	75	0.395924615953123	0.21712697585548
Bobby	M	75	0.395924615953123	0.21712697585548
Ted	M	74	0.390645621073748	0.214231949510741
William	M	73	0.385366626194373	0.211336923166001
Dave	M	73	0.385366626194373	0.211336923166001
Alice	F	72	0.544752969660286	0.208441896821261
Sarah	F	72	0.544752969660286	0.208441896821261
Ann	F	71	0.537186956192782	0.205546870476521
Helen	F	71	0.537186956192782	0.205546870476521
Chris	M	71	0.374808636435623	0.205546870476521
