Name	Sex	Total	GroupPercentage	OverallPercentage
Mary	F	115	1.75572519083969	0.787293763264188
Joe	M	110	1.3881877839475	0.753063599644006
John	M	107	1.35032811711257	0.732525501471897
Jack	M	96	1.21150933871782	0.657219141507496
Peter	M	87	1.09793033821302	0.595604846991169
George	M	86	1.08531044926805	0.588758814267132
Paul	M	81	1.02221100454316	0.55452865064695
Maria	F	70	1.06870229007634	0.479222290682549
Johnny	M	67	0.845532559313478	0.45868419251044
Tony	M	66	0.832912670368501	0.451838159786404
Bob	M	66	0.832912670368501	0.451838159786404
Harry	M	63	0.795053003533569	0.431300061614295
Jimmy	M	62	0.782433114588592	0.424454028890258
Tom	M	62	0.782433114588592	0.424454028890258
Bill	M	61	0.769813225643614	0.417607996166222
Michael	M	57	0.719333669863705	0.390223865270076
Eddie	M	55	0.694093891973751	0.376531799822003
Frank	M	54	0.681474003028773	0.369685767097967
Tommy	M	52	0.656234225138819	0.355993701649894
Sally	F	52	0.793893129770992	0.355993701649894
Robert	M	50	0.630994447248864	0.342301636201821
Anna	F	50	0.763358778625954	0.342301636201821
Charlie	M	50	0.630994447248864	0.342301636201821
Steve	M	49	0.618374558303887	0.335455603477785
Carmen	F	49	0.748091603053435	0.335455603477785
Max	M	47	0.593134780413932	0.321763538029712
David	M	47	0.593134780413932	0.321763538029712
Jim	M	46	0.580514891468955	0.314917505305675
Billy	M	44	0.555275113579001	0.301225439857603
Jerry	M	44	0.555275113579001	0.301225439857603
Danny	M	44	0.555275113579001	0.301225439857603
Carlos	M	44	0.555275113579001	0.301225439857603
Antonio	M	44	0.555275113579001	0.301225439857603
Juan	M	43	0.542655224634023	0.294379407133566
James	M	43	0.542655224634023	0.294379407133566
Laura	F	43	0.656488549618321	0.294379407133566
Sam	M	41	0.517415446744069	0.280687341685493
Joan	F	41	0.625954198473282	0.280687341685493
Sarah	F	41	0.625954198473282	0.280687341685493
Gloria	F	40	0.610687022900763	0.273841308961457
Fred	M	40	0.504795557799091	0.273841308961457
Helen	F	39	0.595419847328244	0.26699527623742
Betty	F	39	0.595419847328244	0.26699527623742
Barbara	F	38	0.580152671755725	0.260149243513384
Richard	M	38	0.479555779909137	0.260149243513384
Henry	M	37	0.466935890964159	0.253303210789348
Julie	F	37	0.564885496183206	0.253303210789348
Peggy	F	36	0.549618320610687	0.246457178065311
Judy	F	36	0.549618320610687	0.246457178065311
Duke	M	35	0.441696113074205	0.239611145341275
Mike	M	35	0.441696113074205	0.239611145341275
Larry	M	35	0.441696113074205	0.239611145341275
Jenny	F	35	0.534351145038168	0.239611145341275
Joseph	M	35	0.441696113074205	0.239611145341275
Guy	M	35	0.441696113074205	0.239611145341275
Ruth	F	34	0.519083969465649	0.232765112617238
Baron	M	34	0.429076224129228	0.232765112617238
Jane	F	34	0.519083969465649	0.232765112617238
Alice	F	33	0.50381679389313	0.225919079893202
William	M	33	0.41645633518425	0.225919079893202
Pedro	M	33	0.41645633518425	0.225919079893202
Kitty	F	32	0.488549618320611	0.219073047169165
Dan	M	32	0.403836446239273	0.219073047169165
Ted	M	32	0.403836446239273	0.219073047169165
Miguel	M	32	0.403836446239273	0.219073047169165
Lisa	F	32	0.488549618320611	0.219073047169165
Colonel	M	31	0.391216557294296	0.212227014445129
Sister	F	31	0.473282442748092	0.212227014445129
Ana	F	31	0.473282442748092	0.212227014445129
Judge		31	0	0.212227014445129
Dorothy	F	30	0.458015267175573	0.205380981721093
Dick	M	30	0.378596668349319	0.205380981721093
Mario	M	30	0.378596668349319	0.205380981721093
Clara	F	30	0.458015267175573	0.205380981721093
Bobby	M	29	0.365976779404341	0.198534948997056
Rita	F	29	0.442748091603053	0.198534948997056
Elena	F	29	0.442748091603053	0.198534948997056
Ann	F	28	0.427480916030534	0.19168891627302
Julia	F	28	0.427480916030534	0.19168891627302
Annie	F	28	0.427480916030534	0.19168891627302
Molly	F	27	0.412213740458015	0.184842883548983
Roy	M	27	0.340737001514387	0.184842883548983
Lola	F	27	0.412213740458015	0.184842883548983
Charles	M	27	0.340737001514387	0.184842883548983
Donna	F	27	0.412213740458015	0.184842883548983
Linda	F	27	0.412213740458015	0.184842883548983
Marina	F	27	0.412213740458015	0.184842883548983
Susan	F	26	0.396946564885496	0.177996850824947
Pierre	M	26	0.328117112569409	0.177996850824947
Anita	F	26	0.396946564885496	0.177996850824947
Rosa	F	26	0.396946564885496	0.177996850824947
Arthur	M	26	0.328117112569409	0.177996850824947
Martin	M	26	0.328117112569409	0.177996850824947
Luis	M	26	0.328117112569409	0.177996850824947
Louise	F	25	0.381679389312977	0.171150818100911
Victor	M	25	0.315497223624432	0.171150818100911
Karl	M	25	0.315497223624432	0.171150818100911
Hans	M	25	0.315497223624432	0.171150818100911
Judge	M	25	0.315497223624432	0.171150818100911
Irene	F	25	0.381679389312977	0.171150818100911
Alberto	M	25	0.315497223624432	0.171150818100911
Virginia	F	24	0.366412213740458	0.164304785376874
Eva	F	24	0.366412213740458	0.164304785376874
Roberto	M	24	0.302877334679455	0.164304785376874
Nina	F	24	0.366412213740458	0.164304785376874
Walter	M	24	0.302877334679455	0.164304785376874
Anne	F	24	0.366412213740458	0.164304785376874
Rose	F	24	0.366412213740458	0.164304785376874
Thomas	M	24	0.302877334679455	0.164304785376874
Tina	F	24	0.366412213740458	0.164304785376874
Patricia	F	23	0.351145038167939	0.157458752652838
Al	M	23	0.290257445734478	0.157458752652838
Alex	M	23	0.290257445734478	0.157458752652838
Albert	M	23	0.290257445734478	0.157458752652838
