Name	Sex	Total	GroupPercentage	OverallPercentage
John	M	719	2.32701145705224	1.36267151845956
Jack	M	401	1.29781862903748	0.759987870517777
Paul	M	397	1.28487280730144	0.752406944128573
David	M	390	1.26221761926338	0.739140322947464
Michael	M	354	1.14570522363907	0.670911985444621
Frank	M	351	1.13599585733704	0.665226290652718
Peter	M	318	1.02919282801476	0.602683647941779
Tom	M	307	0.993591818240663	0.581836100371465
George	M	305	0.987118907372646	0.578045637176863
Mary	F	283	1.31848676854268	0.536350542036237
Robert	M	282	0.912680432390446	0.534455310438936
James	M	268	0.867370056314325	0.507922068076719
Richard	M	266	0.860897145446307	0.504131604882117
Mark	M	260	0.841478412842255	0.492760215298309
Henry	M	244	0.789695125898116	0.46243650974149
Joe	M	237	0.767039937860056	0.449169888560382
Sam	M	233	0.754094116124021	0.441588962171177
Bill	M	224	0.724966017217943	0.424531877795467
Sarah	F	222	1.0342899739098	0.420741414600864
Laura	F	216	1.00633619083116	0.409370025017057
Mike	M	214	0.692601462877856	0.405579561822455
Harry	M	213	0.689365007443848	0.403684330225153
Steve	M	204	0.660236908537769	0.386627245849443
Jim	M	203	0.657000453103761	0.384732014252142
Ben	M	196	0.6343452650657	0.371465393071033
Anna	F	196	0.913156913902348	0.371465393071033
Charles	M	195	0.631108809631691	0.369570161473732
Alice	F	187	0.871226239284383	0.354408308695323
Alex	M	183	0.592271344423587	0.346827382306118
William	M	182	0.589034888989579	0.344932150708817
Max	M	181	0.58579843355557	0.343036919111515
Helen	F	180	0.838613492359299	0.341141687514214
Tony	M	179	0.579325522687553	0.339246455916913
Thomas	M	177	0.572852611819535	0.335455992722311
Nick	M	175	0.566379700951518	0.331665529527708
Daniel	M	171	0.553433879215483	0.324084603138504
Kate	F	168	0.782705926202013	0.3183989083466
Jane	F	164	0.76407007081625	0.310817981957395
Arthur	M	158	0.51135995857337	0.299446592373588
Martin	M	158	0.51135995857337	0.299446592373588
Bob	M	146	0.472522493365266	0.276703813205974
Charlie	M	145	0.469286037931258	0.274808581608673
Rachel	F	145	0.67554975773388	0.274808581608673
Lisa	F	144	0.670890793887439	0.272913350011371
Susan	F	142	0.661572866194558	0.269122886816769
Simon	M	138	0.446630849893197	0.261541960427564
Maria	F	138	0.642937010808796	0.261541960427564
Eric	M	136	0.44015793902518	0.257751497232962
Dan	M	131	0.423975661855136	0.248275339246456
Chris	M	131	0.423975661855136	0.248275339246456
Elizabeth	F	128	0.596347372344391	0.242589644454552
