Name	Sex	Total	GroupPercentage	OverallPercentage
Fox		136	0	8.1145584725537
York		26	0	1.55131264916468
Washington		24	0	1.43198090692124
Media		22	0	1.3126491646778
Guy	M	19	2.74170274170274	1.13365155131265
Sister		14	0	0.835322195704057
Judge		13	0	0.775656324582339
John	M	12	1.73160173160173	0.715990453460621
Justice		12	0	0.715990453460621
Donald		12	0	0.715990453460621
Governor		11	0	0.656324582338902
Lawyer		10	0	0.596658711217184
Jim	M	9	1.2987012987013	0.536992840095465
London		8	0	0.477326968973747
David	M	8	1.15440115440115	0.477326968973747
Paul	M	8	1.15440115440115	0.477326968973747
Con		8	0	0.477326968973747
Dennis	M	7	1.01010101010101	0.417661097852029
Royal		7	0	0.417661097852029
James	M	7	1.01010101010101	0.417661097852029
Sky		7	0	0.417661097852029
Bill		7	0	0.417661097852029
Guy		7	0	0.417661097852029
Matt	M	7	1.01010101010101	0.417661097852029
George	M	6	0.865800865800866	0.35799522673031
Kevin	M	6	0.865800865800866	0.35799522673031
America		6	0	0.35799522673031
Thomas	M	6	0.865800865800866	0.35799522673031
Georgia		6	0	0.35799522673031
Angeles		6	0	0.35799522673031
Michael	M	6	0.865800865800866	0.35799522673031
Tom	M	6	0.865800865800866	0.35799522673031
Dave	M	6	0.865800865800866	0.35799522673031
Texas		6	0	0.35799522673031
German		6	0	0.35799522673031
Chris	M	6	0.865800865800866	0.35799522673031
Oscar		6	0	0.35799522673031
Orange		5	0	0.298329355608592
Daniel	M	5	0.721500721500722	0.298329355608592
Keith	M	5	0.721500721500722	0.298329355608592
Star		5	0	0.298329355608592
Mike		5	0	0.298329355608592
Kate	F	5	1.8450184501845	0.298329355608592
Council		5	0	0.298329355608592
Jeff	M	5	0.721500721500722	0.298329355608592
Press		5	0	0.298329355608592
Gay	M	5	0.721500721500722	0.298329355608592
Lawyer	M	5	0.721500721500722	0.298329355608592
Ivan	M	5	0.721500721500722	0.298329355608592
Antonio		5	0	0.298329355608592
Donald	M	5	0.721500721500722	0.298329355608592
Rock		4	0	0.238663484486873
Rebecca	F	4	1.4760147601476	0.238663484486873
James		4	0	0.238663484486873
Elvis	M	4	0.577200577200577	0.238663484486873
Tim	M	4	0.577200577200577	0.238663484486873
William	M	4	0.577200577200577	0.238663484486873
Spring		4	0	0.238663484486873
Joe	M	4	0.577200577200577	0.238663484486873
Billy	M	4	0.577200577200577	0.238663484486873
Ted	M	4	0.577200577200577	0.238663484486873
Natasha	F	4	1.4760147601476	0.238663484486873
Peter	M	4	0.577200577200577	0.238663484486873
Laura	F	4	1.4760147601476	0.238663484486873
Rachel	F	4	1.4760147601476	0.238663484486873
Brian	M	4	0.577200577200577	0.238663484486873
Ryan	M	4	0.577200577200577	0.238663484486873
Louis	M	4	0.577200577200577	0.238663484486873
Scott	M	4	0.577200577200577	0.238663484486873
Amy	F	4	1.4760147601476	0.238663484486873
Ben	M	4	0.577200577200577	0.238663484486873
Santa	M	4	0.577200577200577	0.238663484486873
Arthur		4	0	0.238663484486873
Jesus	M	4	0.577200577200577	0.238663484486873
Jan	M	4	0.577200577200577	0.238663484486873
Karl	M	4	0.577200577200577	0.238663484486873
Al		4	0	0.238663484486873
Jenny	F	3	1.1070110701107	0.178997613365155
Mary	F	3	1.1070110701107	0.178997613365155
Doug	M	3	0.432900432900433	0.178997613365155
