Name	Sex	Total	GroupPercentage	OverallPercentage
Judge		2268	0	34.2701722574796
Judge	M	87	4.6875	1.31459655485041
Judge	F	65	6.10902255639098	0.982169839830765
Guy	M	55	2.96336206896552	0.831066787549108
Sister		49	0	0.740404956180115
Dallas		46	0	0.695074040495618
Crew		34	0	0.513750377757631
John	M	32	1.72413793103448	0.483529767301299
Memphis		24	0	0.362647325475975
Hunter		23	0	0.347537020247809
Cleveland		23	0	0.347537020247809
Star		22	0	0.332426715019643
Guy		21	0	0.317316409791478
Michael	M	20	1.07758620689655	0.302206104563312
Jason	M	18	0.969827586206897	0.271985494106981
Joe	M	18	0.969827586206897	0.271985494106981
Harris		18	0	0.271985494106981
Jim	M	17	0.915948275862069	0.256875188878815
Jack	M	16	0.862068965517241	0.24176488365065
Boss		16	0	0.24176488365065
Cornelia		16	0	0.24176488365065
Mark	M	16	0.862068965517241	0.24176488365065
James	M	15	0.808189655172414	0.226654578422484
Nick	M	15	0.808189655172414	0.226654578422484
Hunter	M	15	0.808189655172414	0.226654578422484
Peter	M	15	0.808189655172414	0.226654578422484
Tom	M	15	0.808189655172414	0.226654578422484
Long		15	0	0.226654578422484
Paul	M	14	0.754310344827586	0.211544273194319
Bob	M	13	0.700431034482759	0.196433967966153
Phoenix		13	0	0.196433967966153
Mike	M	13	0.700431034482759	0.196433967966153
Dave	M	12	0.646551724137931	0.181323662737987
Anna	F	12	1.12781954887218	0.181323662737987
Media		12	0	0.181323662737987
Dash		12	0	0.181323662737987
Clark		12	0	0.181323662737987
David	M	11	0.592672413793103	0.166213357509822
Billy	M	11	0.592672413793103	0.166213357509822
Richard	M	11	0.592672413793103	0.166213357509822
Anthony	M	11	0.592672413793103	0.166213357509822
Thomas	M	11	0.592672413793103	0.166213357509822
Crew	M	11	0.592672413793103	0.166213357509822
Michael		11	0	0.166213357509822
York		11	0	0.166213357509822
Sarah	F	11	1.03383458646617	0.166213357509822
Dara		11	0	0.166213357509822
Michelle	F	10	0.93984962406015	0.151103052281656
Bobby		10	0	0.151103052281656
Joe		10	0	0.151103052281656
Lisa	F	10	0.93984962406015	0.151103052281656
Bill	M	10	0.538793103448276	0.151103052281656
West		10	0	0.151103052281656
Star	M	10	0.538793103448276	0.151103052281656
Dan	M	10	0.538793103448276	0.151103052281656
Male	M	10	0.538793103448276	0.151103052281656
Sister	F	10	0.93984962406015	0.151103052281656
Daniel	M	10	0.538793103448276	0.151103052281656
Tom		10	0	0.151103052281656
Jake	M	10	0.538793103448276	0.151103052281656
Flor		10	0	0.151103052281656
James		10	0	0.151103052281656
Adam	M	9	0.484913793103448	0.13599274705349
Tim	M	9	0.484913793103448	0.13599274705349
Ron	M	9	0.484913793103448	0.13599274705349
Santa	M	9	0.484913793103448	0.13599274705349
Chris	M	9	0.484913793103448	0.13599274705349
Larry	M	9	0.484913793103448	0.13599274705349
Case		9	0	0.13599274705349
Alex	M	9	0.484913793103448	0.13599274705349
Mary	F	9	0.845864661654135	0.13599274705349
Lafayette		9	0	0.13599274705349
Greg	M	9	0.484913793103448	0.13599274705349
Andrew	M	9	0.484913793103448	0.13599274705349
Aurora		9	0	0.13599274705349
Steve	M	8	0.431034482758621	0.120882441825325
Maria	F	8	0.75187969924812	0.120882441825325
George	M	8	0.431034482758621	0.120882441825325
Butler	M	8	0.431034482758621	0.120882441825325
Danny	M	8	0.431034482758621	0.120882441825325
Sam	M	8	0.431034482758621	0.120882441825325
Lee	M	8	0.431034482758621	0.120882441825325
Brian	M	8	0.431034482758621	0.120882441825325
Metro		8	0	0.120882441825325
Ashley	F	8	0.75187969924812	0.120882441825325
Texas		8	0	0.120882441825325
Art		8	0	0.120882441825325
Christine		8	0	0.120882441825325
Matt	M	8	0.431034482758621	0.120882441825325
Patrick	M	8	0.431034482758621	0.120882441825325
Charles		8	0	0.120882441825325
Lawyer	M	7	0.377155172413793	0.105772136597159
West	M	7	0.377155172413793	0.105772136597159
Joseph	M	7	0.377155172413793	0.105772136597159
Frank	M	7	0.377155172413793	0.105772136597159
Tommy	M	7	0.377155172413793	0.105772136597159
Rachel	F	7	0.657894736842105	0.105772136597159
Jordan	M	7	0.377155172413793	0.105772136597159
Charlie	M	7	0.377155172413793	0.105772136597159
Star	F	7	0.657894736842105	0.105772136597159
Joseph		7	0	0.105772136597159
Kevin	M	7	0.377155172413793	0.105772136597159
Chad	M	7	0.377155172413793	0.105772136597159
Vanessa	F	7	0.657894736842105	0.105772136597159
Ryan	M	7	0.377155172413793	0.105772136597159
Robert	M	7	0.377155172413793	0.105772136597159
Nicole	F	7	0.657894736842105	0.105772136597159
Era		7	0	0.105772136597159
Johnny	M	6	0.323275862068966	0.0906618313689937
Charity	F	6	0.56390977443609	0.0906618313689937
Jay	M	6	0.323275862068966	0.0906618313689937
Boss	M	6	0.323275862068966	0.0906618313689937
Rick	M	6	0.323275862068966	0.0906618313689937
Lawyer		6	0	0.0906618313689937
Pete	M	6	0.323275862068966	0.0906618313689937
Green	F	6	0.56390977443609	0.0906618313689937
Green	M	6	0.323275862068966	0.0906618313689937
Jeremy	M	6	0.323275862068966	0.0906618313689937
Blake	M	6	0.323275862068966	0.0906618313689937
Corey	M	6	0.323275862068966	0.0906618313689937
Bob		6	0	0.0906618313689937
Baker		6	0	0.0906618313689937
Bula		6	0	0.0906618313689937
Julia	F	6	0.56390977443609	0.0906618313689937
Taylor		6	0	0.0906618313689937
Adam		6	0	0.0906618313689937
Will	M	6	0.323275862068966	0.0906618313689937
Joey	M	6	0.323275862068966	0.0906618313689937
Jeff	M	6	0.323275862068966	0.0906618313689937
Jose		6	0	0.0906618313689937
Buddy	M	6	0.323275862068966	0.0906618313689937
Anne	F	6	0.56390977443609	0.0906618313689937
Max	M	6	0.323275862068966	0.0906618313689937
Josh	M	6	0.323275862068966	0.0906618313689937
John		6	0	0.0906618313689937
Nathan	M	6	0.323275862068966	0.0906618313689937
America		6	0	0.0906618313689937
Julie	F	6	0.56390977443609	0.0906618313689937
Marty	M	6	0.323275862068966	0.0906618313689937
Art	M	6	0.323275862068966	0.0906618313689937
Chance		6	0	0.0906618313689937
Brenna		6	0	0.0906618313689937
May		5	0	0.0755515261408281
Bruce	M	5	0.269396551724138	0.0755515261408281
Jimmy	M	5	0.269396551724138	0.0755515261408281
Jane	F	5	0.469924812030075	0.0755515261408281
Drake		5	0	0.0755515261408281
Danielle	F	5	0.469924812030075	0.0755515261408281
Sophia	F	5	0.469924812030075	0.0755515261408281
Jack		5	0	0.0755515261408281
Amy	F	5	0.469924812030075	0.0755515261408281
Rich	M	5	0.269396551724138	0.0755515261408281
Steven	M	5	0.269396551724138	0.0755515261408281
Debbie	F	5	0.469924812030075	0.0755515261408281
Lewis	M	5	0.269396551724138	0.0755515261408281
Cora		5	0	0.0755515261408281
Jessica	F	5	0.469924812030075	0.0755515261408281
Justin	M	5	0.269396551724138	0.0755515261408281
Tony	M	5	0.269396551724138	0.0755515261408281
Evita		5	0	0.0755515261408281
Aaron	M	5	0.269396551724138	0.0755515261408281
Elle		5	0	0.0755515261408281
York	M	5	0.269396551724138	0.0755515261408281
Charles	M	5	0.269396551724138	0.0755515261408281
Kim	F	5	0.469924812030075	0.0755515261408281
Joel	M	5	0.269396551724138	0.0755515261408281
Kent	M	5	0.269396551724138	0.0755515261408281
Boston		5	0	0.0755515261408281
Ed	M	5	0.269396551724138	0.0755515261408281
Terry	M	5	0.269396551724138	0.0755515261408281
Dorothy		5	0	0.0755515261408281
Hall		5	0	0.0755515261408281
Jamie	F	5	0.469924812030075	0.0755515261408281
Van	M	5	0.269396551724138	0.0755515261408281
Scott	M	5	0.269396551724138	0.0755515261408281
Rob	M	5	0.269396551724138	0.0755515261408281
Benjamin	M	5	0.269396551724138	0.0755515261408281
Treasure		5	0	0.0755515261408281
Samantha	F	5	0.469924812030075	0.0755515261408281
Brad	M	5	0.269396551724138	0.0755515261408281
Doug	M	5	0.269396551724138	0.0755515261408281
Park		5	0	0.0755515261408281
Rose		5	0	0.0755515261408281
