Name	Sex	Total	GroupPercentage	OverallPercentage
John	M	758	1.61245718904891	0.847457627118644
David	M	550	1.16998872556319	0.614909887750995
Anna	F	519	1.22724048238354	0.580251330441394
Jack	M	517	1.0997894020294	0.578015294485935
Paul	M	514	1.09340764534451	0.574661240552748
Mary	F	479	1.13265547410735	0.53553061133223
Maria	F	468	1.1066445968314	0.52323241357721
Tom	M	463	0.984917781701376	0.517642323688565
Michael	M	454	0.965772511646706	0.507580161889003
Peter	M	415	0.882809674743134	0.463977460757569
Laura	F	369	0.872546701347836	0.412548633782031
Joe	M	365	0.776447063328299	0.408076561871115
Sarah	F	350	0.827618822416647	0.391306292205179
Robert	M	349	0.742411027675551	0.39018827422745
George	M	348	0.740283775447255	0.38907025624972
Alex	M	330	0.701993235337914	0.368945932650597
Sam	M	327	0.695611478653024	0.36559187871741
Frank	M	322	0.68497521751154	0.360001788828764
James	M	322	0.68497521751154	0.360001788828764
Jim	M	315	0.670084451913463	0.352175662984661
Ben	M	312	0.663702695228573	0.348821609051474
Richard	M	300	0.638175668489013	0.335405393318725
Bill	M	293	0.623284902890936	0.327579267474621
Daniel	M	286	0.608394137292859	0.319753141630517
Guy	M	286	0.608394137292859	0.319753141630517
Max	M	284	0.604139632836265	0.317517105675059
Mike	M	281	0.597757876151375	0.314163051741872
Lee	M	276	0.587121615009892	0.308572961853227
Jane	F	274	0.647907306691889	0.306336925897768
Mark	M	273	0.580739858325002	0.305218907920039
Henry	M	272	0.578612606096705	0.30410088994231
Thomas	M	265	0.563721840498628	0.296274764098207
Julia	F	264	0.624261054622842	0.295156746120478
Adam	M	264	0.561594588270331	0.295156746120478
Kate	F	263	0.621896429415938	0.294038728142749
Kim	M	257	0.546703822672254	0.287330620276374
Alice	F	252	0.595885552139986	0.281740530387729
Martin	M	251	0.533940309302474	0.28062251241
Charles	M	244	0.519049543704397	0.272796386565896
Marie	F	240	0.567510049657129	0.26832431465498
Nick	M	240	0.51054053479121	0.26832431465498
Lisa	F	240	0.567510049657129	0.26832431465498
Steve	M	239	0.508413282562914	0.267206296677251
Harry	M	236	0.502031525878023	0.263852242744063
Charlie	M	236	0.502031525878023	0.263852242744063
Bob	M	231	0.49139526473654	0.258262152855418
Tony	M	231	0.49139526473654	0.258262152855418
William	M	227	0.482886255823353	0.253790080944502
Julie	F	224	0.529676046346654	0.250436027011314
Kim	F	217	0.513123669898321	0.242609901167211
Anne	F	211	0.498935918656893	0.235901793300836
Helen	F	210	0.496571293449988	0.234783775323107
Claire	F	207	0.489477417829274	0.23142972138992
Ana	F	207	0.489477417829274	0.23142972138992
Eva	F	206	0.487112792622369	0.230311703412191
Johnny	M	205	0.436086706800825	0.229193685434462
Juan	M	203	0.431832202344232	0.226957649479004
Chris	M	200	0.425450445659342	0.223603595545816
Lee	F	199	0.470560416174036	0.222485577568087
Emily	F	199	0.470560416174036	0.222485577568087
Elizabeth	F	198	0.468195790967132	0.221367559590358
Emma	F	197	0.465831165760227	0.220249541612629
Jake	M	186	0.395668914463188	0.207951343857609
Sara	F	186	0.439820288484275	0.207951343857609
Dan	M	184	0.391414410006594	0.205715307902151
Carlos	M	184	0.391414410006594	0.205715307902151
Susan	F	184	0.435091038070466	0.205715307902151
Jenny	F	184	0.435091038070466	0.205715307902151
Jimmy	M	182	0.387159905550001	0.203479271946693
Nina	F	181	0.427997162449752	0.202361253968964
Amy	F	181	0.427997162449752	0.202361253968964
Barbara	F	177	0.418538661622133	0.197889182058047
Diana	F	176	0.416174036415228	0.196771164080318
Lucy	F	176	0.416174036415228	0.196771164080318
Linda	F	176	0.416174036415228	0.196771164080318
Billy	M	175	0.372269139951924	0.195653146102589
Danny	M	172	0.365887383267034	0.192299092169402
Sophie	F	171	0.404350910380705	0.191181074191673
Eric	M	170	0.361632878810441	0.190063056213944
Charlotte	F	165	0.390163159139276	0.184472966325298
Rachel	F	165	0.390163159139276	0.184472966325298
Sally	F	164	0.387798533932372	0.183354948347569
Maggie	F	161	0.380704658311658	0.180000894414382
Eddie	M	160	0.340360356527473	0.178882876436653
Simon	M	158	0.33610585207088	0.176646840481195
Jason	M	156	0.331851347614287	0.174410804525737
Karen	F	156	0.368881532277134	0.174410804525737
Jeff	M	155	0.32972409538599	0.173292786548008
Matt	M	154	0.327596843157693	0.172174768570279
Rose	F	153	0.36178765665642	0.17105675059255
Catherine	F	152	0.359423031449515	0.16993873261482
Vera	F	151	0.357058406242611	0.168820714637091
Tim	M	150	0.319087834244506	0.167702696659362
Pedro	M	149	0.31696058201621	0.166584678681633
Walter	M	149	0.31696058201621	0.166584678681633
Ali	M	148	0.314833329787913	0.165466660703904
Miguel	M	146	0.31057882533132	0.163230624748446
Jerry	M	144	0.306324320874726	0.160994588792988
Amanda	F	144	0.340506029794278	0.160994588792988
Arthur	M	142	0.302069816418133	0.15875855283753
Clara	F	142	0.335776779380468	0.15875855283753
Betty	F	139	0.328682903759754	0.155404498904342
Elena	F	139	0.328682903759754	0.155404498904342
Antonio	M	139	0.295688059733243	0.155404498904342
Patrick	M	138	0.293560807504946	0.154286480926613
Tommy	M	137	0.291433555276649	0.153168462948884
Victor	M	136	0.289306303048352	0.152050444971155
Rita	F	136	0.32158902813904	0.152050444971155
Pierre	M	136	0.289306303048352	0.152050444971155
Victoria	F	136	0.32158902813904	0.152050444971155
Roger	M	135	0.287179050820056	0.150932426993426
Dave	M	134	0.285051798591759	0.149814409015697
Louise	F	134	0.316859777725231	0.149814409015697
Grace	F	133	0.314495152518326	0.148696391037968
Edward	M	132	0.280797294135166	0.147578373060239
Irene	F	132	0.312130527311421	0.147578373060239
Andrew	M	132	0.280797294135166	0.147578373060239
Ted	M	132	0.280797294135166	0.147578373060239
Ruth	F	131	0.309765902104516	0.14646035508251
Teresa	F	131	0.309765902104516	0.14646035508251
Jan	M	131	0.278670041906869	0.14646035508251
Larry	M	131	0.278670041906869	0.14646035508251
Paula	F	131	0.309765902104516	0.14646035508251
Ellen	F	131	0.309765902104516	0.14646035508251
Isabel	F	130	0.307401276897612	0.145342337104781
Ryan	M	130	0.276542789678572	0.145342337104781
Annie	F	129	0.305036651690707	0.144224319127052
Park	M	129	0.274415537450275	0.144224319127052
Kevin	M	128	0.272288285221979	0.143106301149322
Rebecca	F	127	0.300307401276898	0.141988283171593
Jessica	F	127	0.300307401276898	0.141988283171593
Will	M	127	0.270161032993682	0.141988283171593
Andy	M	127	0.270161032993682	0.141988283171593
Lily	F	127	0.300307401276898	0.141988283171593
Brian	M	127	0.270161032993682	0.141988283171593
Nancy	F	125	0.295578150863088	0.139752247216135
Jennifer	F	124	0.293213525656183	0.138634229238406
Joseph	M	123	0.261652024080495	0.137516211260677
Lena	F	123	0.290848900449279	0.137516211260677
Molly	F	122	0.288484275242374	0.136398193282948
Ann	F	121	0.286119650035469	0.135280175305219
Angela	F	121	0.286119650035469	0.135280175305219
Margaret	F	121	0.286119650035469	0.135280175305219
Samantha	F	121	0.286119650035469	0.135280175305219
Fernando	M	120	0.255270267395605	0.13416215732749
Leo	M	119	0.253143015167308	0.133044139349761
Oliver	M	119	0.253143015167308	0.133044139349761
Karl	M	118	0.251015762939012	0.131926121372032
Joan	F	117	0.276661149207851	0.130808103394303
Fred	M	117	0.248888510710715	0.130808103394303
Bruno	M	117	0.248888510710715	0.130808103394303
Sandra	F	117	0.276661149207851	0.130808103394303
Michelle	F	117	0.276661149207851	0.130808103394303
Albert	M	116	0.246761258482418	0.129690085416574
Carol	F	116	0.274296524000946	0.129690085416574
Jean	M	114	0.242506754025825	0.127454049461115
Patricia	F	114	0.269567273587136	0.127454049461115
Gabriel	M	113	0.240379501797528	0.126336031483386
Tina	F	112	0.264838023173327	0.125218013505657
Lola	F	112	0.264838023173327	0.125218013505657
Vincent	M	111	0.236124997340935	0.124099995527928
Olivia	F	111	0.262473397966422	0.124099995527928
Alan	M	110	0.233997745112638	0.122981977550199
Helena	F	109	0.257744147552613	0.12186395957247
Martha	F	108	0.255379522345708	0.120745941594741
Pete	M	108	0.229743240656045	0.120745941594741
Rosa	F	108	0.255379522345708	0.120745941594741
Scott	M	108	0.229743240656045	0.120745941594741
Jonathan	M	107	0.227615988427748	0.119627923617012
Bobby	M	106	0.225488736199451	0.118509905639283
Philip	M	106	0.225488736199451	0.118509905639283
Luis	M	106	0.225488736199451	0.118509905639283
Ricardo	M	105	0.223361483971154	0.117391887661554
Mario	M	105	0.223361483971154	0.117391887661554
Roy	M	105	0.223361483971154	0.117391887661554
Phil	M	105	0.223361483971154	0.117391887661554
Olga	F	105	0.248285646724994	0.117391887661554
Hans	M	105	0.223361483971154	0.117391887661554
Duke	M	104	0.221234231742858	0.116273869683825
Sister	F	104	0.245921021518089	0.116273869683825
Manuel	M	104	0.221234231742858	0.116273869683825
Beth	F	104	0.245921021518089	0.116273869683825
Christine	F	104	0.245921021518089	0.116273869683825
Christian	M	104	0.221234231742858	0.116273869683825
Diego	M	103	0.219106979514561	0.115155851706095
Andrea	F	103	0.243556396311185	0.115155851706095
Stella	F	103	0.243556396311185	0.115155851706095
Hannah	F	103	0.243556396311185	0.115155851706095
Lucas	M	103	0.219106979514561	0.115155851706095
Nicole	F	102	0.24119177110428	0.114037833728366
Carl	M	101	0.214852475057968	0.112919815750637
Roberto	M	101	0.214852475057968	0.112919815750637
Colonel	M	100	0.212725222829671	0.111801797772908
Monica	F	100	0.236462520690471	0.111801797772908
Rick	M	100	0.212725222829671	0.111801797772908
Marc	M	99	0.210597970601374	0.110683779795179
Josh	M	99	0.210597970601374	0.110683779795179
Eve	F	98	0.231733270276661	0.10956576181745
Luke	M	98	0.208470718373077	0.10956576181745
Samuel	M	97	0.206343466144781	0.108447743839721
Alexander	M	97	0.206343466144781	0.108447743839721
Carmen	F	97	0.229368645069756	0.108447743839721
Marco	M	97	0.206343466144781	0.108447743839721
Brad	M	97	0.206343466144781	0.108447743839721
Katie	F	96	0.227004019862852	0.107329725861992
Ivan	M	95	0.202088961688187	0.106211707884263
Carla	F	95	0.224639394655947	0.106211707884263
Maya	F	95	0.224639394655947	0.106211707884263
Sylvia	F	94	0.222274769449042	0.105093689906534
Louis	M	94	0.199961709459891	0.105093689906534
Sofia	F	94	0.222274769449042	0.105093689906534
Caroline	F	93	0.219910144242138	0.103975671928805
Ray	M	93	0.197834457231594	0.103975671928805
Alex	F	93	0.219910144242138	0.103975671928805
Pablo	M	92	0.195707205003297	0.102857653951076
Marta	F	90	0.212816268621423	0.100621617995617
Anthony	M	90	0.191452700546704	0.100621617995617
Jean	F	90	0.212816268621423	0.100621617995617
Jay	M	90	0.191452700546704	0.100621617995617
Sean	M	89	0.189325448318407	0.0995036000178883
Alberto	M	88	0.18719819609011	0.0983855820401592
Dick	M	86	0.182943691633517	0.096149546084701
Al	M	86	0.182943691633517	0.096149546084701
Gloria	F	86	0.203357767793805	0.096149546084701
Vanessa	F	86	0.203357767793805	0.096149546084701
Judge	M	85	0.18081643940522	0.095031528106972
