Name	Sex	Total	GroupPercentage	OverallPercentage
John	M	505	2.24494332073794	1.39819480591395
Jack	M	277	1.23138475216715	0.766930616313196
David	M	261	1.16025783507446	0.722631374937704
James	M	229	1.01800400088909	0.634032892186721
Tom	M	227	1.0091131362525	0.628495487014785
Paul	M	207	0.920204489886641	0.573121435295421
Peter	M	198	0.880195599022005	0.548203112021707
Sam	M	186	0.826850411202489	0.514978680990088
Sarah	F	186	1.3987065724169	0.514978680990088
Frank	M	185	0.822404978884197	0.51220997840412
Michael	M	183	0.813514114247611	0.506672573232183
Robert	M	171	0.760168926428095	0.473448142200565
Joe	M	170	0.755723494109802	0.470679439614597
George	M	166	0.73794176483663	0.459604629270724
Max	M	164	0.729050900200044	0.454067224098787
Adam	M	161	0.715714603245166	0.445761116340883
Mike	M	159	0.70682373860858	0.440223711168946
Ben	M	158	0.702378306290287	0.437455008582978
Colonel	M	154	0.684596577017115	0.426380198239105
Alex	M	150	0.666814847743943	0.415305387895232
Mark	M	145	0.644587686152478	0.401461874965391
Steve	M	141	0.626805956879307	0.390387064621518
Richard	M	140	0.622360524561014	0.38761836203555
Jim	M	139	0.617915092242721	0.384849659449582
Charles	M	136	0.604578795287842	0.376543551691677
Bill	M	135	0.600133362969549	0.373774849105709
Mary	F	132	0.992630470747481	0.365468741347804
Anna	F	123	0.924951120469244	0.34055041807409
Henry	M	119	0.529006445876862	0.329475607730218
William	M	118	0.524561013558569	0.326706905144249
Thomas	M	117	0.520115581240276	0.323938202558281
Jake	M	114	0.506779284285397	0.315632094800377
Daniel	M	113	0.502333851967104	0.312863392214408
Nick	M	113	0.502333851967104	0.312863392214408
Lisa	F	110	0.827192058956234	0.304557284456504
Bob	M	109	0.484552122693932	0.301788581870535
Harry	M	107	0.475661258057346	0.296251176698599
Charlie	M	107	0.475661258057346	0.296251176698599
Jane	F	104	0.782072492104076	0.287945068940694
Chris	M	102	0.453434096465881	0.282407663768758
Alice	F	101	0.759512708677997	0.27963896118279
Admiral	M	101	0.448988664147588	0.27963896118279
Susan	F	101	0.759512708677997	0.27963896118279
Rachel	F	101	0.759512708677997	0.27963896118279
Victor	M	100	0.444543231829295	0.276870258596822
Laura	F	99	0.744472853060611	0.274101556010853
Claire	F	97	0.729432997443225	0.268564150838917
Dan	M	97	0.431206934874417	0.268564150838917
Martin	M	95	0.422316070237831	0.26302674566698
Jason	M	93	0.413425205601245	0.257489340495044
Eric	M	90	0.400088908646366	0.249183232737139
Billy	M	90	0.400088908646366	0.249183232737139
Hank	M	89	0.395643476328073	0.246414530151171
Kate	F	88	0.661753647164987	0.243645827565203
Linda	F	88	0.661753647164987	0.243645827565203
Walter	M	87	0.386752611691487	0.240877124979235
Simon	M	87	0.386752611691487	0.240877124979235
Tony	M	85	0.377861747054901	0.235339719807298
Brian	M	84	0.373416314736608	0.23257101722133
Carl	M	83	0.368970882418315	0.229802314635362
Emily	F	83	0.624154008121522	0.229802314635362
Johnny	M	81	0.360080017781729	0.224264909463425
Helen	F	80	0.601594224695443	0.221496206877457
Elizabeth	F	79	0.59407429688675	0.218727504291489
Maria	F	79	0.59407429688675	0.218727504291489
Matt	M	75	0.333407423871972	0.207652693947616
Male	M	74	0.328961991553679	0.204883991361648
Dave	M	73	0.324516559235386	0.20211528877568
Karen	F	73	0.548954730034592	0.20211528877568
Arthur	M	72	0.320071126917093	0.199346586189711
Jeff	M	71	0.3156256945988	0.196577883603743
Kevin	M	71	0.3156256945988	0.196577883603743
Amy	F	70	0.526394946608513	0.193809181017775
Jennifer	F	70	0.526394946608513	0.193809181017775
Kyle	M	70	0.311180262280507	0.193809181017775
Fred	M	69	0.306734829962214	0.191040478431807
Ed	M	68	0.302289397643921	0.188271775845839
Jenny	F	68	0.511355090991127	0.188271775845839
Roger	M	67	0.297843965325628	0.18550307325987
Jimmy	M	66	0.293398533007335	0.182734370673902
Samantha	F	66	0.49631523537374	0.182734370673902
Alan	M	65	0.288953100689042	0.179965668087934
Andrew	M	65	0.288953100689042	0.179965668087934
Scott	M	64	0.284507668370749	0.177196965501966
Matthew	M	64	0.284507668370749	0.177196965501966
Larry	M	63	0.280062236052456	0.174428262915998
Ken	M	63	0.280062236052456	0.174428262915998
Eddie	M	63	0.280062236052456	0.174428262915998
Carol	F	63	0.473755451947661	0.174428262915998
Ryan	M	63	0.280062236052456	0.174428262915998
Eva	F	62	0.466235524138968	0.171659560330029
Sally	F	62	0.466235524138968	0.171659560330029
Emma	F	62	0.466235524138968	0.171659560330029
Amanda	F	62	0.466235524138968	0.171659560330029
Sara	F	62	0.466235524138968	0.171659560330029
Edward	M	61	0.27117137141587	0.168890857744061
Lee	M	61	0.27117137141587	0.168890857744061
Boss	M	61	0.27117137141587	0.168890857744061
Andy	M	61	0.27117137141587	0.168890857744061
Pete	M	61	0.27117137141587	0.168890857744061
Jessica	F	61	0.458715596330275	0.168890857744061
Ian	M	60	0.266725939097577	0.166122155158093
Joseph	M	60	0.266725939097577	0.166122155158093
Luke	M	59	0.262280506779284	0.163353452572125
Julie	F	58	0.436155812904196	0.160584749986156
Ray	M	58	0.257835074460991	0.160584749986156
Will	M	58	0.257835074460991	0.160584749986156
Hunter	M	58	0.257835074460991	0.160584749986156
Rebecca	F	58	0.436155812904196	0.160584749986156
Albert	M	57	0.253389642142698	0.157816047400188
Ted	M	57	0.253389642142698	0.157816047400188
Danny	M	57	0.253389642142698	0.157816047400188
Grace	F	57	0.428635885095503	0.157816047400188
Jonathan	M	56	0.248944209824405	0.15504734481422
