Name	Sex	Total	GroupPercentage	OverallPercentage
John	M	1248	1.8136635131011	1.10592217781598
Guy	M	1224	1.77878536861839	1.08465444362721
Jack	M	878	1.27595878565927	0.778044609072461
David	M	789	1.14661899986921	0.699176761455776
Sarah	F	727	1.70982384345822	0.644235114801457
Tom	M	715	1.03907805438084	0.633601247707072
Michael	M	705	1.02454549417971	0.624739691795085
James	M	680	0.988214093676883	0.602585802015118
Mary	F	626	1.47228297937393	0.554733400090388
Paul	M	617	0.89665896440976	0.5467579997696
Joe	M	589	0.855967795846594	0.521945643216036
Mike	M	568	0.82544941942422	0.503336375800863
Peter	M	549	0.797837555042072	0.486499419568088
Mark	M	546	0.793477786981733	0.483840952794492
Frank	M	529	0.76877243463981	0.468776307744114
Sam	M	501	0.728081266076645	0.44396395119055
Anna	F	471	1.10774006914556	0.417379283454589
Adam	M	465	0.675764049352574	0.412062349907397
George	M	454	0.659778233131331	0.402314638404211
Alex	M	453	0.658324977111218	0.401428482813012
Jim	M	449	0.652511953030765	0.397883860448217
Ben	M	448	0.651058697010652	0.396997704857019
Steve	M	431	0.62635334466873	0.381933059806641
Chris	M	431	0.62635334466873	0.381933059806641
Bill	M	424	0.616180552527939	0.37572997066825
Boss	M	420	0.610367528447487	0.372185348303455
Daniel	M	410	0.595834968246356	0.363323792391468
Charlie	M	409	0.594381712226243	0.362437636800269
Thomas	M	400	0.581302408045225	0.354462236479481
Robert	M	390	0.566769847844095	0.345600680567494
Bob	M	388	0.563863335803869	0.343828369385097
Jimmy	M	388	0.563863335803869	0.343828369385097
Jason	M	377	0.547877519582625	0.334080657881911
Max	M	374	0.543517751522286	0.331422191108315
Alice	F	367	0.86314353583104	0.325219101969924
Billy	M	364	0.528985191321155	0.322560635196328
Tony	M	364	0.528985191321155	0.322560635196328
Dave	M	364	0.528985191321155	0.322560635196328
Henry	M	361	0.524625423260816	0.319902168422732
Lisa	F	358	0.841976528140361	0.317243701649136
Richard	M	356	0.517359143160251	0.315471390466738
Jake	M	341	0.495560302858555	0.302179056598758
Maria	F	339	0.797290623015593	0.30040674541636
Nick	M	328	0.476667974597085	0.290659033913174
Johnny	M	319	0.463588670416067	0.282683633592386
Laura	F	315	0.740845269173781	0.279139011227591
Emily	F	313	0.736141489686963	0.277366700045194
Sara	F	312	0.733789599943555	0.276480544453995
Harry	M	309	0.449056110214937	0.273822077680399
Kate	F	304	0.714974481996284	0.269391299724406
William	M	293	0.425804013893128	0.25964358822122
Brian	M	290	0.421444245832788	0.256985121447624
Jane	F	289	0.679696135845152	0.256098965856425
Martin	M	287	0.417084477772449	0.254326654674028
Simon	M	286	0.415631221752336	0.253440499082829
Sister	F	286	0.672640466614925	0.253440499082829
Dan	M	286	0.415631221752336	0.253440499082829
Kevin	M	283	0.411271453691997	0.250782032309233
Julie	F	279	0.656177238411063	0.247237409944438
Danny	M	277	0.402551917571319	0.245465098762041
Eric	M	276	0.401098661551205	0.244578943170842
Rachel	F	275	0.646769679437428	0.243692787579643
Matt	M	274	0.398192149510979	0.242806631988445
Male	M	273	0.396738893490866	0.241920476397246
Tommy	M	264	0.383659589309849	0.233945076076458
Amy	F	253	0.595028105082434	0.224197364573272
Jenny	F	252	0.592676215339025	0.223311208982073
Tim	M	252	0.366220517068492	0.223311208982073
Jessica	F	251	0.590324325595616	0.222425053390874
Claire	F	244	0.573861097391754	0.216221964252483
Ryan	M	244	0.354594468907587	0.216221964252483
Eddie	M	239	0.347328188807022	0.21179118629649
Emma	F	236	0.555045979444484	0.209132719522894
Lucy	F	231	0.543286530727439	0.2047019415669
Bobby	M	226	0.328435860545552	0.200271163610907
Julia	F	225	0.529175192266987	0.199385008019708
Pete	M	225	0.326982604525439	0.199385008019708
Charles	M	222	0.3226228364651	0.196726541246112
Helen	F	219	0.515063853806534	0.194068074472516
Marie	F	219	0.515063853806534	0.194068074472516
Sophie	F	218	0.512711964063125	0.193181918881317
Andy	M	218	0.316809812384648	0.193181918881317
Sean	M	218	0.316809812384648	0.193181918881317
Josh	M	211	0.306637020243856	0.186978829742926
Samantha	F	211	0.496248735859263	0.186978829742926
Eva	F	210	0.493896846115854	0.186092674151728
Luke	M	209	0.30373050820363	0.185206518560529
Larry	M	207	0.300823996163404	0.183434207378131
Scott	M	205	0.297917484123178	0.181661896195734
Susan	F	204	0.479785507655401	0.180775740604535
Joseph	M	201	0.292104460042726	0.178117273830939
Carl	M	199	0.2891979480025	0.176344962648542
Rob	M	196	0.28483817994216	0.173686495874946
Linda	F	194	0.456266610221313	0.171914184692548
Vincent	M	192	0.279025155861708	0.170141873510151
Grace	F	191	0.449210940991086	0.169255717918952
Katie	F	191	0.449210940991086	0.169255717918952
Gary	M	190	0.276118643821482	0.168369562327754
Rick	M	190	0.276118643821482	0.168369562327754
