Name	Sex	Total	GroupPercentage	OverallPercentage
York		105	0	1.193724420191
John	M	92	1.67151162790698	1.04592996816735
Mike	M	81	1.47165697674419	0.92087312414734
Joe	M	79	1.43531976744186	0.898135516143702
Jack	M	66	1.19912790697674	0.750341064120055
Jim	M	63	1.14462209302326	0.716234652114598
Angeles		57	0	0.648021828103683
Johnny	M	53	0.962936046511628	0.602546612096407
Billy	M	52	0.944767441860465	0.591177808094588
Jimmy	M	51	0.926598837209302	0.579809004092769
Bill	M	50	0.908430232558139	0.56844020009095
Frank	M	45	0.817587209302326	0.511596180081855
Steve	M	45	0.817587209302326	0.511596180081855
Michael	M	45	0.817587209302326	0.511596180081855
Arizona		45	0	0.511596180081855
David	M	43	0.78125	0.488858572078217
Dallas		42	0	0.477489768076398
Cleveland		42	0	0.477489768076398
Boston		41	0	0.466120964074579
Tommy	M	41	0.744912790697674	0.466120964074579
Bobby	M	40	0.726744186046512	0.45475216007276
Paul	M	40	0.726744186046512	0.45475216007276
Brian	M	39	0.708575581395349	0.443383356070941
Danny	M	38	0.690406976744186	0.432014552069122
Bob	M	37	0.672238372093023	0.420645748067303
Tony	M	37	0.672238372093023	0.420645748067303
Mark	M	37	0.672238372093023	0.420645748067303
Chris	M	35	0.635901162790698	0.397908140063665
Tom	M	34	0.617732558139535	0.386539336061846
Nick	M	34	0.617732558139535	0.386539336061846
Scott	M	33	0.599563953488372	0.375170532060027
Max	M	33	0.599563953488372	0.375170532060027
Pete	M	33	0.599563953488372	0.375170532060027
Alex	M	33	0.599563953488372	0.375170532060027
Louis		33	0	0.375170532060027
Francisco		33	0	0.375170532060027
Harry	M	31	0.563226744186046	0.352432924056389
James	M	31	0.563226744186046	0.352432924056389
George	M	30	0.545058139534884	0.34106412005457
Julie	F	30	1.27713920817369	0.34106412005457
Rick	M	30	0.545058139534884	0.34106412005457
Dan	M	29	0.526889534883721	0.329695316052751
Eddie	M	29	0.526889534883721	0.329695316052751
Peter	M	28	0.508720930232558	0.318326512050932
Jake	M	27	0.490552325581395	0.306957708049113
Dave	M	27	0.490552325581395	0.306957708049113
Robert	M	26	0.472383720930233	0.295588904047294
Mary	F	25	1.06428267347808	0.284220100045475
Sam	M	25	0.45421511627907	0.284220100045475
Don	M	25	0.45421511627907	0.284220100045475
Joey	M	25	0.45421511627907	0.284220100045475
Judge		25	0	0.284220100045475
Antonio		25	0	0.284220100045475
Andy	M	24	0.436046511627907	0.272851296043656
Sarah	F	24	1.02171136653895	0.272851296043656
Martin	M	23	0.417877906976744	0.261482492041837
Larry	M	23	0.417877906976744	0.261482492041837
Washington		23	0	0.261482492041837
Anna	F	22	0.936568752660707	0.250113688040018
Denver		22	0	0.250113688040018
Henry	M	21	0.381540697674419	0.238744884038199
Jason	M	21	0.381540697674419	0.238744884038199
Jeff	M	21	0.381540697674419	0.238744884038199
Ray	M	21	0.381540697674419	0.238744884038199
Kevin	M	21	0.381540697674419	0.238744884038199
Matt	M	21	0.381540697674419	0.238744884038199
Green		21	0	0.238744884038199
Ben	M	20	0.363372093023256	0.22737608003638
Jerry	M	20	0.363372093023256	0.22737608003638
Eric	M	20	0.363372093023256	0.22737608003638
Charlie	M	20	0.363372093023256	0.22737608003638
Jenny	F	20	0.851426138782461	0.22737608003638
Randy	M	19	0.345203488372093	0.216007276034561
Alice	F	19	0.808854831843338	0.216007276034561
Ted	M	19	0.345203488372093	0.216007276034561
Roy	M	19	0.345203488372093	0.216007276034561
Ricky	M	19	0.345203488372093	0.216007276034561
Charles	M	19	0.345203488372093	0.216007276034561
Kate	F	19	0.808854831843338	0.216007276034561
Terry	M	19	0.345203488372093	0.216007276034561
Tyler	M	18	0.32703488372093	0.204638472032742
Al	M	18	0.32703488372093	0.204638472032742
Lee	M	18	0.32703488372093	0.204638472032742
Anthony	M	18	0.32703488372093	0.204638472032742
Brad	M	17	0.308866279069767	0.193269668030923
Linda	F	17	0.723712217965092	0.193269668030923
Gary	M	17	0.308866279069767	0.193269668030923
Richard	M	17	0.308866279069767	0.193269668030923
Adam	M	17	0.308866279069767	0.193269668030923
Victor	M	17	0.308866279069767	0.193269668030923
Houston		17	0	0.193269668030923
Marty	M	16	0.290697674418605	0.181900864029104
Daniel	M	16	0.290697674418605	0.181900864029104
Tim	M	16	0.290697674418605	0.181900864029104
Sean	M	16	0.290697674418605	0.181900864029104
Lisa	F	16	0.681140911025969	0.181900864029104
Ryan	M	16	0.290697674418605	0.181900864029104
Lance	M	16	0.290697674418605	0.181900864029104
West		16	0	0.181900864029104
Jones	M	15	0.272529069767442	0.170532060027285
Bruce	M	15	0.272529069767442	0.170532060027285
Rocky	M	15	0.272529069767442	0.170532060027285
Marcus	M	15	0.272529069767442	0.170532060027285
Dean	M	15	0.272529069767442	0.170532060027285
Carl	M	14	0.254360465116279	0.159163256025466
Phil	M	14	0.254360465116279	0.159163256025466
Chuck	M	14	0.254360465116279	0.159163256025466
Ed	M	14	0.254360465116279	0.159163256025466
Jay	M	14	0.254360465116279	0.159163256025466
Lou	M	14	0.254360465116279	0.159163256025466
Kim	F	14	0.595998297147722	0.159163256025466
Maggie	F	14	0.595998297147722	0.159163256025466
Josh	M	14	0.254360465116279	0.159163256025466
Will	M	14	0.254360465116279	0.159163256025466
Walter	M	13	0.236191860465116	0.147794452023647
Judge	M	13	0.236191860465116	0.147794452023647
Judy	F	13	0.553426990208599	0.147794452023647
Kelly	F	13	0.553426990208599	0.147794452023647
Vince	M	13	0.236191860465116	0.147794452023647
Gene	M	13	0.236191860465116	0.147794452023647
Dennis	M	13	0.236191860465116	0.147794452023647
Todd	M	13	0.236191860465116	0.147794452023647
Betty	F	12	0.510855683269476	0.136425648021828
Ruth	F	12	0.510855683269476	0.136425648021828
Doc	M	12	0.218023255813953	0.136425648021828
Claire	F	12	0.510855683269476	0.136425648021828
Howard	M	12	0.218023255813953	0.136425648021828
Roger	M	12	0.218023255813953	0.136425648021828
Annie	F	12	0.510855683269476	0.136425648021828
Ron	M	12	0.218023255813953	0.136425648021828
Sister	F	12	0.510855683269476	0.136425648021828
Shawn	M	12	0.218023255813953	0.136425648021828
Greg	M	12	0.218023255813953	0.136425648021828
Ali	M	12	0.218023255813953	0.136425648021828
Gunner		12	0	0.136425648021828
Fred	M	11	0.199854651162791	0.125056844020009
Mickey	M	11	0.199854651162791	0.125056844020009
Sally	F	11	0.468284376330353	0.125056844020009
Jackie	M	11	0.199854651162791	0.125056844020009
Thomas	M	11	0.199854651162791	0.125056844020009
Ken	M	11	0.199854651162791	0.125056844020009
Frankie	M	11	0.199854651162791	0.125056844020009
Carol	F	11	0.468284376330353	0.125056844020009
Louis	M	11	0.199854651162791	0.125056844020009
William	M	11	0.199854651162791	0.125056844020009
Laura	F	11	0.468284376330353	0.125056844020009
Leo	M	11	0.199854651162791	0.125056844020009
Maria	F	11	0.468284376330353	0.125056844020009
Luke	M	11	0.199854651162791	0.125056844020009
Karen	F	11	0.468284376330353	0.125056844020009
Maurice	M	11	0.199854651162791	0.125056844020009
Barry	M	11	0.199854651162791	0.125056844020009
Tito	M	11	0.199854651162791	0.125056844020009
Keith	M	11	0.199854651162791	0.125056844020009
Aaron	M	11	0.199854651162791	0.125056844020009
Boss	M	10	0.181686046511628	0.11368804001819
Brown	M	10	0.181686046511628	0.11368804001819
Gloria	F	10	0.42571306939123	0.11368804001819
Barbara	F	10	0.42571306939123	0.11368804001819
Ellen	F	10	0.42571306939123	0.11368804001819
Anne	F	10	0.42571306939123	0.11368804001819
Lee	F	10	0.42571306939123	0.11368804001819
Jane	F	10	0.42571306939123	0.11368804001819
Hector	M	10	0.181686046511628	0.11368804001819
Pat	M	10	0.181686046511628	0.11368804001819
Gus	M	10	0.181686046511628	0.11368804001819
Anton	M	10	0.181686046511628	0.11368804001819
Karl	M	10	0.181686046511628	0.11368804001819
Emily	F	10	0.42571306939123	0.11368804001819
Gino	M	10	0.181686046511628	0.11368804001819
Cody	M	10	0.181686046511628	0.11368804001819
Doug	M	10	0.181686046511628	0.11368804001819
Simon	M	10	0.181686046511628	0.11368804001819
Brooke	F	10	0.42571306939123	0.11368804001819
Shane	M	10	0.181686046511628	0.11368804001819
Reggie	M	10	0.181686046511628	0.11368804001819
Diego		10	0	0.11368804001819
Emma	F	10	0.42571306939123	0.11368804001819
Helen	F	9	0.383141762452107	0.102319236016371
Teddy	M	9	0.163517441860465	0.102319236016371
Nancy	F	9	0.383141762452107	0.102319236016371
Marco	M	9	0.163517441860465	0.102319236016371
Angelo	M	9	0.163517441860465	0.102319236016371
