Name	Sex	Total	GroupPercentage	OverallPercentage
Fox		87	0	3.15904139433551
Guy	M	44	3.8360941586748	1.59767610748003
Judge		41	0	1.48874364560639
York		27	0	0.980392156862745
Star		19	0	0.689905591866376
Guy		18	0	0.65359477124183
Max		18	0	0.65359477124183
Media		17	0	0.617283950617284
Washington		15	0	0.544662309368192
John	M	15	1.3077593722755	0.544662309368192
Governor		14	0	0.508351488743646
Press		14	0	0.508351488743646
George	M	13	1.1333914559721	0.4720406681191
Jerry	M	12	1.0462074978204	0.435729847494553
James	M	12	1.0462074978204	0.435729847494553
Mike		12	0	0.435729847494553
Jimmy		12	0	0.435729847494553
James		12	0	0.435729847494553
Thomas	M	11	0.959023539668701	0.399419026870007
Paul	M	11	0.959023539668701	0.399419026870007
Michael	M	11	0.959023539668701	0.399419026870007
Mike	M	11	0.959023539668701	0.399419026870007
Bob	M	11	0.959023539668701	0.399419026870007
Matt	M	10	0.871839581517001	0.363108206245461
Jack	M	10	0.871839581517001	0.363108206245461
Crew		10	0	0.363108206245461
Frank	M	10	0.871839581517001	0.363108206245461
Alan	M	9	0.784655623365301	0.326797385620915
Donald	M	9	0.784655623365301	0.326797385620915
Tony		9	0	0.326797385620915
Lawyer		9	0	0.326797385620915
Donald		9	0	0.326797385620915
Robert	M	8	0.697471665213601	0.290486564996369
Jimmy	M	8	0.697471665213601	0.290486564996369
Lukas		8	0	0.290486564996369
Hall		8	0	0.290486564996369
Georgia		8	0	0.290486564996369
Jim	M	8	0.697471665213601	0.290486564996369
Angel		8	0	0.290486564996369
David	M	7	0.610287707061901	0.254175744371823
Daniel	M	7	0.610287707061901	0.254175744371823
Scott	M	7	0.610287707061901	0.254175744371823
Doug	M	7	0.610287707061901	0.254175744371823
Peter		7	0	0.254175744371823
Steve	M	7	0.610287707061901	0.254175744371823
Jesus	M	7	0.610287707061901	0.254175744371823
Andy	M	7	0.610287707061901	0.254175744371823
Bill		7	0	0.254175744371823
Sky		7	0	0.254175744371823
Amy	F	7	1.45833333333333	0.254175744371823
Bobby	M	6	0.523103748910201	0.217864923747277
Keith	M	6	0.523103748910201	0.217864923747277
Bob		6	0	0.217864923747277
Kevin	M	6	0.523103748910201	0.217864923747277
Larry	M	6	0.523103748910201	0.217864923747277
Jay	M	6	0.523103748910201	0.217864923747277
Bill	M	6	0.523103748910201	0.217864923747277
Lawyer	M	6	0.523103748910201	0.217864923747277
Alex	M	6	0.523103748910201	0.217864923747277
Jim		6	0	0.217864923747277
Sarah	F	6	1.25	0.217864923747277
Tom		6	0	0.217864923747277
Hillary		6	0	0.217864923747277
Gary	M	6	0.523103748910201	0.217864923747277
Harry	M	6	0.523103748910201	0.217864923747277
Santa	M	6	0.523103748910201	0.217864923747277
Carolina		6	0	0.217864923747277
William	M	5	0.4359197907585	0.181554103122731
Tony	M	5	0.4359197907585	0.181554103122731
Tom	M	5	0.4359197907585	0.181554103122731
Angel	F	5	1.04166666666667	0.181554103122731
Jeff	M	5	0.4359197907585	0.181554103122731
Al	M	5	0.4359197907585	0.181554103122731
Andrew	M	5	0.4359197907585	0.181554103122731
Lee	M	5	0.4359197907585	0.181554103122731
Mark		5	0	0.181554103122731
Jesus		5	0	0.181554103122731
Brian		5	0	0.181554103122731
John		5	0	0.181554103122731
Tina	F	5	1.04166666666667	0.181554103122731
Council		5	0	0.181554103122731
Steve		5	0	0.181554103122731
Clinton		5	0	0.181554103122731
Brian	M	5	0.4359197907585	0.181554103122731
Chris	M	5	0.4359197907585	0.181554103122731
Male	M	5	0.4359197907585	0.181554103122731
Texas		5	0	0.181554103122731
Ben		5	0	0.181554103122731
Nigel	M	5	0.4359197907585	0.181554103122731
Greg	M	5	0.4359197907585	0.181554103122731
Mark	M	5	0.4359197907585	0.181554103122731
Betty	F	5	1.04166666666667	0.181554103122731
Malcolm	M	4	0.3487358326068	0.145243282498184
Tara	F	4	0.833333333333333	0.145243282498184
Tommy	M	4	0.3487358326068	0.145243282498184
Sam	M	4	0.3487358326068	0.145243282498184
Martin	M	4	0.3487358326068	0.145243282498184
Dennis	M	4	0.3487358326068	0.145243282498184
Terry	M	4	0.3487358326068	0.145243282498184
Charlie	M	4	0.3487358326068	0.145243282498184
Lisa	F	4	0.833333333333333	0.145243282498184
Susan	F	4	0.833333333333333	0.145243282498184
Kim	M	4	0.3487358326068	0.145243282498184
Roger		4	0	0.145243282498184
Berlin		4	0	0.145243282498184
Tea		4	0	0.145243282498184
Dave		4	0	0.145243282498184
West		4	0	0.145243282498184
Fred	M	4	0.3487358326068	0.145243282498184
Sister	F	4	0.833333333333333	0.145243282498184
Dick	M	4	0.3487358326068	0.145243282498184
Eric	M	4	0.3487358326068	0.145243282498184
Richard	M	4	0.3487358326068	0.145243282498184
Nancy	F	4	0.833333333333333	0.145243282498184
Paula	F	4	0.833333333333333	0.145243282498184
Bernie		4	0	0.145243282498184
Angie	F	4	0.833333333333333	0.145243282498184
Chad	M	4	0.3487358326068	0.145243282498184
Oscar	M	4	0.3487358326068	0.145243282498184
Lucy	F	4	0.833333333333333	0.145243282498184
Dave	M	4	0.3487358326068	0.145243282498184
Beth	F	4	0.833333333333333	0.145243282498184
Houston		4	0	0.145243282498184
Von	M	4	0.3487358326068	0.145243282498184
Melissa	F	4	0.833333333333333	0.145243282498184
Joe	M	4	0.3487358326068	0.145243282498184
Ted	M	4	0.3487358326068	0.145243282498184
Star	F	4	0.833333333333333	0.145243282498184
Wally	M	4	0.3487358326068	0.145243282498184
David		4	0	0.145243282498184
Christine		4	0	0.145243282498184
Tim	M	4	0.3487358326068	0.145243282498184
Bell	M	4	0.3487358326068	0.145243282498184
Charles		4	0	0.145243282498184
Sean	M	4	0.3487358326068	0.145243282498184
Josh	M	4	0.3487358326068	0.145243282498184
Jerry		4	0	0.145243282498184
Mary	F	4	0.833333333333333	0.145243282498184
Green		4	0	0.145243282498184
Santa		4	0	0.145243282498184
Tamara	F	4	0.833333333333333	0.145243282498184
Junior		4	0	0.145243282498184
North		4	0	0.145243282498184
Florida		4	0	0.145243282498184
London		4	0	0.145243282498184
Marjory		4	0	0.145243282498184
Sandra		4	0	0.145243282498184
Orange		3	0	0.108932461873638
Art		3	0	0.108932461873638
Pamela	F	3	0.625	0.108932461873638
Eddie	M	3	0.2615518744551	0.108932461873638
