Name	Sex	Total	GroupPercentage	OverallPercentage
John	M	857	2.07250126961863	1.21393260336842
Jack	M	627	1.51628739329158	0.888139722651104
David	M	575	1.39053469081763	0.814482201793277
Paul	M	535	1.29380184276076	0.75782257036418
Michael	M	532	1.28654687915649	0.753573098006997
Frank	M	488	1.18014074629392	0.69124750343499
Sarah	F	442	1.51380231522707	0.626088927291528
Peter	M	422	1.02053154700007	0.597759111576979
Tom	M	410	0.991511692583009	0.58076122214825
Anna	F	374	1.28090965134598	0.529767553862062
Mike	M	371	0.897197165727552	0.52551808150488
James	M	360	0.87059563251191	0.509936682861878
Robert	M	360	0.87059563251191	0.509936682861878
Alex	M	342	0.827065850886315	0.484439848718784
Laura	F	337	1.15418864305774	0.477357394790147
Richard	M	336	0.812555923677783	0.475940904004419
Joe	M	316	0.764189499649343	0.447611088289871
Sam	M	314	0.759352857246499	0.444778106718416
Mark	M	310	0.749679572440812	0.439112143575506
Thomas	M	285	0.689221542405262	0.40369987393232
Mary	F	283	0.969244468799233	0.400866892360865
George	M	271	0.655365045585355	0.383869002932136
Lisa	F	271	0.928145763408453	0.383869002932136
Nick	M	269	0.650528403182511	0.381036021360681
Ben	M	267	0.645691760779667	0.378203039789226
Daniel	M	266	0.643273439578245	0.376786549003499
Jim	M	258	0.623926869966869	0.365454622717679
Martin	M	257	0.621508548765447	0.364038131931952
Max	M	255	0.616671906362603	0.361205150360497
Jake	M	245	0.592488694348383	0.347040242503223
Bill	M	243	0.587652051945539	0.344207260931768
Rachel	F	235	0.804849647236112	0.332875334645948
Harry	M	231	0.558632197528476	0.327209371503038
Charles	M	231	0.558632197528476	0.327209371503038
Steve	M	227	0.548958912722788	0.321543408360129
Kate	F	227	0.777450510308925	0.321543408360129
Charlie	M	226	0.546540591521366	0.320126917574401
Maria	F	221	0.756901157613535	0.313044463645764
Tony	M	220	0.532030664312834	0.311627972860037
Alice	F	218	0.74662648126584	0.308794991288582
Chris	M	218	0.52719402190999	0.308794991288582
Henry	M	217	0.524775700708568	0.307378500502854
Helen	F	208	0.712377560106857	0.294630083431307
Adam	M	205	0.495755846291504	0.290380611074125
Julia	F	205	0.702102883759162	0.290380611074125
Susan	F	203	0.695253099527365	0.28754762950267
Sara	F	201	0.688403315295568	0.284714647931215
Simon	M	196	0.473990955478707	0.277632194002578
Jason	M	190	0.459481028270175	0.269133249288213
Eddie	M	187	0.452226064665909	0.264883776931031
Eric	M	187	0.452226064665909	0.264883776931031
William	M	184	0.444971101061643	0.260634304573849
Dan	M	183	0.442552779860221	0.259217813788121
Emily	F	181	0.619905472977601	0.256384832216666
Karen	F	179	0.613055688745805	0.253551850645212
Victor	M	176	0.425624531450267	0.249302378288029
Matt	M	176	0.425624531450267	0.249302378288029
Jennifer	F	176	0.602781012398109	0.249302378288029
Julie	F	174	0.595931228166313	0.246469396716574
Jane	F	172	0.589081443934516	0.243636415145119
Johnny	M	171	0.413532925443157	0.242219924359392
Amy	F	171	0.585656551818618	0.242219924359392
Eva	F	170	0.582231659702719	0.240803433573665
Bob	M	169	0.408696283040313	0.239386942787937
Danny	M	168	0.406277961838891	0.23797045200221
Carl	M	167	0.403859640637469	0.236553961216482
Claire	F	166	0.568532091239126	0.235137470430755
Kevin	M	166	0.401441319436047	0.235137470430755
Linda	F	165	0.565107199123228	0.233720979645027
Billy	M	164	0.396604677033204	0.2323044888593
Jenny	F	164	0.561682307007329	0.2323044888593
Samantha	F	164	0.561682307007329	0.2323044888593
Jimmy	M	163	0.394186355831782	0.230887998073573
Jessica	F	157	0.537708062196041	0.222389053359208
Ray	M	154	0.372421465018984	0.218139581002026
Don	M	153	0.370003143817562	0.216723090216298
Ryan	M	147	0.35549321660903	0.208224145501934
Brian	M	145	0.350656574206186	0.205391163930479
Elizabeth	F	145	0.496609356805261	0.205391163930479
Marie	F	143	0.489759572573464	0.202558182359024
Anne	F	141	0.482909788341667	0.199725200787569
Jeff	M	141	0.340983289400498	0.199725200787569
Vincent	M	139	0.336146646997654	0.196892219216114
Dave	M	138	0.333728325796232	0.195475728430387
Joseph	M	135	0.326473362191966	0.191226256073204
Rebecca	F	134	0.458935543530379	0.189809765287477
Patrick	M	132	0.3192183985877	0.186976783716022
Sean	M	132	0.3192183985877	0.186976783716022
Beth	F	131	0.448660867182684	0.185560292930294
Michelle	F	131	0.448660867182684	0.185560292930294
Arthur	M	130	0.314381756184856	0.184143802144567
