Name	Sex	Total	GroupPercentage	OverallPercentage
John	M	207	2.60180995475113	1.78187139536886
Colonel	M	141	1.77224736048265	1.21373848670053
German	M	134	1.68426344896933	1.15348196608419
George	M	101	1.26948215183509	0.869415511750022
Anna	F	89	2.58720930232558	0.76611861926487
Robert	M	86	1.08094519859226	0.740294396143583
Paul	M	81	1.01809954751131	0.69725402427477
Maria	F	81	2.3546511627907	0.69725402427477
David	M	79	0.992961287078934	0.680037875527245
James	M	78	0.980392156862745	0.671429801153482
Karl	M	76	0.955253896430367	0.654213652405957
Peter	M	75	0.942684766214178	0.645605578032194
Ivan	M	74	0.930115635997989	0.636997503658432
William	M	71	0.892408245349422	0.611173280537144
Joe	M	69	0.867269984917044	0.593957131789619
Jack	M	65	0.816993464052288	0.559524834294568
Hans	M	65	0.816993464052288	0.559524834294568
Tom	M	64	0.804424333836099	0.550916759920806
Frank	M	63	0.791855203619909	0.542308685547043
Charles	M	59	0.741578682755153	0.507876388051993
Thomas	M	59	0.741578682755153	0.507876388051993
Harry	M	58	0.729009552538964	0.49926831367823
Bill	M	57	0.716440422322775	0.490660239304468
Jim	M	56	0.703871292106586	0.482052164930705
Michael	M	53	0.666163901458019	0.456227941809417
Martin	M	53	0.666163901458019	0.456227941809417
Mary	F	52	1.51162790697674	0.447619867435655
Joseph	M	49	0.615887380593263	0.421795644314367
Sam	M	44	0.553041729512318	0.378755272445554
Henry	M	43	0.540472599296129	0.370147198071791
Mike	M	41	0.515334338863751	0.352931049324266
Vera	F	41	1.19186046511628	0.352931049324266
Jan	M	40	0.502765208647562	0.344322974950504
Richard	M	39	0.490196078431373	0.335714900576741
Steve	M	39	0.490196078431373	0.335714900576741
Edward	M	38	0.477626948215184	0.327106826202978
Ben	M	37	0.465057817998994	0.318498751829216
Walter	M	36	0.452488687782805	0.309890677455453
Albert	M	35	0.439919557566616	0.301282603081691
Bob	M	34	0.427350427350427	0.292674528707928
Otto	M	34	0.427350427350427	0.292674528707928
Max	M	33	0.414781297134238	0.284066454334165
Tommy	M	33	0.414781297134238	0.284066454334165
Marie	F	32	0.930232558139535	0.275458379960403
Sister	F	32	0.930232558139535	0.275458379960403
Arthur	M	31	0.38964303670186	0.26685030558664
Johnny	M	31	0.38964303670186	0.26685030558664
