Name	Sex	Total	GroupPercentage	OverallPercentage
John	M	548	2.91970802919708	2.08944980363747
Jim	M	479	2.55208055836752	1.8263621458802
Tom	M	397	2.11518994085993	1.51370724825561
Bill	M	359	1.91272843518568	1.36881839325886
Marshal	M	343	1.8274814854281	1.30781255957601
Sam	M	337	1.79551387926901	1.28493537194494
Joe	M	298	1.58772443923491	1.13623365234301
Mary	F	274	3.73551465576005	1.04472490181874
Jack	M	271	1.44387021151899	1.0332863080032
Frank	M	263	1.4012467366402	1.00278339116178
Ben	M	262	1.39591880228036	0.998970526556602
Billy	M	218	1.16148969044701	0.831204483928776
Johnny	M	199	1.06025893760989	0.758760056430396
Bob	M	198	1.05493100325004	0.754947191825218
Dan	M	186	0.990995790931856	0.709192816563084
Judge	M	183	0.97501198785231	0.69775422274755
Steve	M	175	0.93238851297352	0.667251305906127
George	M	170	0.905748841174277	0.648186982880238
Doc	M	165	0.879109169375033	0.629122659854349
Charlie	M	153	0.815173957056849	0.583368284592214
Henry	M	147	0.783206350897757	0.560491096961147
Ed	M	136	0.724599072939421	0.51854958630419
Jeff	M	133	0.708615269859875	0.507110992488657
Pete	M	130	0.692631466780329	0.495672398673123
Colonel	M	123	0.655335926261388	0.468982346436878
William	M	123	0.655335926261388	0.468982346436878
Matt	M	123	0.655335926261388	0.468982346436878
Jane	F	116	1.58145875937287	0.442292294200633
James	M	114	0.60738451702275	0.434666564990277
Buck	M	113	0.602056582662902	0.430853700385099
Ruth	F	104	1.41785957736878	0.396537918938498
Dave	M	102	0.543449304704566	0.388912189728143
Ann	F	99	1.34969325153374	0.377473595912609
Will	M	98	0.522137567265171	0.373660731307431
Kate	F	98	1.33605998636673	0.373660731307431
Martha	F	97	1.32242672119973	0.369847866702253
Mike	M	97	0.516809632905323	0.369847866702253
Molly	F	95	1.29516019086571	0.362222137491898
Luke	M	92	0.490169961106079	0.350783543676364
Helen	F	91	1.24062713019768	0.346970679071186
Jake	M	91	0.484842026746231	0.346970679071186
Sally	F	90	1.22699386503067	0.343157814466008
Hank	M	89	0.474186158026533	0.33934494986083
Tim	M	84	0.44754648622729	0.320280626834941
Fred	M	83	0.442218551867441	0.316467762229763
Sarah	F	83	1.13156100886162	0.316467762229763
Alice	F	82	1.11792774369461	0.312654897624585
Harry	M	81	0.431562683147744	0.308842033019407
Clay	M	81	0.431562683147744	0.308842033019407
Ellen	F	79	1.07702794819359	0.301216303809052
Laura	F	78	1.06339468302658	0.297403439203874
Julie	F	77	1.04976141785958	0.293590574598696
Roy	M	76	0.4049230113485	0.289777709993518
Betty	F	75	1.02249488752556	0.28596484538834
Pat	M	75	0.399595076988651	0.28596484538834
Paul	M	72	0.383611273909105	0.274526251572807
Maria	F	71	0.967961826857532	0.270713386967629
Jimmy	M	69	0.367627470829559	0.263087657757273
Tex	M	69	0.367627470829559	0.263087657757273
Clint	M	68	0.362299536469711	0.259274793152095
Lucy	F	66	0.899795501022495	0.251649063941739
Jess	M	66	0.351643667750013	0.251649063941739
Duke	M	65	0.346315733390165	0.247836199336562
Nancy	F	64	0.87252897068848	0.244023334731384
Bart	M	64	0.340987799030316	0.244023334731384
Juan	M	64	0.340987799030316	0.244023334731384
Jed	M	63	0.335659864670467	0.240210470126206
Jesse	M	63	0.335659864670467	0.240210470126206
Smith	M	62	0.330331930310619	0.236397605521028
Charles	M	62	0.330331930310619	0.236397605521028
Dick	M	61	0.32500399595077	0.23258474091585
Lee	M	60	0.319676061590921	0.228771876310672
Rose	F	58	0.790729379686435	0.221146147100316
Jenny	F	58	0.790729379686435	0.221146147100316
Larry	M	57	0.303692258511375	0.217333282495139
Mark	M	57	0.303692258511375	0.217333282495139
Susan	F	57	0.777096114519427	0.217333282495139
Joan	F	53	0.722563053851397	0.202081824074427
Martin	M	53	0.28238052107198	0.202081824074427
David	M	52	0.277052586712132	0.198268959469249
Amy	F	52	0.70892978868439	0.198268959469249
Thomas	M	51	0.271724652352283	0.194456094864071
Morgan	M	51	0.271724652352283	0.194456094864071
Jason	M	51	0.271724652352283	0.194456094864071
Belle	F	50	0.681663258350375	0.190643230258894
Annie	F	50	0.681663258350375	0.190643230258894
Andy	M	50	0.266396717992434	0.190643230258894
Robert	M	49	0.261068783632586	0.186830365653716
Peter	M	49	0.261068783632586	0.186830365653716
Bud	M	48	0.255740849272737	0.183017501048538
Ted	M	48	0.255740849272737	0.183017501048538
Jones	M	47	0.250412914912888	0.17920463644336
Judy	F	46	0.627130197682345	0.175391771838182
Clyde	M	46	0.24508498055304	0.175391771838182
Chris	M	46	0.24508498055304	0.175391771838182
Beth	F	46	0.627130197682345	0.175391771838182
Ned	M	45	0.239757046193191	0.171578907233004
Cal	M	45	0.239757046193191	0.171578907233004
Nora	F	44	0.59986366734833	0.167766042627826
Carl	M	44	0.234429111833342	0.167766042627826
Linda	F	44	0.59986366734833	0.167766042627826
Pedro	M	43	0.229101177473494	0.163953178022648
Al	M	43	0.229101177473494	0.163953178022648
Cole	M	43	0.229101177473494	0.163953178022648
Ken	M	43	0.229101177473494	0.163953178022648
Amos	M	42	0.223773243113645	0.160140313417471
Jean	F	41	0.558963871847307	0.156327448812293
Jackson	M	41	0.218445308753796	0.156327448812293
Manuel	M	40	0.213117374393947	0.152514584207115
Tommy	M	40	0.213117374393947	0.152514584207115
Adam	M	40	0.213117374393947	0.152514584207115
Bert	M	39	0.207789440034099	0.148701719601937
Barbara	F	39	0.531697341513292	0.148701719601937
Miguel	M	39	0.207789440034099	0.148701719601937
Texas	M	38	0.20246150567425	0.144888854996759
Wade	M	38	0.20246150567425	0.144888854996759
Clem	M	38	0.20246150567425	0.144888854996759
Elizabeth	F	37	0.504430811179277	0.141075990391581
Chuck	M	37	0.197133571314401	0.141075990391581
Danny	M	37	0.197133571314401	0.141075990391581
Jonathan	M	37	0.197133571314401	0.141075990391581
Carol	F	37	0.504430811179277	0.141075990391581
Phil	M	36	0.191805636954553	0.137263125786403
Joshua	M	36	0.191805636954553	0.137263125786403
Daniel	M	36	0.191805636954553	0.137263125786403
Simon	M	36	0.191805636954553	0.137263125786403
Dolores	F	35	0.477164280845262	0.133450261181225
Rod	M	35	0.186477702594704	0.133450261181225
Brad	M	35	0.186477702594704	0.133450261181225
Richard	M	35	0.186477702594704	0.133450261181225
Jeb	M	35	0.186477702594704	0.133450261181225
Nick	M	34	0.181149768234855	0.129637396576048
Margaret	F	34	0.463531015678255	0.129637396576048
Emily	F	34	0.463531015678255	0.129637396576048
Maggie	F	34	0.463531015678255	0.129637396576048
Janet	F	34	0.463531015678255	0.129637396576048
Ace	M	34	0.181149768234855	0.129637396576048
Samuel	M	34	0.181149768234855	0.129637396576048
Laurie	F	34	0.463531015678255	0.129637396576048
Wes	M	34	0.181149768234855	0.129637396576048
Peggy	F	33	0.449897750511247	0.12582453197087
Virginia	F	33	0.449897750511247	0.12582453197087
Sue	F	33	0.449897750511247	0.12582453197087
Anne	F	33	0.449897750511247	0.12582453197087
